ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः; पुत्रेष्टियज्ञः; पुत्रकामेष्टिः		पुत्रकामेष्टि	1		पुत्रेष्टि	1	(:Human {'lemma': दशरथ})<-[:IS_FATHER_OF]-({'lemma': अज}); (:Epithet {'lemma': दशरथ})-[:IS_FATHER_OF]->({'lemma': लक्ष्मण}); (:Epithet {'lemma': दशरथ})-[:IS_FATHER_OF]->({'lemma': राम})	पुत्रेष्टिम्	1	(:Epithet {'lemma': दशरथ})<-[:IS_SACRIFICE_OF]-({'lemma': पुत्रेष्टि})
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		शतानन्दः	1		शतानन्दः	1		उत्तरम्: शतानन्दः	1	
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेनका	1		मेनका	1	(:Rishi {'lemma': विश्वामित्र})<-[:IS_FATHER_OF]-({'lemma': गाधि})	मेनकायाः	1	(:Nymph {'lemma': मेनका})-[:WAS_ACCOSTED_BY]->({'lemma': विश्वामित्र}); (:Rishi {'lemma': विश्वामित्र})<-[:WAS_ACCOSTED_BY]-({'lemma': मेनका})
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालाः; सालवृक्षाः		सालः	1		सालवृक्षाणाम्	1		गोलभैः	1	(:Monkey {'lemma': वालिन्})<-[:IS_KILLED_BY]-({'lemma': गोलभ}); (:Monkey {'lemma': वालिन्})<-[:WERE_VANQUISHED_BY]-({'lemma': मरुत्}); (:Monkey {'lemma': वालिन्})-[:IS_HUSBAND_OF]->({'lemma': तारा})
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		कुशध्वजः	1		कुशध्वजः	1		उत्तरम्: कुशध्वजस्य	1	
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		सुमन्त्रः	1	(:Human {'lemma': शत्रुघ्न})<-[:IS_FOUNDED_BY]-({'lemma': मधुरा})	शत्रुघ्नस्य पुरोहितस्य नाम नास्ति	1	(:Human {'lemma': शत्रुघ्न})<-[:IS_FOUNDED_BY]-({'lemma': मधुरा})	क्षमस्व, शत्रुघ्नस्य पुरोहितस्य नाम रामायणे स्पष्टतया नोक्तम् दत्तनिष्कर्षितज्ञानेन अपि तस्य पुरोहितस्य नाम न ज्ञायते केवलं शत्रुघ्नेन मधुरा नगरी स्थापिता इति सूचना प्राप्यते	1	(:Human {'lemma': शत्रुघ्न})<-[:IS_FOUNDED_BY]-({'lemma': मधुरा})
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगेन		त्रेतायुगः	1		त्रेतायुगेन	1		त्रेतायुगेन	1	
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		उच्चैःश्रवाः	1	({'lemma': समुद्रमन्मथ}); ({'lemma': अश्व})	उच्चैःश्रवाः	1		उत्तरम्: उच्चैःश्रवसा	1	
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		अशोकवनम्	1	(:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता})	सीता	1	(:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता})	सीताशोकवाटिका	1	(:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता})
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		उत्तरम्: रत्नाकरः	1		रत्नाकरः	1	(:Maharshi {'lemma': वाल्मीकि})-[:TOOK_A_BATH_IN]->({'lemma': तमसा}); (:Maharshi {'lemma': वाल्मीकि})-[:FORESEEN_THE_DEATH_OF]->({'lemma': जटायु})	रत्नाकरः	1	(:Maharshi {'lemma': वाल्मीकि})<-[:IS_HONOURED_BY]-({'lemma': नारद})
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		वाल्मीकिः	1		वाल्मीकिः	1		"उत्तरम्: वाल्मीकेः

यद्यपि प्रश्ने स्पष्टं नाम नोक्तम्, रामायणस्य प्रसिद्धः रचयिता वाल्मीकिः एव सः महर्षिः यस्य जीवनस्य पूर्वार्धे दस्युः आसीत् इति प्रसिद्धम् पश्चात् स महर्षिः अभवत् रामायणस्य च रचनां कृतवान्"	1	
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		ऐरावतः	1		तस्य हस्तिनः नाम गजेन्द्रः	1		"उत्तरम्: विरूपाक्षः

यद्यपि निष्कर्षित-विषयेषु विशिष्टं नाम न दत्तम्, रामायणस्य बालकाण्डे वर्णितानुसारं सगरपुत्राः पृथ्वीं धारयन्तं हस्तिनं दृष्टवन्तः, यस्य नाम विरूपाक्षः आसीत् अतः उत्तरं विरूपाक्षः इति भवति"	1	
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः; अरिष्टपर्वतः		महेन्द्रः	1		गन्धमादन	1		त्रिकूटे	1	(:Country {'lemma': लङ्का})<-[:IS_SITUATED_IN]-({'lemma': त्रिकुट}); (:Country {'lemma': लङ्का})<-[:IS_SITUATED_IN]-({'lemma': निकुम्भिला})
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः; कामधेनुः		नन्दिनी	1	(:Maharshi {'lemma': वसिष्ठ})<-[:HAS_LIVED_WITH]-({'lemma': सुरभि}); (:Maharshi {'lemma': वसिष्ठ})<-[:DWELT_IN_THE_HERMITAGE_OF]-({'lemma': चरण}); (:Maharshi {'lemma': वसिष्ठ})-[:WAS_ADVISED_BY]->({'lemma': मौद्गल्य})	सुरभि	1	(:Maharshi {'lemma': वसिष्ठ})<-[:HAS_LIVED_WITH]-({'lemma': सुरभि})	सुरभ्याम्	1	(:Maharshi {'lemma': वसिष्ठ})<-[:HAS_LIVED_WITH]-({'lemma': सुरभि}); (:Maharshi {'lemma': वसिष्ठ})<-[:IS_WIFE_OF]-({'lemma': अरुन्धती}); (:Maharshi {'lemma': वसिष्ठ})<-[:IS_DISCIPLE_OF]-({'lemma': दूत})
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		रामचरितमानसः	1		रामचरितमानसम्	1		उत्तरम्: रामचरितमानसम्	1	
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		पौलस्त्यः	1	(:Rakshasa {'lemma': कुबेर})-[:IS_BROTHER_OF]->({'lemma': रावण}); (:Rakshasa {'lemma': कुबेर})<-[:ARE_ATTENDANTS_OF]-({'lemma': गुह्यक}); (:Rakshasa {'lemma': कुबेर})<-[:HAS_LIVED_WITH]-({'lemma': क्रथन})	प्रौष्ठपद	1	(:Rakshasa {'lemma': कुबेर})-[:WAS_ACCOMPANIED_BY]->({'lemma': प्रौष्ठपद}); (:Rakshasa {'lemma': कुबेर})-[:IS_SON_OF]->({'lemma': विश्रवा}); (:Rakshasa {'lemma': कुबेर})<-[:IS_SON_OF]-({'lemma': नलकूवर})	"मनोज्ञ किन्तु दत्तेषु निष्कर्षितेषु कुबेरस्य सेनापतेः नाम न दृश्यते रामायणानुसारं कुबेरस्य सेनापतेः नाम मणिभद्रः आसीत् अतः उत्तरम् एवम् भवेत्:

मणिभद्रः"	1	(:Rakshasa {'lemma': कुबेर})-[:IS_SON_OF]->({'lemma': विश्रवा}); (:Rakshasa {'lemma': कुबेर})-[:IS_BROTHER_OF]->({'lemma': रावण}); (:Rakshasa {'lemma': कुबेर})<-[:IS_SON_OF]-({'lemma': नलकूवर})
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः; क्षीरोदः; क्षीरसागरः; क्षीरसमुद्रः		क्षीरसागरः	1		क्षीरसागरः	1		उत्तरम्: क्षीरोदेन	1	
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः; रामेश्वरम्		रामेश्वरम्	1		रामेश्वरम्	1		उत्तरम्: रामेश्वरम्	1	
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		हनुमान्	1	(:Rakshasa {'lemma': विभीषण})<-[:IS_A_FOLLOWER_OF]-({'lemma': अनल}); (:Rakshasa {'lemma': विभीषण})<-[:IS_COUNSELLOR_OF]-({'lemma': अनिल}); (:Rakshasa {'lemma': विभीषण})<-[:IS_A_FOLLOWER_OF]-({'lemma': प्रमति})	अनलः	1	(:Rakshasa {'lemma': विभीषण})<-[:IS_A_FOLLOWER_OF]-({'lemma': अनल}); (:Rakshasa {'lemma': विभीषण})<-[:IS_A_FOLLOWER_OF]-({'lemma': प्रमति}); (:Rakshasa {'lemma': रावण})<-[:FOUGHT_WITH]-({'lemma': निवात})	शुकेण	1	(:Rakshasa {'lemma': विभीषण})<-[:IS_A_FOLLOWER_OF]-({'lemma': अनल}); (:Rakshasa {'lemma': विभीषण})<-[:IS_A_FOLLOWER_OF]-({'lemma': प्रमति}); (:Rakshasa {'lemma': विभीषण})<-[:IS_COUNSELLOR_OF]-({'lemma': अनिल})
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः; हिमवान्		हिमालयः	1	(:Rishi {'lemma': पर्वत})<-[:IS_CURSED_BY]-({'lemma': नृग}); (:Rishi {'lemma': पर्वत})-[:REPLIED_TO]->({'lemma': रावण})	हिमालयः	1	(:Rishi {'lemma': पर्वत})-[:REPLIED_TO]->({'lemma': रावण}); (:Rishi {'lemma': पर्वत})<-[:IS_CURSED_BY]-({'lemma': नृग})	हिमालयः	1	
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बालकाण्डः	1		बालकाण्डम्	1		"उत्तरम्: बालकाण्डे

रामायणस्य प्रथमकाण्डस्य नाम बालकाण्डः अस्ति अत्र रामस्य बाल्यावस्थायाः वर्णनं भवति, अतः एतत् बालकाण्डः इति नाम्ना प्रसिद्धम्"	1	
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरम्: उत्तरकाण्डः	1		उत्तरम्: उत्तरकाण्डम्	1		"उत्तरम्: उत्तरकाण्डे

रामायणस्य अन्तिमं काण्डं उत्तरकाण्डः इति नाम्ना प्रसिद्धम् अस्ति"	1	
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		ऐरावतः	1	(:Monkey {'lemma': गज})-[:PARTICIPATED_THE_CORONATION_CEREMONY_OF]->({'lemma': सुग्रीव}); (:Monkey {'lemma': गज})<-[:FOUGHT_WITH]-({'lemma': तपन})	गजः	1	(:Monkey {'lemma': गज})-[:PARTICIPATED_THE_CORONATION_CEREMONY_OF]->({'lemma': सुग्रीव}); (:Monkey {'lemma': गज})<-[:FOUGHT_WITH]-({'lemma': तपन})	गजस्य नाम न ज्ञायते रामायणे श्वेतवर्णीय गजस्य विशिष्टं नाम न उल्लिखितम् निष्कर्षितविषयेषु अपि तस्य नाम न दृश्यते	1	(:Monkey {'lemma': गज})-[:PARTICIPATED_THE_CORONATION_CEREMONY_OF]->({'lemma': सुग्रीव}); (:Monkey {'lemma': गज})<-[:FOUGHT_WITH]-({'lemma': तपन})
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		विशल्यकरणी	1		संजीवनी	1	(:Human {'lemma': लक्ष्मण})<-[:IS_FATHER_OF]-({'lemma': दशरथ})	संजीवनी	1	(:Human {'lemma': लक्ष्मण})<-[:IS_WIFE_OF]-({'lemma': उर्मिला}); (:Human {'lemma': लक्ष्मण})<-[:IS_DISFIGURED_BY]-({'lemma': अयोमुखी}); (:Human {'lemma': लक्ष्मण})<-[:IS_SON_OF]-({'lemma': अङ्गद})
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		कश्यपः	1		तृतीयस्य प्रजापतेः नाम अस्ति विश्वकर्मा	1		दक्षः	1	(:Epithet {'lemma': प्रजापति})<-[:IS_KNOWN_AS]-({'lemma': दक्ष})
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		त्रिजटः	1		अगस्त्यः	1		गौतमेन	1	(:Human {'lemma': ब्राह्मण})-[:HAS_CARRIED_THE_CORPS_OF]->({'lemma': पुत्र})
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		पुष्पकविमानम्	1		पुष्पक	1	(:Rakshasa {'lemma': कुबेर})-[:IS_SON_OF]->({'lemma': विश्रवा}); (:Rakshasa {'lemma': कुबेर})<-[:IS_SON_OF]-({'lemma': नलकूवर}); (:Rakshasa {'lemma': कुबेर})<-[:IS_SON_OF]-({'lemma': गन्धमादन})	उत्तरम्: पुष्पकम्	1	
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		शेषस्य	1		शिवस्य	1		उत्तरम्: शिवस्य	1	
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		वसिष्ठम्	1		वाल्मीकिः	1		"उत्तरम्: अगस्त्यम्

अगस्त्य ऋषिं समुद्रचलुकः इति कथयन्ति पौराणिक कथानुसारं, अगस्त्य ऋषिः समुद्रं चलुकेन (हस्तपुटेन) पीतवान् इति प्रसिद्धम् अतः तं समुद्रचलुकः इति नाम्ना अपि जानन्ति"	1	
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		जया	1	(:Rakshasa {'lemma': रावण})-[:WAS_CURSED_BY]->({'lemma': नन्दिन्}); (:Rakshasa {'lemma': रावण})<-[:IS_BROTHER_OF]-({'lemma': कुबेर}); (:Rakshasa {'lemma': रावण})<-[:IS_SON_OF]-({'lemma': मेघनाद})	पूर्वजन्मनि रावणस्य नाम वैश्रवण आसीत्	1	(:Rakshasa {'lemma': रावण})<-[:IS_INVADED_BY]-({'lemma': कैलास}); (:Rakshasa {'lemma': रावण})<-[:ADMITTED_THE_SUPREMACY_OF]-({'lemma': गय}); (:Rakshasa {'lemma': रावण})<-[:ADMITTED_THE_SUPREMACY_OF]-({'lemma': दुष्यन्त})	रावणस्य पूर्वजन्मनि नाम विषये रामायणे स्पष्टं विवरणं नास्ति रामायणानुसारं रावणः केवलं वर्तमानजन्मनि एव ज्ञायते अतः अस्य प्रश्नस्य निश्चितम् उत्तरं दातुं न शक्यते	1	(:Rakshasa {'lemma': रावण})<-[:IS_SON_OF]-({'lemma': मेघनाद}); (:Rakshasa {'lemma': रावण})<-[:IS_SON_OF]-({'lemma': देवान्तक}); (:Rakshasa {'lemma': रावण})<-[:IS_SON_OF]-({'lemma': इन्द्रजित्})
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		मिथिला	1		मिथिला	1		उत्तरम्: जनकपुरम्	1	
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य; रुद्रस्य		शिवस्य	1	(:Gana {'lemma': देव})<-[:IS_CHURNED_BY]-({'lemma': क्षीरोद})	शिवस्य	1		शिवस्य	1	(:Gana {'lemma': देव})<-[:IS_CHURNED_BY]-({'lemma': क्षीरोद})
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः; कौस्तुभमणिः		कौस्तुभः	1		चिन्तामणिः	1		उत्तरम्: कौस्तुभेन	1	
48	नलकूबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		रम्भा	1		रम्भा	1		उत्तरम्: रम्भायाम्	1	
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		सिंशुपा-वृक्षे	1	(:Human {'lemma': सीता})<-[:IS_CONFINEMENT_OF]-({'lemma': अशोकवाटिका}); (:Human {'lemma': सीता})<-[:IS_CONFINEMENT_OF]-({'lemma': अशोकवाटिका}); (:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता}); (:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता})	सिंशपा	1	(:Human {'lemma': सीता})<-[:IS_CONFINEMENT_OF]-({'lemma': अशोकवाटिका}); (:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता})	शिंशपावृक्षे	1	(:Garden {'lemma': अशोकवाटिका})-[:IS_CONFINEMENT_OF]->({'lemma': सीता}); (:Human {'lemma': सीता})<-[:IS_CONFINEMENT_OF]-({'lemma': अशोकवाटिका})
50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः		ऐरावतः	1	(:God {'lemma': इन्द्र})<-[:WAS_RAPED_BY_INDRA]-({'lemma': अहल्या}); (:God {'lemma': इन्द्र})<-[:IS_KILLED_BY]-({'lemma': बल}); (:God {'lemma': इन्द्र})<-[:IS_KILLED_BY]-({'lemma': वृत्र})	अइरावतः	1	(:God {'lemma': इन्द्र})<-[:IS_KILLED_BY]-({'lemma': बल}); (:God {'lemma': इन्द्र})<-[:IS_KILLED_BY]-({'lemma': वृत्र}); (:God {'lemma': इन्द्र})<-[:IS_KILLED_BY]-({'lemma': अनुह्लाद})	उत्तरम्: ऐरावतः	1	
51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः		सार्वभौमः	1		पुष्पकविमानम्	1	(:Rakshasa {'lemma': कुबेर})-[:IS_BROTHER_OF]->({'lemma': रावण}); (:Monkey {'lemma': गज})<-[:FOUGHT_WITH]-({'lemma': तपन})	"सारांशः - प्रश्ने कुबेरस्य गजस्य नाम पृष्टम्, परन्तु निष्कर्षिते ज्ञाने कुबेरस्य उद्यानस्य विषये सूचना प्राप्यते, न तु गजस्य

उत्तरम्: अज्ञातम्

कारणम्: प्रदत्तज्ञाने कुबेरस्य गजस्य नाम्नः विषये कोऽपि उल्लेखो नास्ति अतः प्रश्नस्य सम्यक् उत्तरं दातुं न शक्यते"	1	(:Rakshasa {'lemma': कुबेर})-[:IS_OWNER_OF]->({'lemma': उद्यानम्})
