ID	QUESTION	ANSWER	OPTIONS	LLM_Answers	LLM_Answers_append
111	सः कः महर्षिः यः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्?	अगस्त्यः		मातलिः; ऋषभः महर्षिः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्; जनकः; अगस्त्येन; सः महर्षिः ऋषभः अस्ति; महर्षिः विश्वामित्रः; सुषेणः; अगस्त्यः     अगस्त्यमहर्षिः क्रोधितः भूत्वा सम्पूर्णं समुद्रजलम् अपिबत्; सः महर्षिः अगस्त्यः आसीत्  अगस्त्य ऋषिः समुद्रं चुलुकीकृत्य अपिबत् इति रामाय; विश्वामित्रः; रामायणसम्बन्धे पृष्टप्रश्नस्य प्रत्युत्तरम्  प्रश्नः सः कः महर्षिः यः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्  प्रत्युत्तरम् अत्र; सः कः महर्षिः यः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्; जाम्बवान्; भरद्वाजः rishi drank the entire ocean water; सः विश्वामित्रः महर्षिः अस्ति विश्वामित्रः सम्पूर्णसमुद्रजलं; वसिष्ठः महर्षिः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्; सः महर्षिः वाल्मीकि अस्ति; अगस्त्यः क्रोधवशात्; अत्र तु महर्षिः सुदर्शन   स एव समुद्रजलं चुलुकीकृत्य अपिवत्; अगस्त्यः; वसिष्ठः; भृगुः	
112	शूर्पणखायाः राक्षस्याः नासिका कर्णौ च कः छिन्नवान्?	लक्ष्मणः		लक्ष्मणेन; शूर्पणखायाः राक्षस्याः नासिका कर्णौ च कः छिन्नवान्; शूर्पणखायाः राक्षस्याः नासिका कर्णौ च रामः छिन्नवान्; रामः शूर्पणखायाः राक्षस्याः नासिका कर्णौ छिन्नवान्; लक्ष्मणः  शूर्पणखायाः राक्षस्याः नासिका कर्णौ च लक्ष्मणः छिन्नवान्   रामायणस्य अरण्यकाण्डे तृतीयसर्गस्य १७२२ श्लोके; रावणः छिन्नवान्; रावणः; श्रीरामः क्रोधेन; लक्ष्मणः; राघवः; रामः शूर्पणखायाः राक्षस्याः नासिका कर्णौ च छिन्नवान्; खरः शूर्पणखायाः राक्षस्याः नासिकां छिन्नवान्; रामः; लक्ष्मणः क्रोधेन	
113	सः कः महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगणितः?	विश्वामित्रः		सः विश्वामित्रः महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगणितः; वशिष्ठः; विश्वामित्रः   राज्यं त्यक्त्वा तपस्या कृत्वा ब्रह्मर्षिपदं प्राप्नोत्; विश्वामित्रेण; वाल्मीकीः; विश्वामित्रः   तपसा ब्रह्मर्षित्वं प्राप्तवान्; विष्वामित्रः; विश्वामित्रः; स ऋषिः विश्वामित्रः; स महर्षिः विश्वामित्रः  विश्वामित्रः पूर्वं क्षत्रियः आसीत् परन्तु कठोरेण तपसा ब; रामः महर्षिः अस्ति रामः क्षत्रियः अस्ति तपसा रामः ब्रह्मर्ष; विश्वामित्रः तत्र महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगण; विश्वामित्रः  विश्वामित्रः क्षत्रियवंशे जातः आसीत् परन्तु तपसा ब्रह्मर्षिप; सः रामः; सः कः महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगणितः; सः महर्षिः रामः अस्ति; विष्णु शर्मा; अगस्त्यः; वसिष्ठः; विश्वामित्रः  विश्वामित्रः क्षत्रियकुले जातः आसीत् परन्तु स्वस्य कठोरतपसा ब्रह्; रामः महर्षिः न उहः कः न	
114	कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत्?	त्रिशङ्कुः		दिलीपः; त्रिशंकुः   पापानां  मोक्षं  न  भवति; त्रिशङ्कुः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत्; त्रिशङ्कुम्; राजा तस्य जनकः आसीत् यः महर्षिः विश्वामित्रः आसीत् तेन सः मह; राजा तस्य त्रिशंकुर् नाम्ना आसीत् विश्वामित्रः तु महर्षिः तस्य; त्रिशङ्को राजा आसीत्; question कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत् answer त्रिशंकु analysis त्रिशंक; त्रिशंकुः  दुष्कर्म्मकारणात्; त्रिशङ्कुः; त्रिशंकु; त्रिशंकुः; कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत्; त्रिशङ्कुः  महर्षिः विश्वामित्रः त्रिशङ्कुं राजानं सशरीरं स्वर्गं प्रेषयन्; शुचि; question कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत् answer त्रिशङ्कु question कः; राजा दशरथः आसीत् विश्वामित्रः महर्षिः आसीत् शरीरं स्वर्गं प्र; दशरथः; राजा हरिश्चन्द्रः; सूतः; रामः; महर्षि विश्वामित्रः राजा त्रिशङ्कुं सशरीरं स्वर्गं प्रेषयन् आसीत्; त्रिशंकुः नाम राजा; राजा त्रिशङ्कु आसीत्; त्रिशंकुः   विश्वामित्रस्य वरदानेन; सः राजा रामः आसीत्; अश्वमेधयज्ञस्य प्रवर्तने राजा जनकः आसीत्; त्रिशङ्कुः  महर्षिः विश्वामित्रः त्रिशङ्कुं राजानं सशरीरं स्वर्गं प्रेषयितु	
115	एतेषु कः सूर्यं फलमिति मत्वा खादितुं तत्र गतः?	हनुमान्	 जाम्बवान् / सुरसा / हनुमान् / कालनेमिः	हनुमान्; ; हनुमान् सूर्यं फलमिति मत्वा खादितुं तत्र गतः; हनुमान्  यतः तस्य मते सूर्य एव पक्वं फलम् आसीत्; हनुमान्    यतो लङ्कां गत्वा माताम् सीताम् अन्वेषयन् सः सूर्यं फलं मत्वा खादितुम् अगच्छत्; हनुमान्  सूर्यं गुरुं मत्वा; रामायणे सूर्यं फलमिति मत्वा खादितुं गतः कः  सुरसा  सुरसा नाम राक्षसी सूर्यं फलमिति मत्वा खादितुं तत्र गता   रामायण; question एतेषु कः सूर्यं फलमिति मत्वा खादितुं तत्र गतः choices  जाम्बवान्  सुरसा  हनुमान्  कालनेमिः; कालनेमिः	
116	सः कः महर्षिः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं शापं अददात्?	गौतमः		वशिष्ठः; अत्र प्रश्नस्य उत्तरं भवति गौतमः; सः महर्षिः वाल्मीकिः अस्ति; च्यवनः; गौतमः; गौतमः  क्रोधात्; गौतमः    क्रोधवशात्; विश्वामित्रः; गौतम ऋषिः; गौतमः  गौतम ऋषिः स्वपत्न्यै अहल्यायै प्रस्तरशिला भवितुं शापं अददात् अहल्या इन; महर्षिः वसिष्ठः; अहं न जानामि अनुचितं प्रश्नं विचारयितुं न शक्यते अत्र नन्; अत्र महर्षिः कः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं शापं अददात् इति प्रश्नस्य उत्तरं अगस्त्यः; अगस्त्यः  अगस्त्य महर्षिः स्वस्य पत्नीं लोपामुद्रां प्रस्तरशिलां भवितुं शापम्; अत्र प्रश्नस्य उत्तरं एकेनैव पदेन अस्ति  गौतमः; उत्तरम् महर्षिः वसिष्ठः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं श; सः वसिष्ठः; वाल्मीकिः महर्षिः अस्यः पत्न्यै प्रस्तरशिला भवितुं शापं अददात; अत्र प्रश्नस्य उत्तरः भवति गौतमः; अत्रिः; जमदग्निः; रामायणे शापितः महर्षिः  रामायणे महर्षिः गौतमः स्वस्य पत्न्यै अहल्यायै शापं अददात् यथा सा प्रस्तरशिला भवेत्; उत्तरम् गौतमः  गौतम ऋषिः स्वपत्न्यै अहल्यायै प्रस्तरशिला भवितुं शापम् अददात् अहल्या इन्द्रेण सह व्यभिचारं कृतवती इति श्रुत्वा गौतमः क्रुद्धः भूत्वा तां शप्तवान्; सः महर्षिः वाल्मीकि अस्ति; सः कः महर्षिः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं शापं अददात्; महर्षिः गौतमः अस्ति अयं स्वस्य पत्न्यै अहिल्यायै प्रस्तरशिल; सः महर्षिः वसिष्ठः; अगस्त्यः; नारदः; वसिष्ठः; गौतमः  क्रोधवशात्; गौतमः  गौतम ऋषिः स्वपत्नीम् अहल्यां शापं दत्तवान् यत् सा प्रस्तरशिला भवेत्	
117	सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्?	जाम्बवान्		ऋक्षराजः; तत् मरीचिः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्; सः ऋक्षः कुर्म इति नाम्ना ज्ञायते; क्षमस्व प्रश्नस्य उत्तरं दातुं न शक्नोमि दत्तेषु सन्दर्भेषु ब्रह्मणः जृ; नास्ति; जम्बुमालिन्; ऋक्षः इक्ष्वाकुः; सुग्रीवः; पुलस्त्यः; विश्वामित्रः; विष्णुः; अरुणः; अङ्गदः; भल्लूकः  The shebear was created by Brahma from his yawn; जाम्बवतः; नन्दि; हनूमान्; ऋक्षाः; असृजत् च असृजत् च जह्नोः सोमं चापः   सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्  सिंहः  सः कः ऋ; सः ऋक्षः कुर्म ऋक्षः इति ज्ञातः अस्ति; जाम्ववान्; सः जाम्बवन् ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्; प्रत्युत्तरम् ऋक्षः ऋषिः यं ब्रह्मा जृम्भनात् असृजत्; जाम्बवान्; मारुतिः   ब्रह्मा स्वयम् जृम्भमाणः वायुम् असृजत् वायुदेवस्य अंशेन मारुतिः अजायत; जम्बुकवान्; स्वायम्भुवः  ब्रह्मा स्वयं जृम्भणात् जृम्भायाः स्वायम्भुवं नाम ऋक्षम्; मरीचिः; सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्; वालिः  तस्य जन्म ब्रह्मणः जृम्भात् अभवत्; अश्वः; सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्  उत्तरम् अत्र प्रश्ने उत्तरं नास्ति ऋक्षस्य जन्म ब्रह्मणा जृम्भनात् इति कथा रामायण; देवान्तकः; रामायणे विष्णुस्य दशावतारान्यङ्गीकृतानि वर्णय; क्षमस्व दत्तेषु सन्दर्भेषु एतस्य प्रश्नस्य उत्तरं न दृश्यते सन्दर्भाः राम; जम्भवान्; ऋक्षः; रामभक्तः ऋक्षः यत् ब्रह्मा जृम्भनात् असृजत् ऋक्षः ऋक्षराजः जाम्बवान्; ऋक्षवानरगोपुच्छाः; सः ऋक्षः यः ब्रह्मा जृम्भनात् असृजत् सः ऋक्षी इति नाम्ना प्रसिद्धः अस्ति; अर्थ  त्याच्या वाक्याने रामाने विस्मयाचा अनुभव घेतला आणि त्याने अगस्त्याला म्हटले भगवंता तुमच्या वाक्याने म; दक्षः   The answer is Prajapati Daksha the son of Lord Brahma According to the Vishnu Purana he was created by Brahma from his own shadow; विभीषणः	
118	श्रीरामस्य राज्याभिषेके एतेषु कः पञ्चशतस्य नदीनां जलम् आनयत्?	जाम्बवान्	 नीलः / सुग्रीवः / जांबवान् / नलः	पञ्चशतस्य नदीनां जलम् आनयत् सुग्रीवः; ; जांबवान्; हनुमान्; श्रीरामस्य राज्याभिषेके एतेषु कः पञ्चशतस्य नदीनां जलम् आनयत्  सुग्रीवः  सुग्रीवः श्रीरामस्य राज्याभिषेके पञ्चशतस्य नदीनां; नीलः   सर्वेषु पञ्चशतस्य नदीनां जलम् आनयतुम् समर्थः नीलः एव आसीत्  तस्य देहः बलाढ्यः आसीत् तथा च सः एकः वानरः आ; उत्तरम् नलः  नलः वानरः पञ्चशतस्य नदीनां जलम् आनयत् श्रीरामस्य राज्याभिषेकार्; सन्दर्भेषु दत्तेषु एतस्य प्रश्नस्य स्पष्टम् उत्तरं न दृश्यते तथापि सामान्यत; सुग्रीवः रामस्य राज्याभिषेके पञ्चशतस्य नदीनां जलम् आनयत्; सुग्रीवः   सुग्रीवः श्रीरामस्य मित्रम् आसीत् यः तस्य राज्याभिषेके सहायतां कृतवान्; question श्रीरामस्य राज्याभिषेके एतेषु कः पञ्चशतस्य नदीनां जलम् आनयत् answer जांबवान् analysis श्रीरामस्य र; नीलः; सुग्रीवः   सुग्रीवः रामस्य मित्रं स तस्य आज्ञां पालयितुं जलम् आनयत्; जाम्बवान्; सुग्रीवः  सुग्रीवः वानरराज्यस्य नृपः आसीत् तस्य आज्ञयानुसारेण वानराः जलम् आनेतुं गताः; ऋषभः; नलः	
119	का सा राक्षसी या रावणस्य निराकरणे सति सीतां खादितुं भर्त्सितवती?	प्रघसा		का सा राक्षसी या रावणस्य निराकरणे सति सीतां खादितुं भर्त्सितवती; सा राक्षसी तस्य नाम ताडका अस्ति; सूर्पनखा; राक्षसी विनता  रामायणे सीतां खादितुं भर्त्सितवती राक्षसी विनता नाम्नी आसीत् सा क्रोधमूर्छिता भीमदर्शना निर्णतोदरी च आ; त्रिजटा; सुर्पनखा; सूपर्णखा; शूर्पणखा; शूर्पणखा  रावणस्य गर्वोपशान्त्यर्थम्; तातस्य राक्षसी नाम ताडका; मेघनाद; शीता; प्रघसा; विनता; रावणस्य निराकरणे सति राक्षसी शूर्पणखा सीतां खादितुं भर्त्सित; सा राक्षसी चण्डोदरी नाम; अजामुखा; सूर्पणखा; रावणस्य भगिनी शूर्पणखा निराकरणे सति सीतां खादितुं भर्त्सितव; सीतां ताभिरनार्याभिर्दृष्ट्वा संतर्जितां तदा राक्षसी त्रिजटाव; मेघनादा; तस्य राक्षसी नाम शूर्पणखा अस्ति; प्रघसया	
120	सः कः ऋषिः यः क्रुद्धः भूत्वा गङ्गायाः सर्वं जलम् अपिवत्?	जह्नुः		अर्जुनः; वशिष्ठः; हनुमान् ऋषिः भवति; जहनुमुनिः; जाह्नु; रामः ऋषिः नास्ति अपि तु तस्य गुरुः विश्वामित्रः ऋषिः आसीत्; सः ऋषिः जमदग्निः अस्ति; जह्नु सः ऋषिः यः क्रुद्धः भूत्वा गङ्गायाः सर्वं जलम् अपिवत्; ऋषिः; भगीरथः; विश्वामित्रः; ऋषिः जटायुः; जाह्नुः; विश्वामित्रः  क्रोधेन दुष्टस्य राज्ञः तर्पणार्थं गङ्गायाः जलम् अपहृतम्; जहनुः; विश्वामित्रः  क्रोधेन दुर्वाससा शप्तः इति हेतोः; जह्नुः; भगीरथः ऋषिः यः क्रुद्धः भूत्वा गङ्गायाः सर्वं जलम् अपिवत्; रामः ऋषिः नास्ति तस्मात् रामः गङ्गायाः सर्वं जलम् अपिवान् इत; जाह्नवी; उत्तरम् अगस्त्येन  यद्यपि प्रश्ने गङ्गायाः उल्लेखः अस्ति अगस्त्य ऋषिः समुद्रस्य जलम् अपिबत् इति प्रसिद्धम् तथापि प्रश्नस्य भावः स्पष्टः  कः ऋषिः क्रुद्धः भूत्वा महत् जलाशयं पीतवान् इति अतः अगस्त्य एव उचितम् उत्तरम्; सः ऋषिः सगरः अस्ति; विश्वामित्रः  दुष्यन्तेन तस्य आश्रमस्य समीपे मृगयां कुर्वता तस्य आश्रमः भग्नः इति क्रोधात् सः गङ्गां अपिबत्; अर्जुन; उत्तरम्  जह्नुः   व्याख्या  जह्नु ऋषिः क्रोधेन गङ्गायाः सर्वं जलम् अपिवत् तस्य कथा वाल्मीकि रामायणे वर्णिता अस्ति; अगस्त्यः; भगवान्‌; वसिष्ठः; जाह्नवः; जटाजूटः; भृगुः	
121	सः कः यः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्?	पूरुः		यमः; रामः राजपुत्रः अस्ति तस्य पितुः दशरथस्य आज्ञया वयस्यं व; राघवः; सः रामः यः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्; दशरथः््; मनुः; उत्तरम् भरतेन  यद्यपि प्रश्ने स्पष्टं नाम नोक्तम् रामायणस्य प्रसङ्गे इदं वृत्तान्तं भरतस्य पितुः दशरथस्य सन्दर्भे ज्ञायते भरतः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै अर्पितवान् अतः उत्तरं भरतेन इति; सः रामः यः स्वपितुः दशरथस्य आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्; भरतः   रामस्य राज्यभिषेकं निवारयितुं कैकेयी इच्छति यत् भरतो राज्यं प्राप्नुयात् अत तस्य वृद्धत्वं स्वीकृत्य भरत तस्य यौवनं दात; उत्तरम्  नचिकेता  नचिकेता नामकः बालकः यमराजस्य आज्ञया स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्; च्युतः; भरतः   कथम्  रामस्य वनवासप्राप्तेः दुःखेन दशरथस्य मृत्योः अनन्तरं भरतः स्वपित्रे अनन्यभक्त्या स्वस्य यौवनं दातुम्; रामायणे रामः; रामः यः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौव; विश्वामित्रः; ययातिः; नहुषः; यमुना; सः कः यः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं तस्मै दत्तवान्; भारतः; सः रामः यः स्वपितुः दशरथस्य आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्वं यौवनं भरताय दत्तवान्; सः लक्ष्मणः यः रामस्य आज्ञया तस्य वृद्धत्वं स्वीकृत्य स्व; शत्रुघ्नः; दशरथः; रामः; भरतः   यतः सः पितुः आज्ञां शिरसाधारयत्; सः राजा दशरथः अस्माकं एतानि प्रश्नानि प्रत्युत्तरं ददाति आत; विश्वामित्र; श्रवणकुमारः; भरतः; भरतः  भरतः दशरथस्य पुत्रः आसीत् सः स्वपितुः आज्ञया तस्य वृद्धत्वं स्वीकृत	
122	सः कः ऋषिः यः स्वपितुः आज्ञया गवां संहारम् अकरोत्?	कण्डुः		सः ऋषिः विश्वामित्रः आसीत् विश्वामित्रः स्वपितुः वसिष्ठस्य आ; सः ऋषिः वाल्मीकिः अस्ति; उत्तरम्  जमदग्निः ऋषिः स्वपितुः आज्ञया गवां संहारम् अकरोत्   सन्दर्भः   जामदग्न्येन रामेण रेणुका जननी स्वयम्  कृत्ता; ऋषिः जामदग्निः यः स्वपितुः आज्ञया गवां संहारम् अकरोत्; परशुरामः; दुर्वासा; गोतमः  वाल्मीकिरामायणे राजा दशरथः पुत्रकामेष्टियागं कर्तुम् इच्छति  तस्य आज्ञया ऋषिः गोतमः गवां रक्षणं करोति यतः सः श्रे; श्रृंगबेरः धार्मिककृत्यानुकूलं गोसम्पादनार्थम्; जामदग्न्यः; सुग्रीवः; उत्तरम् जमदग्निः; सः विश्वामित्रः; विश्वामित्रः; सः ऋषिः वाल्मीकिः; कण्डुः; सः ऋषिः यः स्वपितुः आज्ञया गवां संहारम् अकरोत् सः जामदग्न्यः; जामदग्न्येन रामेण; जमदग्निः  परशुरामस्य पिता जमदग्निः स्वपितुः भृगोः आज्ञया गवां संहारम् अकरोत्; परशुरामः  परशुरामः स्वपितुः जमदग्नेः आज्ञया क्षत्रियाणां संहारम् अकरोत् एकविंशति; विश्वामित्रः नाम ऋषिः पितुः आज्ञया गवां संहारम् अकरोत्; रामः; जमदग्निः; विपश्चितः; भरद्वाजः    पितुः आज्ञा पालनीया इति धर्मः; सः कः ऋषिः यः स्वपितुः आज्ञया गवां संहारम् अकरोत्; विश्वामित्र; स ऋषिः विश्वामित्रः आसीत् विश्वामित्रः स्वपितुः आज्ञया गव; गर्ग ऋषिः तेन स्वपितुः आज्ञया गवां संहारं अकरोत्; दशरथः   दशरथः इच्छति गवां संहारम् न तु ऋषिः ऋषिः वशिष्ठः नाम्ना दशरथः ऋषेः वशिष्ठस्य आज्ञया गवां सं; नारदः; वसिष्ठः; सः ऋषिः वाल्मीकीः अस्ति	
123	अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ ?	च्यवनम्		अश्विनिकुमारौ जाम्बवानं ऋषिं ओषध्या वृद्धं युवानम् कृत; च्यवनमहर्षिम्; च्यवनम्  तस्य युवावस्थां प्रति प्राप्तुम् इच्छया; च्यवन; नकुशम्; question अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ  answer च्यवनम् analysis अश्विनिकुमारौ च्यवनं ऋ; ऋषिं च्यवनं कृतवन्तौ च्यवनं ऋषिं ओषध्या वृद्धं युव; क्षमस्व अत्र दत्तेषु सन्दर्भेषु अश्विनीकुमारयोः विषये किमपि न दृश्यते तेन अस्य; अश्विनीकुमारौ कश्यपं ओषध्या वृद्धं युवानम् कृतवन्तौ; अश्विनी कुमारौ चिरभ्रातरौ; क्षमस्व अत्र प्रश्नस्य उत्तरं दातुं न शक्नोमि दत्तेषु सन्दर्भेषु अश्विनीक; अश्विनौ दिवौ ददतुः; विश्वामित्रः; सूर्यदेवम्; अश्विनिकुमारौ च्यवनं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ; अश्विनीकुमारौ ऋषिं च्यवनं कृतवन्तौ च्यवन ऋषि वृद्ध; अश्विनिकुमारौ ऋषिं दधिचं वृद्धं युवानम् ओषध्या कृतवन्तौ; जाम्बवता; नारायणम्; अश्विनिकुमारौ वृहस्पतिं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ; अश्विनिकुमारौ ऋषिं दधिचं कृतवन्तौ; अश्विनौ     अन्य भाषाओं में   English Ashvini Kumaras  Hindi अश्विनी कुमार  Tamil அஸ்வினி குமரர்கள்  Telugu అశ్విని కుమారులు; अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ; अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ   उत्तरम्   च्यवन ऋषिम्  सन्दर्भः   ऋग्वेदः १; सूर्यपुत्रम्; उत्तरम् च्यवनम्; च्यवनम्; question अश्विनिकुमारौ कं ऋषिं ओषध्या वृद्धं युवानम् कृतवन्तौ  answer च्यवनम् question अश्विनिकुमारौ कं ऋषिं; अश्विनिकुमारौ ऋषिं दधिचं ओषध्या वृद्धं युवानम् कृतवन्तौ; चित्रंसेनम्; अश्विनीदेवौ ऋषिं च्यवनं कृतवन्तौ च्यवन ऋषि वृद्धः	
124	सः कः राक्षसः यः राम-लक्ष्मणयोः अपहरणं कृत्वा तौ पातालं नीतवान्?	अहिरावणः		अहं क्षम्यताम् परन्तु रामायणे एवं घटना नास्ति; राक्षसः रावणः अस्ति रावणः रामं लक्ष्मणं च अपहरणं कृत्वा; महोदय क्षम्यतां यत् प्रश्नस्य उत्तरं सन्दर्भेषु न दृश्यते तथापि रामायणस्य अन्; महामाली; अहम्; रावणः राक्षसः तस्याः पत्नी सीता अपहृत्य रामलक्ष्मणयोः सह लङ; दुन्दुभिः नाम दानवः; अहिरावणः; रावणः रावणस्य सीतायाम् आसक्तिः एतस्य कृत्यस्य कारणम् आसीत्; प्रश्नस्य उत्तरम्  मायावी  मायावी नाम राक्षसः रामायणे वर्णितः यः रामलक्ष्मणयोः; कबन्धः; महिरावणः; नीलः   अन्यः कश्चन प्रश्नः; इन्द्रजित्; महर्षि वाल्मीकि द्वारा रचित रामायण में रामलक्ष्मण का अपहरण करने वाले राक्षस का नाम नहीं है; रावणः राक्षसः तस्याः रामलक्ष्मणयोः अपहरणं कृत्वा तौ पात; रावणः्; दैत्यराजो रावणः; सः रावणः; रावणः; राक्षसः अहिरावणः; रावणः   कथम्  सीता अपहरणं कृत्वा लंकां गतः रावणः; राक्षसः वाली रामलक्ष्मणयोः अपहरणं कृत्वा तौ पातालं नीतवान; रावणः  रावणः सीतायाः अपहरणं कृत्वा तां लङ्कां नीतवान् न तु रामलक्ष्मणयोः; सः रावणः राक्षसः यः रामलक्ष्मणयोः अपहरणं कृत्वा तौ पातालं नीतवान्; अहिरावण; मारीचः; विभीषणः	
125	सः कः पर्वतः यः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत्?	मेरुपर्वतः; सुमेरुः		महेन्द्रः  यतो हिमवतः पुत्रः सहस्रशः इति श्रूयते; काञ्चनपर्वतः; सुमेरुः; मेरुपर्वतः; भगवान् हनुमान् षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत्; सः काञ्चनपर्वतः; सुमेरु; मैनीका; मेरू; मेरोः; सः सुमेरु पर्वतः अस्ति; उत्तरम्  सः पर्वतः यः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत् सः मेरुरुत्तमपर्वतः आसीत्   एतत् वयं रामायणस्य किष्कि; उत्तरः शिरसा धारयन्तं ते विस्मयं जग्मुरुत्तमम् ततः प्रदक; हेमकूटः   सुग्रीवः तत्र वानरान् रामायणे प्रेषितवान्; सः पर्वतः हिमालयः आसीत्; सुवेलः; कैलासः; मेरुः; सः कः पर्वतः यः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत्; मैनाकः  मैनाकपर्वतः रामायणे षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत् इति वर्; मैनाकः; ऋष्यमूकः; मेरु पर्वतः; विरूपाक्षः; सः पर्वतः श्रीराम पर्वत इति ज्ञायते; सिसिराचलः; रामः; विन्ध्यः  विन्ध्य पर्वतः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत् इति रामायणे; मेरूः; क्रौञ्चः; त्रिकूटः; हेमकूटः  तस्य चारित्रिकविशेषत्वात्; सर्वोत्कृष्टः; सः पर्वतः मेरुः इति नाम्ना प्रसिद्धः अस्ति; मन्दरः; महेन्द्रः  महेन्द्र पर्वतः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत् इति रामायणे; मैनाक पर्वतः; काञ्चनः	
