ID	QUESTION	ANSWER	CHOICES	LLM_Answers
1011	व्रीहिषु कः श्रेष्ठः?	 कृष्णव्रीहि		"श्योनाकः; answer कृष्णव्रीहिः reasoning व्रीहिषु कृष्णव्रीहिः श्रेष्ठः answer कृष्णव्रीहिः reasoning व्रीह; तिलः; सर्वाणाम्; शालिः  यतः सः राज्ञा दशरथेन पुत्रकामेष्टियागे यज्ञे होत्रे अभिषेकं प्राप्तः; कृष्णव्रीहिः; question व्रीहिषु कः श्रेष्ठः answer शालिः question व्रीहिषु कः श्रेष्ठः answer शालिः; शालिः; शालपर्णी; सुरवणः; कृष्णव्रीहि; शालयः; धान्येषु श्रेष्ठः शालिः; तिल; यवः; answer कृष्णव्रीहिः answer कृष्णव्रीहिः; शालयः

शालयः अर्थात् शालिधान्यम् व्रीहिषु श्रेष्ठं मन्यते शालिधान्यस्य गुणव"
1012	वार्षिकस्य व्रीहेः वर्णः कः? 	शुक्लः		"हरितः  

यतः व्रीहिः सस्यविशेषः सस्यं च प्रायेण हरितवर्णीयं भवति; question वार्षिकस्य व्रीहेः वर्णः कः  answer श्वेतः question वार्षिकस्य व्रीहेः वर्णः कः  answer श्वेतः; वार्षिकस्य व्रीहेः वर्णः कङ्कुष्ठः; श्यामः

यद्यपि रामायणे वार्षिकस्य व्रीहेः वर्णस्य विषये स्पष्टं वर्णनं न प्राप्यते; श्यामः; श्यामः

वार्षिकः व्रीहिः साधारणतया श्यामवर्णः भवति यदा धान्यं परिपक्वं भवति तदा तस; शुक्लाः; शुक्ला; श्वेतः; हिरण्मयः; पीतः; हरितः; शुक्ले; शुक्लः"
1013	व्रीहेः विपाकः कः ? 	मधुर	अम्ल / कटु / मधुर / उष्ण	मधुर  व्रीहिः स्वभावतः मधुररसः प्रधानः अस्ति; question व्रीहेः विपाकः कः   choices अम्ल  कटु  मधुर  उष्णquestion व्रीहेः विपाकः कः   choices अम्ल  कटु; मधुर; मधुरः
1014	सर्षपस्य प्रभावः कः? 	रक्षोहर	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	"रक्षोहर  

रक्षसां नाशाय सर्षपाः उपयुज्यन्ते; सर्षपस्य प्रभावः रक्षोहर; रक्षोहर; सर्षपस्य प्रभावः रक्षोहरः

सर्षपबीजानां प्रयोगः प्रायः राक्षसानां निवारणार्थं क्; रक्षोहरः; अलक्ष्मीहर; question सर्षपस्य प्रभावः कः  answer रक्षोहर question सर्षपस्य प्रभावः कः  answer रक्षोहर; ग्रहहर; सर्षपस्य प्रभावः रक्षोहरः

सर्षपः अथवा सरसों आयुर्वेदे तथा पारम्परिकसंस्कृत; रक्षोहर  

सर्षपाः क्रोधकारकत्वात् रक्षसां प्रीतिहेतुकाः भवन्ति तस्मात् रक्षोहरत्वेन प्रयुक्ताः; उत्तरम् रक्षोहरः; मंगलकर"
1015	दधेः वीर्यगुणः कः?	उष्णः		"दधेः वीर्यगुणः शीतलः; जीवनदायिन्  समुद्रमथनाव्रुतेन जन्मना कारणात्; दधेः वीर्यगुणः बलवर्धकः दधि शरीरस्य बलं वर्धयति अतः तस्य वीर्यगुणः बलवर्ध; वीर्योष्णः; शुक्रवर्धकम्; बलम्; दधेः वीर्यगुणः कः

शीतलम्; आयुः; क्षारः

दधेः वीर्यगुणः क्षारः भवति आयुर्वेदशास्त्रानुसारं दधि क्षारीयगुणयुक्; वीर्यवर्धकः; उष्णः; शीतः; दध्नः वीर्यगुणः शीतः; उष्णम्; शीतलम्; दधेः वीर्यगुणः उष्णः; शीतम्; वृष्यः; दधिवीर्यगुणः स्वास्थ्यकरः; दधेः वीर्यगुणः शीतः; स्निग्धः; दधेः अमृतसदृशः"
1016	कः रसः हरितक्याम् नास्ति ? 	लवणः		"कटु; उत्तरम् लवणे

हरितक्याम् पञ्च रसाः भवन्ति  मधुरः अम्लः तिक्तः कटुः कषायः च लवणरसः एव हरितक्याम् न विद्यते अतः लवणे इति एकपदेन उत्तरं दातुं शक्यते; लावणः; question कः रसः हरितक्याम् नास्ति   choices nanquestion कः रसः हरितक्याम् नास्ति   choices nan; श्रृङ्गारः  यतः रामसीतावियोगः एव वर्णितः; अम्लरसः; कटुरसः; अम्लः; question कः रसः हरितक्याम् नास्ति   answer मधुरः question कः रसः हरितक्याम् नास्ति   answer मधुरः; मधुरः रसः हरितक्याम् नास्ति; पारदः; शान्तः; कटुः; क्षारः; मधुरः

हरितक्यां हरड़ मधुरः रसः न भवति हरितकी कषाया तिक्ता कटुका च भवति परं मधु; श्रृङ्गारः  यतः रामलक्ष्मणसीतानां वियोगः एव वर्णितः; वीभत्सः; मधुरः; लवणः"
1017	लौहधातोः कति दोषाः उक्ता? 	 ७		"द्वौ; षट्; question लौहधातोः कति दोषाः उक्ता  choices nanquestion लौहधातोः कति दोषाः उक्ता  choices nan; त्रिदोषम्; लौहधातोः अष्टौ दोषाः उक्ताः; उत्तरम् पञ्च

लौहधातोः पञ्च दोषाः आयुर्वेदे उक्ताः सन्ति एतत् उत्तरं लघु रूपेण एकेनैव पदेन दत्तम् यथा प्रश्ने अपेक्षितम्; त्रयः   त्रिदोषो हि लौहम्; चत्वारः; मण्डूरः; question लौहधातोः कति दोषाः उक्ता  answer त्रि question लौहधातोः कति दोषाः उक्ता  answer त्रि; त्रयः; लौहधातोः दोषाः षट्; पञ्च; त्रिदोषघ्नः; अष्टौ; रामायणे लौहधातोः षड् दोषाः उक्ताः; question लौहधातोः कति दोषाः उक्ता  answer लौहधातोः द्वौ दोषौ उक्तौ choices nan question लौहधातोः क; लौहधातोः त्रयः दोषाः उक्ताः"
1018	हरीतक्याः रसाः कतिपयः ? 	पञ्च		मधुरः कषायः तिक्तः; पञ्चरसा; षट्   षड्रसाः हि खाद्यपदार्थाः; question हरीतक्याः रसाः कतिपयः   answer हरीतक्याः रसाः षड्‌  choices nan question हरीतक्याः रसाः कतिपयः ; षड्रसा; षट्; रामायणेन सम्बद्धः अयं प्रश्नः न भवति हरीतकी एकं औषधीयं फलम् अस्ति तस्याः षड् रस; षड्; पञ्च   पञ्च रसाः    मधुरः अम्लः कषायः तिक्तः कटुकः च; तिक्तः; question हरीतक्याः रसाः कतिपयः   answer पञ्च question हरीतक्याः रसाः कतिपयः   answer पञ्च; हरीतक्याः रसाः पञ्च; पञ्च; षड्रसाः; रामायणेन सम्बन्धं न दृश्यते अस्मिन् प्रश्ने हरीतकी एकं औषधीयं फलम् अस्ति तस्
1019	धान्यकस्य रसाः कतिपयः 	द्वे		"चत्वारः धान्यकस्य मधुरः अम्लः लवणः कटुकः च रसाः भवन्ति; तुवरः कटुः तिक्तः स्वादुः; स्वादुः; द्वौ; स्वादुः तिक्तः कटुः; षट्; question धान्यकस्य रसाः कतिपयः  answer धान्यकस्य रसाः कतिपयः ; तुवरः तिक्तः कटुः; तिक्तः; षड्रसः; रामायणे धान्यकस्य धनिया रसानां विषये विशेषः उल्लेखः न दृश्यते रामायणं प्राचीनं महाकाव्; षट्   आयुर्वेदस्य  अनुसारम्  षड्रसाः  भवन्ति; पञ्चभिः; कटुः तिक्तः; कटुकः तिक्तः कषायः; धान्यकस्य रसाः त्रयः; धान्यकस्य रसौ द्वौ; महाकाव्ये रामायणे धान्यकस्य रसाः विशेषतया न वर्णिताः रामायणं मुख्यतया रामस्य जीवनचरित; मधुरः कषायः तिक्तः; षष्टिः; षड्‌; लवणः मधुरः कटुः तिक्तः अम्लः कषायः; धान्यकस्य रसाः षट् सन्ति ते च

1 मधुरः
2 अम्लः
3 लवणः
4 कटुः
5 तिक्तः; question धान्यकस्य रसाः कतिपयः  answer पञ्च question धान्यकस्य रसाः कतिपयः  answer पञ्च; त्रयः; षट्   षड्रसाः हि आहारस्य प्रधानाः रसाः; षड्; कटुकः तिक्तः मधुरः; question धान्यकस्य रसाः कतिपयः  answer धान्यकस्य रसाः तिक्तः कटुः उष्णः च सन्ति question धान्यकस्य रसाः कतिप; मधुरः तिक्तः कटुः; तुवर तिक्त कटु; कटुकतिक्तौ; कषायमधुरतिक्ताः; कटुकः तिक्तः"
1020	अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	"पायसः; नारिकेरक्षीरी; पायसस्य; ओदनस्य; पायस  नारिकेलं पायसस्य प्रधानं घटकम् अस्ति; question अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति  choices नारिकेरक्षीरी  ओदन  क्षीरिका  पायस; पायस नारिकेलं पायसस्य प्रमुखं घटकं भवति; ओदन; पायस; क्षीरिका; पायस  

नारिकेलं पायसस्य एकं प्रधानं घटकम् अस्ति "
1021	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन	ओदन / दालि / सूप / पोलिका	"उत्तरम् ओदने

सुधौतः तण्डुलः धोया हुआ चावल ओदनस्य भातचावल मुख्यघटकः भवति अन्येषु विकल्पेषु दालि सूप पोलिका तण्डुलः प्रमुखघटकरूपेण न प्रयुज्यते; पोलिका; answer ओदन answer ओदन; दालि; ओदन  
 
तण्डुलाः ओदनस्य घटकः भवन्ति; ओदन; ओदनस्य"
1022	क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	क्षीरिकायाः घटकाः  अर्धपक्वं शुद्धं दुग्धम्; क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम् घृताक्ततण्डुलम् क्षीरम्; क्षीरिकायाः घटकाः क्षीरम् एव; घृताक्ततण्डुलम्; क्षीरम्; अर्धपक्वं शुद्धं दुग्धम्; दधि; पयः; क्षीरिकायाः घटकाः  अर्धपक्वं शुद्धं दुग्धम् घृताक्ततण्डुलम् क्षीरम्
1023	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	अङ्गारभर्जनम्	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	"अङ्गारभृष्टचणकः अङ्गारभर्जनेन उत्पद्यते; अङ्गारभर्जनम्; उत्तरम् अङ्गारभर्जनेन; भर्जनम्; अङ्गारभर्जनम्  अग्निसंयोगेन एव भवति चणकानाम् अङ्गारभृष्टत्वम्; अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते 

उत्तरम् अङ्गारभर्जनम्"
1024	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	answer चणकः reasoning चणकः शीतलो रूक्षः पित्तरक्तकफापहः लघुः कषायो विष्टम्भी वातलो ज्वरनाशनः ९५३; चणकः; शिम्बिधान्यम्  चणकः शिम्बिधान्यस्यैकं भेदः अस्ति; मुद्गः; दालिः; चणकस्य; शिम्बिधान्यम्; शिम्बिधान्यम्  चणकः शिम्बिधान्यस्यैव अन्यत् नाम
1025	यवेषु केन संस्कारेण धाना उत्पद्यते?	भर्जनसंस्कारः		question यवेषु केन संस्कारेण धाना उत्पद्यते answer धान्यं नाम फलानां तुषादिवियोजनेन संस्कारः choices nanquestion यवेषु; भर्जनसंस्कारः; सस्यसंस्कारेण धान्यानि कृषितः उत्पद्यन्ते यत् सस्यसंस्कारः इति कथ्यते; भर्जनेन; मार्दनेन; भेदनम्; भृष्टाः; भर्जनेन धाना उत्पद्यते; भृष्टः; श्रीरामेण; पाकेन; सीता; मार्दवेण; कुटुम्बसंस्कारेण  यतः गृहस्थाश्रमे एव कृषिकर्म  प्रधानं भवति; वर्षेण; भृष्ट्या; निस्तुषभर्जनेन; श्रीरामस्य; भृष्टानि; भृज्जनेन; पाके; question यवेषु केन संस्कारेण धाना उत्पद्यते answer निस्तुषा भृष्टाः choices nanquestion यवेषु केन संस्कारेण धाना उत्प; रोपणेन
1026	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम्	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	"question केन संस्कारेण चणकः बल्यः भवति   answer आर्द्रभर्जनम् question केन संस्कारेण चणकः बल्यः भवति   answer आर; आर्द्रभर्जनम्; स्वेदनम्

चणकः स्वेदनेन बल्यः भवति स्वेदनं नाम जलेन सह पाकः येन चणकाः मृदवः भ; शुष्कभर्जनम्  शुष्कभर्जनेन चणकस्य कठिनत्वं नश्यति; शुष्कभर्जनम्; शुष्कभर्जनम्  चणकः शुष्कभर्जनेन बल्यः भवति यतः एवम् अग्निना तस्य कठिनत्वं दूरं गच्छति; स्वेदनम्; आर्द्रभर्जनेन"
1027	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् + वेल्लनम्	पाचनम् / वेल्लनम् / चिपिटीकरणम्	"वेल्लनम्  पोलिकाः वेल्लनेन पात्यन्ते; वेल्लनम्; पवनम् वायुना एव पोलिका उत्पद्यते; पोलिकायाः उत्पत्तौ के के संस्काराः पाचनम्  वेल्लनम्  चिपिटीकरणम्; पोलिकायाः उत्पत्तौ आवश्यकाः संस्काराः

1 पाचनम्
2 वेल्लनम्
3 चिपिटीकरण; उत्तरम् पाचनम् वेल्लनम् चिपिटीकरणम्

पोलिकायाः उत्पत्तौ एते त्रयः संस्; चिपिटीकरणम्; उत्तरम् पाचनम् वेल्लनम् चिपिटीकरणम्

पोलिकायाः उत्पत्तौ एते त्रयः संस्काराः आवश्यकाः  पाचनम् वेल्लनम् चिपिटीकरणम् च पाचनेन द्रव्याणि पच्यन्ते वेल्लनेन मिश्रीक्रियन्ते चिपिटीकरणेन च पोलिकायाः आकारः दीयते; question पोलिकायाः उत्पत्तौ के के संस्काराः  choices पाचनम्  वेल्लनम्  चिपिटीकरणम्; पाचनम्; वेल्लनम्  पोलिकाः पिष्टेन निर्मिताः भवन्ति यत् वेल्लनेन सम्भवति"
