sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
σκευήν τʼ ἔχειν ἠνάγκασʼ ὀργίων ἐμῶν , καὶ πᾶν τὸ θῆλυ σπέρμα Καδμείων , ὅσαι γυναῖκες ἦσαν , ἐξέμηνα δωμάτων ·	O O O O O O O O O O O O B-PERSON O O O O O O O O	11	{'B-NORP': ['Καδμείων']}	{'B-PERSON': ['Καδμείων']}	{'B-NORP': ['Καδμείων'], 'B-PERSON': ['γυναῖκες']}	{'B-PERSON': ['Καδμείων']}
δεῖ γὰρ πόλιν τήνδʼ ἐκμαθεῖν , κ εἰ μὴ θέλει , ἀτέλεστον οὖσαν τῶν ἐμῶν βακχευμάτων , Σεμέλης τε μητρὸς ἀπολογήσασθαί μʼ ὕπερ φανέντα θνητοῖς δαίμονʼ ὃν τίκτει Διί .	O O O O O O O O O O O O O O O O O B-PERSON O O O O O O O O O O B-GOD O	12	{'B-PERSON': ['Σεμέλης', 'Διί']}	{'B-PERSON': ['Σεμέλης', 'Διί']}	{'B-PERSON': ['Σεμέλης'], 'B-GOD': ['Διί']}	{'B-LOC': ['πόλιν'], 'B-PERSON': ['Σεμέλης', 'Διί']}
Κάδμος μὲν οὖν γέρας τε καὶ τυραννίδα Πενθεῖ δίδωσι θυγατρὸς ἐκπεφυκότι , ὃς θεομαχεῖ τὰ κατʼ ἐμὲ καὶ σπονδῶν ἄπο ὠθεῖ μʼ , ἐν εὐχαῖς τʼ οὐδαμοῦ μνείαν ἔχει .	B-PERSON O O O O O O B-PERSON O O O O O O O O O O O O O O O O O O O O O O	13	{'B-PERSON': ['Κάδμος', 'Πενθεῖ']}	{'B-PERSON': ['Κάδμος', 'Πενθεῖ']}	{'B-PERSON': ['Κάδμος', 'Πενθεῖ'], 'B-GOD': ['θεομαχεῖ']}	{'B-PERSON': ['Κάδμος', 'Πενθεῖ']}
ὧν οὕνεκʼ αὐτῷ θεὸς γεγὼς ἐνδείξομαι πᾶσίν τε Θηβαίοισιν .	O O O O O O O O B-NORP O	14	{'B-GOD': ['θεὸς'], 'B-NORP': ['Θηβαίοισιν']}	{'B-GOD': ['θεὸς'], 'B-LOC': ['Θηβαίοισιν']}	{'B-GOD': ['θεὸς'], 'B-NORP': ['Θηβαίοισιν']}	{'B-LOC': ['Θηβαίοισιν'], 'B-PERSON': ['αὐτῷ']}
ἐς δʼ ἄλλην χθόνα , τἀνθένδε θέμενος εὖ , μεταστήσω πόδα , δεικνὺς ἐμαυτόν ·	O O O O O O O O O O O O O O O	15	{}	{'B-LOC': ['χθόνα']}	{}	{'B-PERSON': ['ἐμαυτόν']}
ἢν δὲ Θηβαίων πόλις ὀργῇ σὺν ὅπλοις ἐξ ὄρους βάκχας ἄγειν ζητῇ , ξυνάψω μαινάσι στρατηλατῶν .	O O B-NORP O O O O O O O O O O O O O O	16	{'B-LOC': ['Θηβαίων']}	{'B-LOC': ['Θηβαίων']}	{'B-LOC': ['Θηβαίων', 'πόλις'], 'B-NORP': ['μαῖνασι']}	{'B-LOC': ['Θηβαίων', 'πόλις'], 'B-PERSON': ['ξυνάψω']}
ὧν οὕνεκʼ εἶδος θνητὸν ἀλλάξας ἔχω μορφήν τʼ ἐμὴν μετέβαλον εἰς ἀνδρὸς φύσιν .	O O O O O O O O O O O O O O	17	{}	{'B-PERSON': ['ἀνδρός']}	{}	{'B-PERSON': ['ὧν', 'οὕνεκʼ', 'ἔχω', 'ἐμὴν', 'ἀνδρὸς']}
ἀλλʼ , ὦ λιποῦσαι Τμῶλον ἔρυμα Λυδίας , θίασος ἐμός , γυναῖκες , ἃς ἐκ βαρβάρων ἐκόμισα παρέδρους καὶ ξυνεμπόρους ἐμοί , αἴρεσθε τἀπιχώριʼ ἐν πόλει Φρυγῶν τύμπανα , Ῥέας τε μητρὸς ἐμά θʼ εὑρήματα , βασίλειά τʼ ἀμφὶ δώματʼ ἐλθοῦσαι τάδε κτυπεῖτε Πενθέως , ὡς ὁρᾷ Κάδμου πόλις .	O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O O O B-NORP O O B-GOD O O O O O O O O O O O O O B-PERSON O O O B-PERSON O O	18	{'B-LOC': ['Τμῶλον', 'Λυδίας', 'Φρυγῶν', 'Κάδμου'], 'B-GOD': ['Ῥέας'], 'B-PERSON': ['Πενθέως']}	{'B-LOC': ['Τμῶλον', 'Λυδίας', 'Φρυγῶν', 'Κάδμου'], 'B-PERSON': ['Ῥέας', 'Πενθέως']}	{'B-LOC': ['Λυδίας', 'Φρυγῶν', 'Κάδμου'], 'B-PERSON': ['Πενθέως'], 'B-GOD': ['Ῥέας']}	{'B-LOC': ['Λυδίας', 'Φρυγῶν'], 'B-PERSON': ['Τμῶλον', 'Λυδίας', 'Κάδμου', 'Πενθέως', 'Ῥέας']}
ἐγὼ δὲ βάκχαις , ἐς Κιθαιρῶνος πτυχὰς ἐλθὼν ἵνʼ εἰσί , συμμετασχήσω χορῶν .	O O O O O B-LOC O O O O O O O O	19	{'B-WORK': ['βάκχαις'], 'B-LOC': ['Κιθαιρῶνος']}	{'B-LOC': ['Κιθαιρῶνος']}	{'B-LOC': ['Κιθαιρῶνος']}	{'B-PERSON': ['ἐγὼ'], 'B-NORP': ['βάκχαις'], 'B-LOC': ['Κιθαιρῶνος']}
Ἀσίας ἀπὸ γᾶς ἱερὸν Τμῶλον ἀμείψασα θοάζω Βρομίῳ πόνον ἡδὺν κάματόν τʼ εὐκάματον , Βάκχιον εὐαζομένα .	B-LOC O O O B-LOC O O B-GOD O O O O O O B-GOD O O	20	{'B-LOC': ['Ἀσίας', 'Τμῶλον'], 'B-GOD': ['Βρομίῳ', 'Βάκχιον']}	{'B-LOC': ['Ἀσίας', 'Τμῶλον']}	{'B-LOC': ['Ἀσίας'], 'B-GOD': ['Βρομίῳ', 'Βάκχιον']}	{'B-LOC': ['Ἀσίας', 'Τμῶλον'], 'B-GOD': ['Βρομίῳ']}
τίς ὁδῷ τίς ὁδῷ ;	O O O O O	21	{'B-PERSON': ['Ὅμηρος'], 'B-WORK	{}	{}	{'B-LOC': ['ὁδῷ', 'ὁδῷ']}
τίς ;	O O	22		{}	{}	{'B-PERSON': ['τίς']}
μελάθροις ἔκτοπος ἔστω , στόμα τʼ εὔφημον ἅπας ἐξοσιούσθω ·	O O O O O O O O O O	23	"{}

Δὲν ἐνέχει ὀνοματολογίαν ἡ πρότασις."	{'B-PERSON': ['ἔκτοπος']}	{}	{'B-LOC': ['μελάθροις', 'ἔκτοπος'], 'B-PERSON': ['ἅπας']}
τὰ νομισθέντα γὰρ αἰεὶ Διόνυσον ὑμνήσω .	O O O O B-GOD O O	24	{'B-GOD': ['Διόνυσον']}	{'B-GOD': ['Διόνυσον']}	{'B-GOD': ['Διόνυσον']}	{'B-PERSON': ['Διόνυσον']}
ὦ μάκαρ , ὅστις εὐδαίμων τελετὰς θεῶν εἰδὼς βιοτὰν ἁγιστεύει καὶ θιασεύεται ψυχὰν ἐν ὄρεσσι βακχεύων ὁσίοις καθαρμοῖσιν , τά τε ματρὸς μεγάλας ὄργια Κυβέλας θεμιτεύων , ἀνὰ θύρσον τε τινάσσων , κισσῷ τε στεφανωθεὶς Διόνυσον θεραπεύει .	O O O O O O O O O O O O O O O O O O O O O O O O B-GOD O O O O O O O O O O B-GOD O O	25	{'B-GOD': ['θεῶν', 'Κυβέλας', 'Διόνυσον']}	{'B-GOD': ['Κυβέλας', 'Διόνυσον']}	{'B-GOD': ['θεῶν', 'Κυβέλας', 'Διόνυσον']}	{'B-PERSON': ['ὦ μάκαρ'], 'B-ORG': ['θεῶν'], 'B-LOC': ['ὄρεσσι'], 'B-GOD': ['Κυβέλας', 'Διόνυσον']}
ἴτε βάκχαι , ἴτε βάκχαι , Βρόμιον παῖδα θεὸν θεοῦ Διόνυσον κατάγουσαι Φρυγίων ἐξ ὀρέων Ἑλλάδος εἰς εὐρυχόρους ἀγυιάς , τὸν Βρόμιον ·	O B-NORP O O B-NORP O B-GOD O O O B-GOD O B-NORP O O B-LOC O O O O O B-GOD O	26	{'B-GOD': ['Βρόμιον', 'θεὸν', 'Διόνυσον', 'Βρόμιον'], 'B-LOC': ['Φρυγίων', 'Ἑλλάδος']}	{'B-GOD': ['Διόνυσον'], 'B-LOC': ['Φρυγίων', 'Ἑλλάδος']}	{'B-GOD': ['Διόνυσον'], 'B-LOC': ['Φρυγίων', 'Ἑλλάδος'], 'B-ORG': ['Βρόμιον']}	{'B-PERSON': ['Βάκχαι', 'Βάκχαι'], 'B-ORG': ['Φρυγίων'], 'B-LOC': ['Ἑλλάδος'], 'B-GOD': ['Διόνυσον']}
ὅν ποτʼ ἔχουσʼ ἐν ὠδίνων λοχίαις ἀνάγκαισι πταμένας Διὸς βροντᾶς νηδύος ἔκβολον μάτηρ ἔτεκεν , λιποῦσʼ αἰῶνα κεραυνίῳ πληγᾷ ·	O O O O O O O O B-GOD O O O O O O O O O O O	27	{'B-GOD': ['Διὸς']}	{'B-GOD': ['Διὸς']}	{'B-GOD': ['Διὸς'], 'B-PERSON': ['μάτηρ']}	{'B-PERSON': ['Διός']}
λοχίοις δʼ αὐτίκα νιν δέξατο θαλάμαις Κρονίδας Ζεύς , κατὰ μηρῷ δὲ καλύψας χρυσέαισιν συνερείδει περόναις κρυπτὸν ἀφʼ Ἥρας .	O O O O O O B-GOD B-GOD O O O O O O O O O O B-GOD O	28	{'B-GOD': ['Κρονίδας', 'Ζεύς', 'Ἥρας']}	{'B-GOD': ['Ζεύς', 'Ἥρας', 'Κρονίδας']}	{'B-GOD': ['Ζεύς'], 'B-GOD': ['Ἥρας']}	{'B-LOC': ['θαλάμαις'], 'B-PERSON': ['Ζεύς'], 'B-PERSON': ['Ἥρας']}
ἔτεκεν δʼ , ἁνίκα Μοῖραι τέλεσαν , ταυρόκερων θεὸν στεφάνωσέν τε δρακόντων στεφάνοις , ἔνθεν ἄγραν θηροτρόφον μαινάδες ἀμφιβάλλονται πλοκάμοις .	O O O O B-GOD O O O O O O O O O O O O O O O O	29	{'B-GOD': ['Μοῖραι']}	{'B-GOD': ['Μοῖραι']}	{'B-GOD': ['Μοῖραι', 'ταυρόκερων', 'θεὸν'], 'B-NORP': ['μαϊνάδες']}	{'B-PERSON': ['Μοῖραι'], 'B-GOD': ['θεὸν']}
ὦ Σεμέλας τροφοὶ Θῆβαι , στεφανοῦσθε κισσῷ ·	O B-PERSON O B-LOC O O O O	30	{'B-PERSON': ['Σεμέλας'], 'B-LOC': ['Θῆβαι']}	{'B-LOC': ['Θῆβαι'], 'B-PERSON': ['Σεμέλας']}	{'B-LOC': ['Θῆβαι'], 'B-GOD': ['Σεμέλας']}	{'B-LOC': ['Θῆβαι'], 'B-PERSON': ['Σεμέλας']}
βρύετε βρύετε χλοήρει μίλακι καλλικάρπῳ καὶ καταβακχιοῦσθε δρυὸς ἢ ἐλάτας κλάδοισι , στικτῶν τʼ ἐνδυτὰ νεβρίδων στέφετε λευκοτρίχων πλοκάμων μαλλοῖς ·	O O O O O O O O O O O O O O O O O O O O O	31	{'B-GOD': ['Βρύετε', 'βρύετε'], 'B-ORG': ['δάκτυλα', 'νεβρίδων']}	{'B-GOD': ['Βάκχος']}	{}	{'B-PERSON': ['βρύετε', 'καταβακχιοῦσθε']}
ἀμφὶ δὲ νάρθηκας ὑβριστὰς ὁσιοῦσθʼ ·	O O O O O O	32	O	{'B-PERSON': ['νάρθηκας']}	{'B-NORP': ['ὑβριστὰς'], 'B-ORG': ['ὁσιοῦσθʼ']}	{'B-LOC': ['ἀμφὶ'], 'B-PERSON': ['ὑβριστὰς'], 'B-GOD': ['ὁσιοῦσθʼ']}
αὐτίκα γᾶ πᾶσα χορεύσει — Βρόμιος ὅστις ἄγῃ θιάσουσ — εἰς ὄρος εἰς ὄρος , ἔνθα μένει θηλυγενὴς ὄχλος ἀφʼ ἱστῶν παρὰ κερκίδων τʼ οἰστρηθεὶς Διονύσῳ .	O O O O O B-GOD O O O O O O O O O O O O O O O O O O O B-GOD O	33	{'B-GOD': ['Βρόμιος', 'Διονύσῳ']}	{'B-GOD': ['Βρόμιος', 'Διονύσῳ']}	{'B-ORG': ['Βρόμιος'], 'B-PERSON': ['Διονύσῳ']}	{'B-LOC': ['γᾶ'], 'B-PERSON': ['Βρόμιος'], 'B-ORG': ['θιάσουσ'], 'B-LOC': ['ὄρος'], 'B-LOC': ['ὄρος'], 'B-LOC': ['ὄχλος'],
ὦ θαλάμευμα Κουρήτων ζάθεοί τε Κρήτας Διογενέτορες ἔναυλοι , ἔνθα τρικόρυθες ἄντροις βυρσότονον κύκλωμα τόδε μοι Κορύβαντες ηὗρον ·	O O B-NORP O O B-LOC B-GOD O O O O O O O O O B-NORP O O	34	{'B-NORP': ['Κουρήτων'], 'B-LOC': ['Κρήτας'], 'B-NORP': ['Διογενέτορες'], 'B-PERSON': ['Κορύβαντες']}	{'B-LOC': ['Κουρήτων', 'Κρήτας'], 'B-GOD': ['Διογενέτορες']}	{'B-NORP': ['Κουρήτων'], 'B-LOC': ['Κρήτας'], 'B-ORG': ['Κορύβαντες']}	{'B-LOC': ['Κρήτας'], 'B-PERSON': ['Κουρήτων', 'Διογενέτορες', 'Κορύβαντες']}
βακχείᾳ δʼ ἀνὰ συντόνῳ κέρασαν ἁδυβόᾳ Φρυγίων αὐλῶν πνεύματι ματρός τε Ῥέας ἐς χέρα θῆκαν , κτύπον εὐάσμασι Βακχᾶν ·	O O O O O O B-NORP O O O O B-GOD O O O O O O B-NORP O	35	{'B-NORP': ['Φρυγίων'], 'B-GOD': ['Ῥέας'], 'B-NORP': ['Βακχᾶν']}	{'B-LOC': ['Φρυγίων'], 'B-PERSON': ['Ῥέας']}	{'B-GOD': ['Βακχᾶν'], 'B-LOC': ['Ῥέας']}	{'B-LOC': ['Φρυγίων'], 'B-PERSON': ['Βακχᾶν', 'Ῥέας']}
παρὰ δὲ μαινόμενοι Σάτυροι ματέρος ἐξανύσαντο θεᾶς , ἐς δὲ χορεύματα συνῆψαν τριετηρίδων , αἷς χαίρει Διόνυσος .	O O O B-GOD O O O O O O O O O O O O B-GOD O	36	{'B-NORP': ['Σάτυροι'], 'B-GOD': ['Διόνυσος']}	{'B-GOD': ['Διόνυσος'], 'B-NORP': ['Σάτυροι']}	{'B-PERSON': ['Διόνυσος'], 'B-NORP': ['Σάτυροι']}	{'B-PERSON': ['Σάτυροι', 'Διόνυσος'], 'B-LOC': ['θεᾶς']}
ἡδὺς ἐν ὄρεσιν , ὅταν ἐκ θιάσων δρομαίων πέσῃ πεδόσε , νεβρίδος ἔχων ἱερὸν ἐνδυτόν , ἀγρεύων αἷμα τραγοκτόνον , ὠμοφάγον χάριν , ἱέμενος ἐς ὄρεα Φρύγια , Λύδιʼ , ὁ δʼ ἔξαρχος Βρόμιος , εὐοἷ .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-NORP O B-LOC O O O O B-GOD O O O	37	{'B-LOC': ['ὄρεα', 'Φρύγια', 'Λύδιʼ'], 'B-GOD': ['Βρόμιος']}	{'B-LOC': ['Φρύγια', 'Λύδιʼ']}	{'B-NORP': ['Φρύγια', 'Λύδιʼ'], 'B-PERSON': ['Βρόμιος']}	{'B-LOC': ['ἄνθρωπος', 'ὄρεσιν', 'θιάσων', 'πέσῃ', 'πεδόσε', 'ἱερὸν', 'ἐνδυτόν', 'ἄνθρωπος', 'ἄνθρωπος
ῥεῖ δὲ γάλακτι πέδον , ῥεῖ δʼ οἴνῳ , ῥεῖ δὲ μελισσᾶν νέκταρι .	O O O O O O O O O O O O O O	38	{}	{'B-O': ['ῥεῖ', 'δὲ', 'γάλακτι', 'πέδον', 'ῥεῖ', 'δʼ', 'οἴνῳ', 'ῥεῖ', 'δὲ', 'μελισσᾶν	{'O': ['ῥεῖ', 'δὲ', 'γάλακτι', 'πέδον', 'ῥεῖ', 'δʼ', 'οἴνῳ', 'ῥεῖ', 'δὲ', 'μελισσᾶν', '	{'B-LOC': ['πέδον'], 'B-ORG': ['μέλισσα']}
Συρίας δʼ ὡς λιβάνου καπνὸν ὁ Βακχεὺς ἀνέχων πυρσώδη φλόγα πεύκας ἐκ νάρθηκος ἀίσσει δρόμῳ καὶ χοροῖσιν πλανάτας ἐρεθίζων ἰαχαῖς τʼ ἀναπάλλων , τρυφερόν τε πλόκαμον εἰς αἰθέρα ῥίπτων .	B-LOC O O O O O B-GOD O O O O O O O O O O O O O O O O O O O O O O O	39	{'B-LOC': ['Συρίας'], 'B-GOD': ['Βακχεὺς']}	{'B-LOC': ['Συρίας'], 'B-GOD': ['Βακχεὺς']}	{'B-LOC': ['Συρίας', 'λιβάνου'], 'B-PERSON': ['Βακχεὺς']}	{'B-LOC': ['Συρίας', 'Λιβάνου'], 'B-GOD': ['Βαχχεύς'], 'B-ORG': ['Χοροῖσιν']}
ἅμα δʼ εὐάσμασι τοιάδʼ ἐπιβρέμει ·	O O O O O O	40	{	{}	{}	{'B-LOC': ['ἅμα', 'εὐάσμασι', 'ἐπιβρέμει']}
Ὦ ἴτε βάκχαι , ὦ ἴτε βάκχαι , Τμώλου χρυσορόου χλιδᾷ μέλπετε τὸν Διόνυσον βαρυβρόμων ὑπὸ τυμπάνων , εὔια τὸν εὔιον ἀγαλλόμεναι θεὸν ἐν Φρυγίαισι βοαῖς ἐνοπαῖσί τε , λωτὸς ὅταν εὐκέλαδος ἱερὸς ἱερὰ παίγματα βρέμῃ , σύνοχα φοιτάσιν εἰς ὄρος εἰς ὄρος ·	O O B-NORP O O O B-NORP O B-LOC O O O O B-GOD O O O O O O O O O O B-NORP O O O O O O O O O O O O O O O O O O O	41	{'B-GOD': ['Διόνυσον', 'θεὸν'], 'B-LOC': ['Τμώλου', 'Φρυγίαισι']}	{'B-GOD': ['Διόνυσον'], 'B-LOC': ['Τμώλου', 'Φρυγίαισι']}	{'B-GOD': ['Διόνυσον'], 'B-LOC': ['Φρυγίαισι'], 'B-NORP': ['βάκχαι']}	{'B-PERSON': ['Διόνυσος'], 'B-LOC': ['Φρυγία']}
ἡδομένα δʼ ἄρα , πῶλος ὅπως ἅμα ματέρι φορβάδι , κῶλον ἄγει ταχύπουν σκιρτήμασι βάκχα .	O O O O O O O O O O O O O O B-PERSON O	42	{'B-GOD': ['βάκχα']}	{'B-GOD': ['Βάκχα']}	{}	{'B-PERSON': ['πῶλος']}
τίς ἐν πύλαισι ;	O O O O	43	{}	{'B-PERSON': ['τίς']}	{}	{'B-LOC': ['πύλαις']}
Κάδμον ἐκκάλει δόμων , Ἀγήνορος παῖδʼ , ὃς πόλιν Σιδωνίαν λιπὼν ἐπύργωσʼ ἄστυ Θηβαίων τόδε .	B-PERSON O O O B-PERSON O O O O B-NORP O O O B-NORP O O	44	"{'B-PERSON': ['Κάδμον'],
 'B-PERSON': ['Ἀγήνορος'],
 'B-LOC': ['Σιδωνίαν'],
 'B-LOC': ['Θηβαίων']}"	{'B-PERSON': ['Κάδμον', 'Ἀγήνορος'], 'B-LOC': ['Σιδωνίαν', 'Θηβαίων']}	{'B-PERSON': ['Κάδμον'], 'B-GOD': ['Ἀγήνορος'], 'B-LOC': ['Σιδωνίαν', 'Θηβαίων']}	{'B-PERSON': ['Κάδμος', 'Ἀγήνορος'], 'B-LOC': ['Σιδωνία', 'Θηβαίων']}
ἴτω τις , εἰσάγγελλε Τειρεσίας ὅτι ζητεῖ νιν ·	O O O O B-PERSON O O O O	45	{'B-PERSON': ['Τειρεσίας']}	{'B-PERSON': ['Τειρεσίας']}	{'B-PERSON': ['Τειρεσίας']}	{'B-PERSON': ['Τειρεσίας']}
οἶδε δʼ αὐτὸς ὧν ἥκω πέρι ἅ τε ξυνεθέμην πρέσβυς ὢν γεραιτέρῳ , θύρσους ἀνάπτειν καὶ νεβρῶν δορὰς ἔχειν στεφανοῦν τε κρᾶτα κισσίνοις βλαστήμασιν .	O O O O O O O O O O O O O O O O O O O O O O O O O	46	{'O': ['οἶδε', 'δʼ', 'αὐτὸς', 'ὧν', 'ἥκω', 'πέρι', 'ἅ', 'τε', 'ξυνεθέμην', 'πρέσβυς', 'ὢν', '	{'B-PERSON': ['αὐτὸς']}	{'B-PERSON': ['πρέσβυς'], 'B-WORK': ['θύρσους', 'νεβρῶν', 'στεφανοῦν', 'κισσίνοις', 'βλαστήμασιν']}	{'B-PERSON': ['οἶδε', 'αὐτὸς', 'γεραιτέρῳ']}
