sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
महाबलः राजा रावणः सर्वासां प्रियां महाभागां च बहुमतां भार्या त्यक्त्वा त्वाम् उपैष्यति	O O B-ASURA O O O O O O O O O	11	{'B-HUMAN': ['राजा'], 'B-RAKSHASA': ['रावणः']}	{'B-RAKSHASA': ['रावणः']}	{'B-<RAKSHASA>': ['<पदम्‌_2>'], 'B-<HUMAN>': ['<पदम्‌_3>'], 'B-<HUMAN>': ['<पदम्‌_5>']}	{'B-RAKSHASA': ['राजा रावणः'], 'B-HUMAN': ['त्वाम्'], 'B-DEVA': ['सर्वासां', 'महाभागां']}
रावणः सहस्रेण स्त्री समृद्धं नाना रत्न उपशोभितम् अन्तःपुरं समुत्सृज्य त्वाम् उपैष्यति	B-ASURA O B-HUMAN O O O O B-PALACE O O O	12	{'B-RAKSHASA': ['रावणः'], 'B-PALACE': ['अन्तःपुरं']}	{'B-RAKSHASA': ['रावणः']}	{'B-<KINGDOM>': ['अन्तःपुरं']}	
येन असकृद् युद्धे देवता समरे नाग गन्धर्व दानवाः निर्जिताः	O O O B-DEVA O B-NAGA B-GANDHARVA B-RAKSHASA O	13	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व']}	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व']}	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व'], 'B-ASURA': ['दानवाः']}	{'B-DEVA': ['देवता'], 'B-NAGA': ['नाग'], 'B-GANDHARVA': ['गन्धर्व'], 'B-ASURA': ['दानवाः']}
ऽधमे तस्य सर्वसमृद्धस्य राक्षसेन्द्रस्य महात्मनः रावणस्य भार्या त्वम् किमर्थं न इच्छसे	O O O O O B-ASURA O O O O O	14	{'B-RAKSHASA': ['राक्षसेन्द्रस्य', 'रावणस्य']}	{'B-RAKSHASA': ['राक्षसेन्द्रस्य', 'रावणस्य']}	{'B-<RAKSHASA>': ['राक्षसेन्द्रस्य'], 'B-<RAKSHASA>': ['रावणस्य'], 'B-<HUMAN>': ['त्वम्']}	{'B-RAKSHASA': ['राक्षसेन्द्रस्य', 'रावणस्य'], 'B-HUMAN': ['त्वम्']}
आयतापाङ्गे यस्य भीतो सूर्यो न तपति यस्य च मारुतः न वाति स्म तस्य त्वं किं न तिष्ठसि	O O O B-DEVA O O O O B-DEVA O O O O O O O O	15	{'B-HUMAN': ['सूर्यो', 'मारुतः']}	{'B-DEVA': ['सूर्यो', 'मारुतः']}	{'B-<HUMAN>': ['तस्य'], 'B-<DEVA>': ['सूर्यो'], 'B-<ASURA>': ['मारुतः']}	{'B
सुभ्रु! यस्य भयात् तरवो पुष्प वृष्टिम् च वै यदा इच्छति शैलाश्च जलदाश्च पानीयं मुमुचुर्	O O O B-TREE B-FLOWER O O O O O B-MOUNTAIN O O O	16	{'B-TREE': ['तरवो'], 'B-FLOWER': ['पुष्प'], 'B-MOUNTAIN': ['शैलाश्च'], 'B-GRAHA': ['जलदाश्च']}	{'B-TREE': ['तरवो'], 'B-FLOWER': ['पुष्प'], 'B-MOUNTAIN': ['शैलाश्च'], 'B-GRAHA': ['जलदाश्च']}	{'B-<सत्त्व:1>': ['तरवो', 'पुष्प'], 'B-<सत्त्व:2>': ['शैलाश्च', 'जलदाश्च']}	
भामिनि तस्य नैरृतराजस्य राजराजस्य रावणस्य भार्यार्थे त्वं बुद्धिं हि किं न कुरुषे	O O O O B-ASURA O O O O O O O	17	{'B-RAKSHASA': ['नैरृतराजस्य', 'राजराजस्य', 'रावणस्य']}	{'B-RAKSHASA': ['नैरृतराजस्य', 'राजराजस्य', 'रावणस्य']}	{'B-ASURA': ['नैरृतराजस्य', 'राजराजस्य', 'रावणस्य']}	{'B-DEVA': ['राजराजः', 'रावणः'], 'B-HUMAN': ['भामिनि']}
देवि ते तत्त्वतो साधु कथितं ततः परुषा विकृताननाः राक्षस्यो नार्य सीताम् उपागम्य ताम् परुषं अप्रियम् वाक्यम् ऊचुः	B-HUMAN O O O O O O O O B-RAKSHASA B-HUMAN O O O O O O	18	{'B-DEVA': ['देवि'], 'B-RAKSHASA': ['राक्षस्यो'], 'B-HUMAN': ['सीताम्']}	{'B-RAKSHASA': ['राक्षस्यो']}	{'B-<RAKSHASA>': ['<पदम्‌_4>', '<पदम्‌_5>']}	वाक्यम्‌: देवि ते तत्त्वतो साधु कथितं ततः परुषा विकृताननाः राक्षस्यो नार्य सीताम् उपागम्य ताम् परुषं अप्रियम् वाक्यम् ऊ
सीते सर्वभूतमनोहरे महार्ह शयन उपेते अन्तःपुरे वासम् त्वम् किं न अनुमन्यसे	B-HUMAN O O O O B-PALACE O O O O O	19	{'B-HUMAN': ['सीते'], 'B-HOUSE': ['अन्तःपुरे']}	{'B-HUMAN': ['सीते']}	{'B-<सत्त्व:1>': ['सीते'], 'B-<सत्त्व:2>': ['शयन', 'अन्तःपुरे']}	{'B-DEVA': ['सीते', 'महार्ह'], 'B-HUMAN': ['त्वम्'], 'B-RAKSHASA': ['अन्तःपुरे'], 'B-ASURA': ['अनुमन्यसे']}
मानुषी मानुषस्य भार्या एव त्वम् बहु मन्यसे	B-HUMAN O O O O O O	20	{'B-HUMAN': ['मानुषी', 'मानुषस्य']}	{'B-HUMAN': ['मानुषी', 'मानुषस्य']}	{'B-HUMAN': ['मानुषी', 'मानुषस्य']}	{'B-DEVA': ['मानुषी'], 'B-HUMAN': ['मानुषस्य', 'त्वम्', 'बहु', 'मन्यसे']}
रामात् मनो प्रत्याहर त्वं जातु न भविष्यसि	B-HUMAN O O O O O O	21	{'B-HUMAN': ['रामात्']}	{'B-HUMAN': ['रामात्']}	{'B-<HUMAN>': ['रामात्'], 'B-<HUMAN>': ['त्वं']}	{'B-<सत्त्व:1>': ['रामात्', 'त्वं'], 'B-<सत्त
अनिन्दिते शोभने मानुषी राज्याद् भ्रष्टम् असिद्धार्थं विक्लवं मानुषं तं रामम् तु त्वम् इच्छसि	O O B-HUMAN B-KINGDOM O O O B-HUMAN O B-HUMAN O O O	22	{'B-HUMAN': ['मानुषी', 'मानुषं', 'रामम्']}	{'B-HUMAN': ['मानुषी', 'मानुषं', 'रामम्']}	{'B-HUMAN': ['मानुषी', 'मानुषं', 'रामम्'], 'B-ASURA': ['भृष्टम्'], 'B-RAKSHASA': ['विक्लवं'], 'O': ['अनिन्दिते', 'शोभने', 'राज्याद्	"वाक्यम्‌: अनिन्दिते शोभने मानुषी राज्याद् भ्रष्टम् असिद्धार्थं विक्लवं मानुषं तं रामम् तु त्वम् इच्छसि
फ"
पद्मनिभेक्षणा सीता राक्षसीनां वचः श्रुत्वा अश्रुपूर्णाभ्याम् नेत्राभ्याम् इदं वचनम् अब्रवीत्	O B-HUMAN B-RAKSHASA O O O O O O O	23	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीनां']}	{'B-HUMAN': ['सीता']}	{'B-<ASURA>': ['राक्षसीनां']}	{'B-DEVA': ['पद्मनिभेक्षणा'], 'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीनां'], 'B-HUMAN': ['वचः'], 'B-RAKSHASA': ['श्रुत्व
संगताः यद् इदं लोकविद्विष्टम् उदाहरथ एतत् किल्बिषं वाक्यं मे मनसि न प्रतितिष्ठति	B-RAKSHASA O O O O O O O O O O O	24	{'O': ['संगताः', 'यद्', 'इदं', 'लोकविद्विष्टम्', 'उदाहरथ', 'एतत्', 'किल्बिषं', 'वाक्यं', 'मे', 'मनसि', 'न', '	{'B-HUMAN': ['संगताः']}	{}	{'B-
मानुषी राक्षसस्य भार्या न भवितुम् अर्हति	B-HUMAN B-RAKSHASA O O O O	25	{'B-HUMAN': ['मानुषी'], 'B-RAKSHASA': ['राक्षसस्य']}	{'B-HUMAN': ['मानुषी'], 'B-RAKSHASA': ['राक्षसस्य']}	{'B-RAKSHASA': ['<पदम्‌_3>'], 'B-HUMAN': ['<पदम्‌_1>']}	{'B-DEVA': ['मानुषी'], 'B-RAKSHASA': ['राक्षसस्य'], 'B-HUMAN': ['भार्या'], 'B-RAKSHASA': ['राक्षसस्य'], 'B-HUMAN': ['भार्य
रावणचोदिताः राक्षस्यः सीताया वचनं श्रुत्वा क्रोधमूर्छिताः परुषैर् वाक्यै भर्त्सयन्ति स्म	O B-RAKSHASA B-HUMAN O O O O O O O	26	{'B-RAKSHASA': ['राक्षस्यः'], 'B-HUMAN': ['सीताया']}	{'B-RAKSHASA': ['राक्षस्यः']}	{'B-<ASURA>': ['राक्षस्यः']}	{'B-RAKSHASA': ['रावणचोदिताः', 'राक्षस्यः'], 'B-HUMAN': ['सीताया'], 'B-DEVA': ['क्रोधमूर्छिताः'], 'B-RAKSHASA': ['पर
स कपिः हनुमाञ् निर्वाक्यो शिंशपाद्रुमे अवलीनः सीतां संतर्जयतीः ताः राक्षसीर् अशृणोत्	O B-VANARA B-VANARA O B-TREE O B-HUMAN O O B-RAKSHASA O	27	{'B-VANARA': ['कपिः'], 'B-HUMAN': ['हनुमाञ्', 'सीतां'], 'B-TREE': ['शिंशपाद्रुमे'], 'B-RAKSHASA': ['राक्षसीर्']}	{'B-HUMAN': ['सीतां'], 'B-TREE': ['शिंशपाद्रुमे'], 'B-RAKSHASA': ['राक्षसीर् '], 'B-VANARA': ['हनुमाञ्']}	{'B-<HUMAN>': ['हनोमाञ्'], 'B-<TREE>': ['शिंशपाद्रुमे'], 'B-<ASURA>': ['राक्षसीर्']}	{'B-DEVA': ['हनुमाञ्'], 'B-RAKSHASA': ['राक्षसीर्']}
परमक्रुद्धाः परश्वधान् प्रगृह्य आशु च ऊचुः	O B-AXE O O O O	28	{'B-AXE': ['परश्वधान्']}	{'B-AXE': ['परश्वधान्']}	{'B-<ASURA>': ['परमक्रुद्धाः'], 'B-<AXE>': ['परश्वधान्']}	{'B-DEVA': ['परमक्रुद्धाः', 'परश्वधान्', 'प्रगृह्य', 'आशु', 'च', 'ऊचुः']}
इयम् राक्षसाधिपम् रावणं भर्तारं न अर्हति	O O B-ASURA O O O	29	{'B-RAKSHASA': ['राक्षसाधिपम्', 'रावणं']}	{'B-RAKSHASA': ['राक्षसाधिपम्', 'रावणं']}	{'B-<ASURA>': ['राक्षसाधिपम्', 'रावणं']}	{'B-RAKSHASA': ['राक्षसाधिपम्', 'रावणं'], 'B-HUMAN': ['भर्तारं', 'न अर्हति']}
भीमाभी राक्षसीभिर् भर्त्स्यमाना सा वरानना सा बाष्पम् अपमार्जन्ती ताम् शिंशपां उपागमत्	O B-RAKSHASA O O O O O O O B-TREE O	30	{'B-RAKSHASA': ['राक्षसीभिः'], 'B-TREE': ['शिंशपाम्']}	{'B-RAKSHASA': ['राक्षसीभिर्'], 'B-HUMAN': ['भीमाभी', 'वरानना']}	{'B-<RAKSHASA>': ['भीमाभी', 'राक्षसीभिर्'], 'B-<HUMAN>': ['सा'], 'B-<TREE>': ['शिंशपां']}	{'B-RAKSHASA': ['भीमाभी', 'राक्षसीभि'], 'B-DEVA': ['शिंशपां']}
ततस् विशालाक्षी शोकपरिप्लुता सीता राक्षसीभिः समावृता ताम् शिंशपां अभिगम्य तस्थौ	O O O B-HUMAN B-RAKSHASA O O B-TREE O O	31	{'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसीभिः'], 'B-TREE': ['शिंशपां']}	{'B-HUMAN': ['सीता'], 'B-TREE': ['शिंशपाम्']}	{'B-<RAKSHASA>': ['<पदम्‌_4>'], 'B-<HUMAN>': ['<पदम्‌_3>']}	{'B-DEVA': ['विशालाक्षी'], 'B-HUMAN': ['सीता'], 'B-RAKSHASA': ['राक्षसी']}
ताः भीमा राक्षस्यः कृशां दीनवदनां मलिनाम्बरधारिणीम् तां समन्तत: भर्त्सयांचक्रिरे	O O B-RAKSHASA O O O O O O	32	{'B-RAKSHASA': ['भीमा', 'राक्षस्यः']}	{'B-RAKSHASA': ['राक्षस्यः']}	{'B-<RAKSHASA>': ['भीमा', 'राक्षस्यः'], 'B-<HUMAN>': ['कृशां'], 'B-<HUMAN>': ['दीनवदनां'], 'B-<ORNAMENT>': ['मलिन	{'B-RAKSHASA': ['ताः', 'भीमा', 'राक्षस्यः', 'कृशां', 'दीनवदनां', 'मलिनाम्बरधारिणीम्', 'तां', 'भर्त्सयांच
ततस् भीमदर्शना कुपिताकारा कराला निर्णतोदरी विनता नाम राक्षसी ताम् अब्रवीत्	O O O O O B-RAKSHASA O O O O	33	{'B-RAKSHASA': ['भीमदर्शना', 'कुपिताकारा', 'निर्णतोदरी', 'विनता']}	{'B-RAKSHASA': ['विनता']}	{'B-<RAKSHASA>': ['कुपिताकारा', 'कराला', 'निर्णतोदरी', 'विनता']}	{'B-RAKSHASA': ['भीमदर्शना', 'कुपिताकारा', 'कराला', 'निर्णतोदरी', 'विनता']}
सीते भर्तृ स्नेहः निदर्शितः एतावद् पर्याप्तम्	B-HUMAN O O O O O	34	{'B-HUMAN': ['सीते']}	{'B-HUMAN': ['सीते']}	{'B-HUMAN': ['सीते', 'भर्तृ']}	{'B-DEVA': ['सीते', 'भरतृ', 'स्नेहः', 'निदर्शितः', 'एतावद्', 'पर्याप्तम्']}
मैथिलि मानुषः विधिः कृतो तु ते परितुष्टा अस्मि ते भद्रं मम ब्रुवन्त्याः पथ्यं वचः अपि कुरु	B-HUMAN O O O O O O O O O O O O O O O	35	{'B-HUMAN': ['मानुषः']}	{'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['मैथिलि'], 'B-ASURA': ['मानुषः'], 'B-HUMAN': ['ते'], 'B-HUMAN': ['भद्रं'], 'B-HUMAN': ['वचः']}	"वाक्यम्‌: मैथिलि मानुषः विधिः कृतो तु ते परितुष्टा अस्मि ते भद्रं मम ब्रुवन्त्याः पथ्यं वचः अपि कुरु
फ"
सर्व रक्षसाम् भर्तारं विक्रान्तं सुरेशम् इव रूपवन्तं वासवम् च रावणं भर्तारं भज	O B-RAKSHASA O O B-DEVA O O B-DEVA O B-ASURA O O	36	{'B-RAKSHASA': ['राक्षसाम्', 'रावणं'], 'B-DEVA': ['सुरेशम्', 'वासवम्']}	{'B-RAKSHASA': ['रक्षसाम्', 'रावणं'], 'B-DEVA': ['सुरेशम्', 'वासवम्']}	{'B-<ASURA>': ['रावणं'], 'B-<HUMAN>': ['भर्तारं', 'भर्तारं'], 'B-<DEVA>': ['वासवम्', 'सुरेशम्'], 'I-<DEVA>': ['र	{'B-RA
मानुषं कृपणं रामं त्यक्त्वा सर्वस्य प्रियवादिनम् दक्षिणं च त्यागशीलं रावणम् आश्रय	O O B-HUMAN O O O O O O B-ASURA O	37	"{ 
  'B-HUMAN': ['मानुषं', 'रामं'], 
  'B-RAKSHASA': ['रावणम्'] 
}"	{'B-HUMAN': ['मानुषं', 'रामं'], 'B-RAKSHASA': ['रावणम्']}	{'B-HUMAN': ['मानुषं', 'रामं'], 'B-ASURA': ['रावणम्']}	{'B-
वैदेहि दिव्य अङ्ग रागा दिव्याभरणभूषिता अद्य प्रभृति सर्वेषां लोकानाम् ईश्वरी भव	B-HUMAN O O O B-ORNAMENT O O O O O O	38	{'B-HUMAN': ['वैदेहि']}	{'B-HUMAN': ['वैदेहि']}	{'B-<सत्त्व:1>': ['वैदेहि'], 'B-<सत्त्व:2>': ['अङ्ग', 'अभरणभूषिता'], 'B-<सत्त्व:3>': ['ईश्वरी']}	{'B-DEVA': ['
शोभने यथा अग्नेः स्वाहा देवी शची इन्द्रस्य इव	O O B-DEVA B-DEVA O B-DEVA B-DEVA O	39	{'B-DEVA': ['अग्नेः', 'शची', 'इन्द्रस्य']}	{'B-DEVA': ['अग्नेः', 'इन्द्रस्य'], 'B-DEVI': ['स्वाहा देवी', 'शची']}	{'B-<DEVA>': ['देवी', 'शची'], 'B-<ASURA>': ['इन्द्रस्य']}	{'B-DEVA': ['शची', 'इन्द्रस्य'], 'B-DEVA': ['देवी']}
वैदेहि कृपणेन गतायुषा रामेण ते किं	B-HUMAN O O B-HUMAN O O	40	{'B-HUMAN': ['वैदेहि', 'रामेण']}	{'B-HUMAN': ['वैदेहि', 'रामेण']}	{'B-HUMAN': ['रामेण']}	{'B-DEVA': ['वैदेहि', 'रामेण'], 'B-HUMAN': ['कृपणेन', 'गतायुषा']}
एतद् च मे उक्तं वाक्यं यदि त्वं न करिष्यसि वयम् सर्वाः अस्मिन् मुहूर्ते त्वा भक्षयिष्यामहे	O O O O O O O O O O O O B-MUHURTA O O	41	{'B-MUHURTA': ['मुहूर्ते']}	{'B-MUHURTA': ['मुहूर्ते']}	{'B-<सत्त्व:1>': ['<पदम्‌_5>']}	"वाक्यम्‌: एतद् च मे उक्तं वाक्यं यदि त्वं न करिष्यसि वयम् सर्वाः अस्मिन् मुहूर्ते त्वा भक्षयिष्यामहे
फलित"
अन्या तु लम्बमानपयोधरा विकटा नाम कुपिता मुष्टिम् उद्यम्य गर्जती सीतां अब्रवीत्	O O O B-RAKSHASA O O O O O B-HUMAN O	42	{'B-HUMAN': ['अन्या', 'सीतां']}	{'B-HUMAN': ['सीता']}	{'B-<ASURA>': ['लम्बमानपयोधरा'], 'B-<HUMAN>': ['सीता'], 'B-<ASURA>': ['विकटा'], 'B-<ASURA>': ['कुपिता']}	{'B-DEVA': ['अन्या'], 'B-RAKSHASA': ['लम्बमानपयोधरा'], 'B-HUMAN': ['सीतां'], 'B-ASURA': ['कुपिता']}
सुदुर्मते मैथिलि तव बहूनि अप्रतिरूपाणि वचनानि अनुक्रोशात् मृदु च त्वात् सोढानि	O B-HUMAN O O O O O O O O O	43	'B-HUMAN': ['मैथिलि']	{'B-HUMAN': ['मैथिलि']}	{}	{'B-DEVA': ['सुदुर्मते', 'मैथिलि', 'तव', 'अनुक्रोशात्', 'मृदु', 'च', 'त्वात्'], 'B-HUMAN': ['बहूनि', 'अप्रतिर
मैथिलि आनीता असि समुद्रस्य पारम् रावणस्य घोरं अन्तःपुरम् प्रविष्टा असि च अन्यैर् दुरासदम्	B-HUMAN O O B-SEA O B-ASURA O B-PALACE O O O O O	44	{'B-HUMAN': ['मैथिलि'], 'B-SEA': ['समुद्रस्य'], 'B-ASURA': ['रावणस्य'], 'B-PALACE': ['अन्तःपुरम्']}	{'B-SEA': ['समुद्रस्य'], 'B-RAKSHASA': ['रावणस्य'], 'B-PALACE': ['अन्तःपुरम्']}	{'B-<सत्त्व:1>': ['समुद्रस्य'], 'B-<सत्त्व:2>': ['रावणस्य', 'अन्तःपुरम्']}	{'B-DEVA': ['मैथिलि', 'रावणस्य'], 'B-HUMAN': ['असि', 'पारम्', 'प्रविष्टा'], 'B-RAKSHASA': ['अन्तःपुरम्'], 'B-
रावणस्य गृहे रुद्धा तु अस्माभिः सुरक्षिता त्वां परित्रातुम् साक्षात् पुरंदरः अपि न शक्तः	B-ASURA B-HOUSE O O O O O O O B-DEVA O O O	45	{'B-RAKSHASA': ['रावणस्य'], 'B-HOUSE': ['गृहे'], 'B-DEVA': ['पुरंदरः']}	{'B-RAKSHASA': ['रावणस्य'], 'B-HOUSE': ['गृहे'], 'B-DEVA': ['पुरंदरः']}	{'B-<HUMAN>': ['रावणस्य'], 'B-<HOUSE>': ['गृहे'], 'B-<DEVA>': ['पुरंदरः']}	{'
मैथिलि हित वादिन्याः मम वचनं कुरुष्व	B-HUMAN O O O O O	46	{'B-HUMAN': ['मैथिलि']}	{'B-HUMAN': ['मैथिलि']}	{}	{'B-DEVA': ['मैथिलि', 'हित', 'वादिन्याः'], 'B-HUMAN': ['मम', 'वचनं', 'कुरुष्व']}
सीते त्यज नित्य दैन्यताम् भज प्रीतिं प्रहर्षं च राक्षसराजेन सह यथासुखम् क्रीड	B-HUMAN O O O O O O O B-RAKSHASA O O O	47	{'B-HUMAN': ['सीते'], 'B-RAKSHASA': ['राक्षसराजेन']}	{'B-RAKSHASA': ['राक्षसराजेन']}	{'B-RAKSHASA': ['राक्षसराजेन']}	{'B-DEVA': ['स
मदिरेक्षणे त्वं राक्षसराजेन सह उद्यानानि च रम्याणि पर्वत च उपवनानि चर	O O O O B-GARDEN O O B-MOUNTAIN O B-FOREST O	48	{'B-RAKSHASA': ['राक्षसराजेन'], 'B-GARDEN': ['उद्यानानि'], 'B-MOUNTAIN': ['पर्वत'], 'B-FOREST': ['उपवनानि']}	{'B-RAKSHASA': ['राक्षसराजेन']}	{'B-<RAKSHASA>': ['राक्षसराजेन'], 'B-<GARDEN>': ['उद्यानानि'], 'B-<MOUNTAIN>': ['पर्वत'], 'B-<FOREST>': ['उपवनानि']}	{'B-RAKSHASA': ['राक्षसराजेन'], 'B-DEVA': ['त्वं'], 'B-RAKSHASA': ['राक्षसराजेन'], 'B-RAKSHASA': ['राक्षसराजेन'], 'B-RAK
सर्व रक्षसाम् भर्तारं रावणं भर्तारं भज	O O O B-ASURA O O	49	{'B-RAKSHASA': ['राक्षसाम्', 'रावणम्']}	{'B-RAKSHASA': ['रक्षसाम्', 'रावणं']}	{'B-<ASURA>': ['रक्षसाम्', 'रावणं'], 'I-<ASURA>': ['भर्तारं', 'भर्तारं']}	{'B-RAKSHASA': ['रावण']}
मैथिलि मे व्याहृतं वाक्यं यदि यथावत् न करिष्यसि ते हृदयं उत्पाट्य वा भक्षयिष्यामि	B-HUMAN O O O O O O O O O O O O	50	{'B-HUMAN': ['मैथिलि']}	{'B-RAKSHASA': ['मैथिलि']}	{'B-<ASURA>': ['उत्पाट्य'], 'B-<ASURA>': ['भक्षयिष्यामि']}	{'
