index	ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct	ANSWER_LEMMA	gpt-4o_LEMMA	gpt-4o-mini_LEMMA	llama-v3p1-405b-instruct_LEMMA	llama-v3p1-8b-instruct_LEMMA
14	15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः; पुत्रेष्टियज्ञः; पुत्रकामेष्टिः; पुत्रकामेष्टियज्ञः		पुत्रकामेष्टियज्ञः	पुत्रकामेष्टि	पुत्रकामेष्टि यज्ञः	अश्वमेध यज्ञ	['puutreṣṭi', 'putra iṣṭi yajña', 'putra kāma iṣṭi', 'putra kāma iṣṭi yajña']	putra kāma iṣṭi yajña	putra kāma iṣ yajña	putra kāma iṣ	aśvamedha yajña
15	16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		शतानन्दः	शतानंदः	वसिष्ठः	वशिष्ठः	['śatānanda']	śatānanda	vasiṣṭha	śatānanda	vaśiṣṭha
16	17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेना	मेनका	मेनका	मेनका	['menakā']	menā	menakā	menakā	menakā
17	18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालाः; सालवृक्षाः		सल्लकी	सालवृक्षाः	शरस्वती	अशोकवृक्षानाम्	['sāla', 'sālavṛkṣa']	sallakī	śaisvata	sālavṛkṣa	aśoka vṛkṣa
18	19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		कुशध्वजः	कुशध्वजः	उषा	विश्वावासु	['kuśadhvaja']	kuśadhvaja	uṣas	kuśadhvaja	viśvāva
19	20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		कौशिकः	चमसः	ऐरावतः	वशिष्ठ	['kāñcana']	kauśika	airāvata	camasa	vaśiṣṭha
20	21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगेन		त्रेतायुगः	त्रेतायुगः	वाल्मीकिः	वाल्मीकि	['tretā yuga']	tretā yuga	vālmīki	tretā yuga	vālmīki
21	22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवा	वाराहः	['uccaiḥśravas']	uccaiḥśravas	uccaiḥśravas	uccaiḥśravas	vārāha
22	23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		नन्दनवनम्	अन्तःपुरम्	अपर्णां वनम्	अनुसूया	['pramadā vana']	nandana vana	aparṇā vana	antaḥpura	anusūyā
23	24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		रत्नाकरः	रत्नाकरः	बालकृत्यं	वाल्मीकि	['ratna ākara']	ratna ākara	bāla kṛtya	ratna ākara	vālmīki
24	25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		वाल्मीकि	वाल्मीकिः	विष्णु	रावण	['vālmīki']	vālmīki	viṣṇu	vālmīki	rāvaṇa
25	26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		एरावतः	दिग्गजः	गजः	भारद्वाज	['virūpākṣa']	erāvat	gaja	diggaja	bhāradvāja
26	27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः; अरिष्टपर्वतः		महेन्द्रः	महेन्द्रगिरिः	गौरीशंकरः	श्रृंगवेरपुरम्	['ariṣṭa', 'ariṣṭaparvata']	indra	gaurī śaṃkara	indra giri	śṛṅgavera pura
27	28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः; कामधेनुः		कामधेनुः	नन्दिनी	नन्दिनी	नलिनी	['surabhi', 'kāmadhenu']	kāmadhenu	nandinī	nandinī	nalinī
28	29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		रामचरितमानस	रामचरितमानस	रामचरितमानस	वाल्मीकि	['rāma carita mānasa']	rāma carita mānasa	rāma carita mānasa	rāma carita mānasa	vālmīki
29	30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		विरूढकः	पुष्पक	नल	नरनाथः	['maṇibhadra']	virūḍhaka	nala	puṣpaka	nara nātha
30	31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः; क्षीरोदः; क्षीरसागरः; क्षीरसमुद्रः		क्षीरसागरः	क्षीरसागरः	समुद्रमन्थनम्	महर्षि	['kṣīroda sāgara', 'kṣīroda', 'kṣīrasāgara', 'kṣīra samudra']	kṣīrasāgara	samudra mathana	kṣīrasāgara	ṛṣi
31	32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः; रामेश्वरम्		रमेश्वरम्	रामेश्वरम्	रामेश्वरम्	रामसेतु	['rāmeśvara', 'rāmeśvara']	rameśvara	rāmeśvara	rāmeśvara	rāmasetu
32	33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		शुकः	शुकः	जटायु:	सुमन्त्रः	['anala']	śuka	jaṭāyu	śuka	sumantra
33	34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः; हिमवान्		हिमालयः	हिमालयः	Meru	हिमवान्तः	['himālaya', 'himavant']	himālaya		himālaya	himavant
34	35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बालकाण्डः	बालकाण्डम्	बालकाण्डम्	बाल काण्डम्	['bāla kāṇḍa']	bāla kāṇḍa	bāla kāṇḍa	bāla kāṇḍa	bāla kāṇḍa
35	36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरकाण्डः	उत्तरकाण्डम्	उत्तरीकाण्डम्	उत्तरम् : उत्तरकाण्डम्	['uttarakāṇḍa']	uttarakāṇḍa	uttarī kāṇḍa	uttarakāṇḍa	kāṇḍa
36	37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		ऐरावतः	इन्द्रजानु	इन्द्रजित्	श्रीरामः	['airāvata']	airāvata	indrajit	indrajānu	śrīrāma
37	38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		विशल्या	संजीवनी	सूर्यकान्तम्	सुमन्त्र	['saṃjīvanī']	viśalyā	sūryakānta	saṃjīvanī	sumantra
38	39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		कश्यपः	भृगुः	ब्रह्मा	प्रजापतिः	['śeṣa']	kaśyapa	brahman	bhṛgu	prajāpati
39	40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		त्रिजटः	शम्बूकः	सुवर्णदण्डः	अर्थात	['trijaṭa']	trijaṭa	suvarṇa daṇḍa	śambūka	arthāta
40	41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		पुष्पक	पुष्पकम्	_push्पक_	अन्तरिक्षपाल	['puṣpaka']	puṣpaka	paka	puṣpaka	antarikṣa pāla
41	42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		विरूपाक्षस्य	शिवः	विष्णोः	विष्णुस्य	['śiva']	virūpākṣa	viṣṇu	śiva	viṣṇu
42	43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		भगवान्पाराशरः	अगस्त्यम्	शतकुचायनं	विश्वामित्र	['agastya']	pārāśara	kucāyana	agastya	viśvāmitra
43	44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		जातासुर:	प्रजापतिः	पुलस्त्यः	मारीचः	['pratāpa bhānu']	jan asura	pulastya	prajāpati	mārīca
44	45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		मिथिला	विदेहनगरी	नान्दिनि	अयोध्या	['vaijayanta']	mithilā	andini	videha nagarī	ayodhyā
45	46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य; रुद्रस्य		शिवस्य	शिवः	शिवः	शिवाचे	['śiva', 'rudra']	śiva	śiva	śiva	śivāc
46	47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः; कौस्तुभमणिः		कौस्तुभः	कौस्तुभमणिः	लक्ष्मी	लक्ष्मी	['kaustubha', 'kaustubha maṇi']	kaustubha	lakṣmī	kaustubha maṇi	lakṣmī
47	48	नलकूबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		रम्भा	रम्भा	पुंच्तिका	मेनका	['rambhā']	rambhā	puṃśtikā	rambhā	menakā
48	49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		सिंशुपवृक्षः	अशोकवृक्षे	सिंताक्षी	अशोकवाटिका वृक्षः	['aśoka']	siṃśupavṛkṣa	siṃtākṣī	aśoka vṛkṣa	aśokavāṭikā vṛkṣa
49	50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः		ऐरावतः	ऐरावतः	एरावतः	एंड्रजित	['airāvata']	airāvata	erāvat	airāvata	eṃḍra ji
50	51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः		ऐरावतः	पुष्पदन्तः	हेमदन्तः	वासुकी	['puṣpakarṇa']	airāvata	heman danta	puṣpadanta	vāsuki
51	52	यमस्य गजस्य किम् नाम?	महापद्मः		अग्रतर्पणः	महापद्मः	गजदन्तः	अनुमान	['mahāpadma']	agra tarpaṇa	gaja danta	mahāpadma	anumāna
52	53	वरुणस्य गजस्य किम् नाम?	सौमनसः		ऐरावतः	पुष्पदन्त	एरावतः	पुष्पक	['saumanasa']	airāvata	erāvat	puṣpadanta	puṣpaka
53	54	तस्य समुद्रस्य किम् नाम यस्य जलं रक्तवर्णीयम् आसीत्?	लोहितसागरः; लोहितः		लंका-सागरः	लोहितसमुद्रः	लङ्काद्वारम्	मारीचसमुद्र	['lohita sāgara', 'lohita']	laṃkāsāgara	laṅkā dvāra	lohita samudra	mārīca samudra
54	55	श्रीरामादीनाम् चतुर्णां भ्रातॄणां विवाहकर्म यः ऋषिः अकुरुत तस्य किम् नाम?	वसिष्ठः		वशिष्ठः	वशिष्ठः	वशिष्टः	वशिष्ठः	['vasiṣṭha']	vaśiṣṭha	vaśiṣ	vaśiṣṭha	vaśiṣṭha
55	56	यः महर्षिः श्रीरामस्य दुःखपूर्णजीवनस्य भविष्यकथनम् अकरोत् तस्य किम् नाम?	दुुर्वासाः		वाल्मीकिः	नारदः	वाल्मीकि	वाल्मीकि	['duurvāsas']	vālmīki	vālmīki	nārada	vālmīki
56	57	यः काकः गरुडाय रामकथां अश्रावयत् तस्य किम् नाम?	काकभुशुण्डिः		काकभुशुण्डिः	काकभुशुण्डि	जटायु:	सुमंत्रः	['kāka bhuśuṇḍi']	kāka bhuśuṇḍi	jaṭāyu	kāka bhuśuṇḍi	mantra
57	58	अमरावती कस्य पुर्याः नाम आसीत्?	इन्द्रस्य		इन्द्रस्य	इन्द्रस्य	इन्द्रस्य	अयोध्या	['indra']	indra	indra	indra	ayodhyā
58	59	अश्वमेधयज्ञस्य अश्वस्य मस्तके यत् पत्रं बध्यते तस्य किम् नाम?	जयपत्रम्		पत्रम्	चामरपत्रं	पताकाः	अर्धचंद्र	['jaya pattra']	pattra	patākā	cāmara pattra	ardhacaṃdra
59	60	शत्रुणा प्रयुक्तम् अस्त्रं निष्फलीकर्तुं यः विधिः तस्य नाम किम् ?	रभसः		प्रत्यस्त्रविधिः	ब्रह्मास्त्रनिवारणविधिः	ब्रह्मास्त्रं	अग्नि-स्त्रैष्टि	['rahas']	pratyastra vidhi	brahmāstra	brahmāstra nivāraṇa vidhi	agnistraiṣṭi
60	61	तस्य राक्षसस्य किं नाम आसीत् यः रावणं सीतायाः हत्यां मा कुरु इति बोधितवान् ?	सुपार्श्वः		विभीषणः	मारीचः	विभीषणः	मेघनादः	['supārśva']	vibhīṣaṇa	vibhīṣaṇa	mārīca	meghanāda
61	62	समुद्रमन्थनात् यत् भीषणं विषं निर्गतं तस्य नाम किम् ?	हलाहलम्; हालाहलम्  		कालकूटम्	हलाहलम्	कालकूटम्	वासुकि	['halāhala', 'hālāhala']	kālakūṭa	kālakūṭa	halāhala	vāsuki
62	63	समुद्रमन्थनाय यः पर्वतः मथनीकृतः, तस्य नाम किम्?	मन्दरः		मन्दर:	मंदरः	मंदराचलः	मानサहस्रंशिरस्	['mandara']	mandara	mandarācala	maṇdara	māna upalabh saṃśiras
63	64	रामायणस्य प्रमुखतमस्य काण्डस्य नाम किम्?	युद्धकाण्डम्		बालकाण्डः	युद्धकाण्डम्	किष्किन्धाकाण्डम्	युद्धकाण्डम्	['yuddha kāṇḍa']	bāla kāṇḍa	kiṣkindhā kāṇḍa	yuddha kāṇḍa	yuddha kāṇḍa
64	65	रामायणस्य लघुतमस्य काण्डस्य नाम किम्?	अरण्यकाण्डम्		बालकाण्डः	सुन्दरकाण्डम्	बालकाण्डम्	उत्तरम् : सुन्दरकाण्डम्	['araṇya kāṇḍa']	bāla kāṇḍa	bāla kāṇḍa	sundara kāṇḍa	sundarakāṇḍa
65	66	राजा जनकस्य सः मन्त्री कः आसीत् यः जनकस्य आज्ञया राजानं दशरथं आह्वातुं अयोध्यां गतः?	सुदामा		शतानन्दः	शतानंदः	सर्वदमनः	वशिष्ठ	['sudāman']	śatānanda	damana	śatānanda	vaśiṣṭha
66	67	तस्य सरोवरस्य किं नाम आसीत् यः योजनपरिमितः दीर्घः तावदेव विस्तृतः च ?	पञ्चाप्सरः; पञ्चाप्सरस्सरः		पम्पासरः	पंपासरः	पम्पा	मानसरोवर	['apsaras', 'apsaras saras']	pampāsara	pampā	paṃpāsara	mānasa vara
67	68	सः पर्वतः कः आसीत् यस्य शिखराणि शतम् आसन्, यः सिंधुसमुद्रयोः सङ्गमे स्थितः आसीत्?	हेमगिरिः; हेमकूटः		मैनाकः	महेन्द्रगिरिः	महेश्वरः	मेरु पर्वतः	['heman giri', 'heman kūṭa']	maināka	maheśvara	indra giri	meru parvata
68	69	अष्टमस्य वसोः नाम किम्?	सावित्रः		ध्रुवः	लक्ष्मणः	अष्टावक्रः	अष्टमस्य वसोः नाम अहल्या	['sāvitra']	dhruva	aṣṭāvakra	lakṣmaṇa	aṣṭama vasu ahalyā
69	70	रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः कः आसीत् ?	शुकः		शुकः	शुकः	महापरशुरामः	वानरराज्ञः सुग्रीवस्य समीपं प्रेषितः दूतः वाली आसीत्	['śuka']	śuka	paraśurāma	śuka	vānara rājan sugrīva samīpa preṣay dūta vālin
70	71	तस्य वानरयूथपतेः नाम किम् आसीत् यः काषायः इव रक्तवर्णीयः आसीत् ?	गवयः		बालिः	हनुमान्	हनुमान्	वाली	['gavaya']	bāli	hanumant	hanumant	vālin
71	72	तस्य वानरयूथपतेः नाम किम् आसीत् यः रजतम् इव शुभ्रः आसीत् ?	श्वेतः		सुग्रीवः	हनुमान्	सुग्रीवः	वाली	['śveta']	sugrīva	sugrīva	hanumant	vālin
72	73	तस्य ग्रहस्य किं नाम यः यथासमयं सूर्यचन्द्रयोः ग्रहणं करोति?	राहुः		राहुः	राहु	कुजः	राहु	['rāhu']	rāhu	kuja	rāhu	rāhu
73	74	कस्य मन्त्रिणः नाम प्रभावः आसीत् ?	सुग्रीवस्य		दशरथस्य	हनुमतः	सुग्रीवः	श्रुतकीर्ति	['sugrīva']	daśaratha	sugrīva	hanumant	śrutakīrti
74	75	रामायणकालीनाः काश्याः अद्यतनीयं नाम किम् ?	वाराणसी		वाराणसी	वाराणसी	वाराणसी	शाक्यमुनि	['vārāṇasī']	vārāṇasī	vārāṇasī	vārāṇasī	śākyamuni
75	76	रामायणकालीनस्य लवपुरस्य अद्यतनीयं नाम किम् ?	लाहौरः; लाहोरः		इलाहाबादः	लाहौरम्	लक्ष्यपुरम्	सुमित्रा	['lāhaura', 'lāhora']	ilāha ābāda	lakṣyapura	lāhaura	sumitrā
76	77	रामायणकालीननगरी मधुपुरी इत्यस्याः अद्यतनीयं नाम किम् ?	मथुरा		मथुरा	मथुरा	मधुपुरी	अयोध्या	['mathurā']	mathurā	madhu purī	mathurā	ayodhyā
77	78	मारुत इति कस्याः देवतायाः नाम अस्ति ?	वायोः; वायुदेवतायाः		वायोः	वायुदेवतायाः	वायु देवता	वायु	['vāyu', 'vāyu devatā']	vāyu	vāyu devatā	vāyu devatā	vāyu
78	79	इन्द्रस्य प्रसिद्धस्य उद्यानस्य नाम किम् ?	नन्दनम्; नन्दनवनम्		नन्दनवनम्	नन्दनम्	नन्दना	मेनका	['nandana', 'nandana vana']	nandana vana	nandana	nandana	menakā
79	80	इन्द्रस्य सारथेः नाम वदतु।	मातलिः		मतलिः	मातलिः	सूर्यदत्तः	वृत्रासुरः	['mātali']	matali	sūryadatta	mātali	vṛtrāsura
80	81	तस्याः गन्धर्व्याः नाम किं या स्वस्य  तिसॄणां पुत्रीणां  विवाहं माल्यवान्, सुमाली माली चेत्येतैः अकारयत् ?	नर्मदा		नन्	सुकेशी	माल्यवान्	माल्यवान्, सुमाली माली चेत्येतैः	['narmadā']	nan	mālyavant	sukeśa	mālyavant sumālin mālin
81	82	तस्य वानरस्य किं नाम यः एकस्मिन् सरोवरे आत्मच्छायां दृष्ट्वा तेन सह युद्धाय अकूर्दत, स्त्री अभवच्च ?	ऋक्षराजः		वालिनः	वाली	हनुमान्	सुमित्रा	['ṛkṣa rāja']	vālin	hanumant	vālin	sumitrā
82	83	मेघनादः यस्याः देव्याः पूजां करोति स्म तस्याः नाम किम् आसीत् ?	निकुम्भिला		निखिलाभ्या	निकुम्भिला	सिता	रावणः	['nikumbhila']	nikhila	sitā	nikumbhila	rāvaṇa
83	84	हनुमतः जननी पूर्वजन्मनि आप्सराः आसीत्, अप्सरारूपेण तस्याः नाम किम् आसीत्?	पुञ्जिकस्थला		पुञ्जिकस्थला	पुंजिकस्थला	पुर्णिमा	अनुसूया	['puñjikasthalā']	puñjikasthalā	purṇimā	puṃjikasthalā	anusūyā
84	85	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् यं पर्वतं औषधिसहितं उन्नीय आनयत् तस्य नाम किम्?	द्रोणगिरिः; द्रोणः; द्रोणाचलम्		द्रोणगिरि:	संजीवनीपर्वतः	संजीवनी	श्रृंगवेरप पर्वतम्	['droṇagiri', 'droṇa', 'droṇa acala']	droṇagiri	saṃjīvanī	saṃjīvanī parvata	śṛṅgavera pa parvata
85	86	सीतायाः अन्वेषणं कुर्वन् लङ्कां प्राप्य हनुमान् यं विमानम् अपश्यत् तस्य नाम किम्?	पुष्पकम्		पुष्पकम्	पुष्पकम्	संधानम्	वानरविमानं	['puṣpaka']	puṣpaka	saṃdhāna	puṣpaka	vānara vimāna
86	87	तस्याः राक्षस्याः किं नाम या उपलङ्कां समुद्रे अवसत् उड्डयमानान् जीवाञ्च आकृष्य खादति स्म ?	सिंहिका		सिंहिका	सिंहिका	शूर्पणखा	मारीचः	['siṃhikā']	siṃhikā	śūrpaṇakhā	siṃhikā	mārīca
87	88	कुब्जा एतासु कस्याः नाम आसीत्?	मन्थरा	 कैकेयी / मन्थरा / सुलोचना / मन्दोदरी	मन्थरा	मन्थरा	मन्थरा	कैकेयी	['mantharā']	mantharā	mantharā	mantharā	kaikeyī
88	89	लङ्कायां रक्षसानां कुलदेवतायाः यत् स्थानं तस्य नाम किम्?	चैत्यप्रासादः		निकुम्भिला	निकुम्बिला	सीता-रावण-सम्प्रदायम्	रावण	['caitya prāsāda']	nikumbhila	sītā rāvaṇa sampradāya	nikumbilā	rāvaṇa
89	90	रामायणमहाकाव्यस्य द्वितीयं नाम किम् आसीत्?	पौलस्त्यवधः; पौलस्त्यवधम्		अयोध्याकाण्डम्	पौलस्त्यवधम्	किष्किन्धाकाण्डम्	युद्धकाण्डम्	['paulastya vadha', 'paulastya vadha']	ayodhyā kāṇḍa	kiṣkindhā kāṇḍa	paulastya vadha	yuddha kāṇḍa
90	91	श्रीरामेण वालिवधार्थम् वालिना सह युद्धं कुर्वाणः सुग्रीवः यां मालाम् अधरत् तस्य नाम किम्?	गजपुष्पी		रत्नमाला	माल्यावती	पद्मा	सीता	['gajapuṣpī']	ratna mālā	padma	mālyāvat	sītā
91	92	श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् यया भरतः नौकया गङ्गां तीर्णवान् तस्याः नाम किम्?	स्वस्तिकः		गुहः	नन्दिग्रामतः प्रस्थाय श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् भरतः नौकया गङ्गां तीर्णवान्  तस्याः नौकायाः नाम न	नौका	गोदावरी	['svastika']	guha	naukā	nandigrāma prasthā śrīrāma vana pratyāvartay bharata naukā gaṅgā tṛ naukā	godāvarī
92	93	अद्यतन्याः व्यासनद्याः रामायणकाले किं नाम आसीत्?	विपाशा		तामसा नदी	सतलज	सर्गः	अद्यतन्याः व्यासनद्याः रामायणकाले त्रेतायुगम् आसीत्	['vipāśā']	tāmasa nadī	sarga	tala ja	adyatani vyāsanadya rāmāyaṇa kāla tretā yuga
93	94	तस्य धनुषः नाम किं यत् महर्षिः परशुरामः श्रीरामं (सीतास्वयम्वरे) यस्मिन् बाणसन्धानं कर्तुं समाहूतवान्?	वैष्णवधनुः		शिवधनुः	वैष्णवम्	रामस्य धनुषः	अर्जुन	['vaiṣṇavadhanus']	śivadhanus	rāma dhanus	vaiṣṇava	arjuna
94	95	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम किम्?	चित्ररथम्; चित्ररथवनम्; चैत्ररथम्		चित्ररथवनम्	चैत्ररथम्	अयोध्यापुरी	अलकापुरी	['citraratha', 'citrarathavana', 'caitra ratha']	citrarathavana	ayodhyā purī	caitra ratha	alakāpurī
95	96	कलहप्रियः कस्य नाम आसीत्?	नारदः		कैकेयी	रावणस्य	विभीषणः	रावण	['nārada']	kaikeyī	vibhīṣaṇa	rāvaṇa	rāvaṇa
