ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
1011	व्रीहिषु कः श्रेष्ठः?	 कृष्णव्रीहि		श्यामाकः	शालिः	शालिव्रीहिः	शालिः	"रक्तशालिः

रक्तशालिः आयुर्वेदे श्रेष्ठतमः व्रीहिः मन्यते अयं पौष्टिकः, स"	"सामान्यतया, ""सामान्य व्रीहि"" श्रेष्ठः मन्यते"	व्रीहिषु कः श्रेष्ठः? अयम् प्रश्नः आयुर्वेद-शास्त्रे वर्तते	शालयः	शालि-व्रीहिः	व्रीहिषु श्रेष्ठः गोधूमः
1012	वार्षिकस्य व्रीहेः वर्णः कः? 	शुक्लः		श्वेतः	श्वेतः	श्वेतः	श्वेतः	"रक्तः

वार्षिकस्य व्रीहेः वर्णः रक्तः भवति आयुर्वेदे रक्तशालिः इति नाम्ना अय"	व्रीहेः वर्णः श्वेतः अस्ति	"वार्षिकस्य व्रीहेः वर्णः कः? 

वार्षिकस्य व्रीहेः वर्णः श्वेतः"	कृष्णः	वार्षिकस्य व्रीहेः वर्णः श्वेतः	वार्षिकस्य व्रीहेः वर्णः कृष्णः
1013	व्रीहेः विपाकः कः ? 	मधुर	अम्ल / कटु / मधुर / उष्ण	मधुर	मधुर	मधुर	**मधुरः**  व्रीहिः स्वभावतः मधुर-विपाकी वर्तते	मधुर	व्रीहेः विपाकः मधुरः अस्ति	व्रीहेः विपाकः मधुरः अस्ति	मधुरः	मधुर	व्रीहेः विपाकः मधुरः
1014	सर्षपस्य प्रभावः कः? 	रक्षोहर	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	रक्षोहर	रक्षोहर	सर्षपस्य प्रभावः रक्षोहर		"अलक्ष्मीहर

सर्षपस्य प्रभावः अलक्ष्मीहरः इति मन्यते आयुर्वेदे च लोकपरम्"	सर्षपस्य प्रभावः अलक्ष्मीहर अस्ति	सर्षपस्य प्रभावः रक्षोहरः इति	"**रक्षोहर**

सर्षपः रक्षोघ्नौषधीनाम् अन्यतमा भवति  अस्य गन्धः तीव्रः उष्णश्च भवति, येन दैत्याः, असुराः, राक्षसाः च परावर्"	सर्षपस्य प्रभावः अलक्ष्मीहरः	अलक्ष्मीहर
1015	दधेः वीर्यगुणः कः?	उष्णः		शीतः	दधेः वीर्यगुणः शीतः	दधेः वीर्यगुणः शीतः	शीत:	दधेः वीर्यगुणः शीतः दधि शरीरे शीतलतां प्रददाति, अतः एतस्य वीर्यं शीतम् इति आयुर	दधेः वीर्यगुणः सत्त्ववर्धनः	दधि एकं लोकप्रियं दुग्धोपादानं अस्ति दध्नोः वीर्यं गुणव	वृष्यः	दधेः वीर्यगुणः शीतलः	दधि-वीर्यगुणः शीतलः
1016	कः रसः हरितक्याम् नास्ति ? 	लवणः		लवणः	कटुरसः	लवणः	मधुरः	"मधुरः रसः हरितक्याम् नास्ति

आयुर्वेदशास्त्रानुसारं हरितकी (हरड़) पञ्चरसात्मि"	हरितक्याः कषायः रसः न अस्ति	हरीतक्याम् कः रसः नास्ति? नास्ति	अमल:	कटुरस् नास्ति	तिक्तः
1017	लौहधातोः कति दोषाः उक्ता? 	 ७		अष्टौ	त्रयः	लौहधातोः त्रयोदश दोषाः उक्ताः	त्रयः  कब्जकरत्वात्	आयुर्वेदशास्त्रानुसारं लौहधातोः दश दोषाः उक्ताः सन्ति	लौहधातोः त्रयः दोषाः उक्ताः - वात, पित्त, कफ	लौहधातोः कुशली अपि व्यक्तयः प्रत्येकं व्यक्तिं विभजन्ति तस	द्वादश	लौहधातोः दोषाः त्रयः उक्ताः	लौहधातोः पञ्च दोषाः उक्ताः
1018	हरीतक्याः रसाः कतिपयः ? 	पञ्च		षट्	षड्	षड्रसा	षण्ण  हरीतकी षड्रसा युक्ता	हरीतक्याः षड् रसाः सन्ति ते च - मधुरः, अम्लः, कषायः, तिक्तः, कटुः, लवणश्च हरी	हरीतकीस्य रसः तु तिक्तः एव	हरीतकी फलस्य रसः कफवातहरणः च स्वादुरसः अस्ति यः रसः तत्र क	पञ्च	तिक्तः, कषायः, मधुरः च	हरीतक्याः रसाः पञ्च
1019	धान्यकस्य रसाः कतिपयः 	द्वे		मधुर, कटु, तिक्त	षड्रसाः	धान्यकस्य रसाः त्रीणि	षट्  धान्यस्य मधुर-अम्ल-लवण-कटु-तिक्त-कषाय-इति षड्रसाः	"धान्यकस्य (धनियाया:) रसाः त्रयः सन्ति:

1 कषायः
2 तिक्तः
3 मधुरः

एते त्रयः र"	धान्यकस्य रसाः त्रीणि सन्ति: कटुकः, तिक्तः, तथा मधुरः	धान्यकस्य रसाः कतिपयः अल्पाः भवन्ति उदाहरणार्थं, धान्यकस	षड् रसाः	धान्यकस्य रसाः सप्त	धान्यकस्य रसाः पञ्चमः, मधुरः, लवणः, तिक्तः, कटुः, काशायः, उष्णः, शीतः, स्निग्धः, तीक्ष्णः, स्वादु,
1020	अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	नारिकेरक्षीरी	नारिकेरः ओदनस्य घटकः अस्ति	नारिकेरक्षीरी	**पायस**  नारिकेलं मधुर-शीतलत्वात् पायसे प्रयुज्यते	पायस	नारिकेरक्षीरी कृतान्नस्य घटकः अस्ति	नारिकेरक्षीरी नाम्ना एकः एव कृतान्नस्य घटकः अस्ति नारिकेरक	नारिकेलक्षीरी	नारिकेरः क्षीरिकायाः कृतान्नस्य घटकः अस्ति	नारिकेरक्षीरी
1021	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन	ओदन / दालि / सूप / पोलिका	ओदन	ओदन	ओदनस्य	ओदनस्य	ओदन	सुधौतः तण्डुलः इति कृतान्नस्य घटकः ओदनस्य स्यात्	सुधौतः तण्डुलः इति ओदनस्य घटकः स्यात्	**सुधौतः तण्डुलः सूपस्य घटकः स्यात्**	ओदनस्य घटकः स्यात्	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? - सूप
1022	क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	क्षीरम्	अर्धपक्वं शुद्धं दुग्धम्	क्षीरिकायाः घटकाः - अर्धपक्वं शुद्धं दुग्धम्	**दुग्धम्**	क्षीरम्	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, च क्षीरम् इति सन्ति	क्षीरिका अर्धपक्वं शुद्धं दुग्धम् भवति	"शुद्धं दुग्धम्

क्षीरिकायाः घटकाः शुद्धं दुग्धम् अस्ति क्षीरिका, दध्यादिभ्यः निर्मितः पदार्थः, दुग्धस्य एव अपरः नाम अस्ति एतत् पद"	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, क्षीरम्, दधि
1023	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	अङ्गारभर्जनम्	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्		अङ्गारभर्जनम्	अङ्गारभृष्टचणकः अङ्गारभर्जनम् उपदिश्य उत्पद्यते	अङ्गारभृष्टचणकः पाचनम् इति उत्तरं अङ्गारभृष्टचणक	अङ्गारभर्जनम्	अङ्गारभृष्टचणकः अङ्गारभर्जनेन उत्पद्यते	अङ्गारभृष्टचणकः पाचनम् संस्कारेण उत्पद्यते
1024	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	चणकः	चणकः	चणकः	वातकृत्	चणकसूपः शिम्बिधान्यस्य कृतान्नम् अस्ति	चणकसूपः चणकस्य कृतान्नम् अस्ति	चणकसूपः चणकस्य कृतान्नं अस्ति चणकः कृतान्नं चणकसूपः	मस्सिका	चणकसूपः चणकस्य कृतान्नम् अस्ति	चणकसूपः मुद्गकृतान्नम् अस्ति
1025	यवेषु केन संस्कारेण धाना उत्पद्यते?	भर्जनसंस्कारः		मर्दन-संस्कारः	पाकेन	धान्येषु तण्डुलानां संस्कारेण धाना उत्पद्यते	तण्डुलैः	यवेषु भर्जन-संस्कारेण धाना उत्पद्यते	यवेषु भूतल-संस्कारः प्रकटितः अस्ति	धानं यवस्य एक भागः अस्ति तस्मात् धानं उत्पद्यते यथा हि य	प्रारम्भे यवाः गोमयेन संस्कृताः ततः सप्तरात्रेण भूमौ निधाय अङ्कुरितत्वे धाना उत्पद्यते	यवेषु धानोत्पादनार्थं शोधनसंस्कारः क्रियते	यवेषु पानेन धाना उत्पद्यते
1026	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम्	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	शुष्कभर्जनम्	आर्द्रभर्जनम्	स्वेदनम्	**स्वेदनम्** | स्वेदनेन चणकः सुपाच्यः बल्यश्च भवति	आर्द्रभर्जनम्	आर्द्रभर्जनम्	चणकः बल्यः भवति वातपित्तसंबंधीयं आर्द्रभर्जनम् च चणकस	शुष्कभर्जनम्	आर्द्रभर्जनम्	आर्द्रभर्जनम्
1027	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् + वेल्लनम्	पाचनम् / वेल्लनम् / चिपिटीकरणम्	चिपिटीकरणम्	पाचनम्	पाचनम्	"**वेल्लनम् चिपिटीकरणम् च**  

**कथम् ?**

पोलिकायाः निर्माणार्थं गुण्डितान् पिष्टान् च चूर्णान् वेल्लनं द्वारा चिपिटीकृत्य  तनुं पत्रं निर्मी"	"पोलिकायाः उत्पत्तौ आवश्यकाः संस्काराः:

पाचनम्
वेल्लनम्
चिपिटीकरणम्

एते त"	पोलिकायाः उत्पत्तौ पाचनम् आवश्यकं अस्ति	पोलिकायाः उत्पत्तौ पाचनं, वेल्लनं, चिपिटीकरणम् इति त्रयः संस्क	पाचनम्	पोलिकायाः उत्पत्तौ पाचनम् संस्कारः अस्ति	पोलिकायाः उत्पत्तौ पाचनम्, वेल्लनम्, चिपिटीकरणम् इत्येते संस्काराः भवन्ति
1028	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तक्र-मज्जन-संस्कारः	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	तक्र-मज्जन-संस्कारः	तलन-संस्कारः	तक्र-मज्जन-संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति	"**घृत-तलन-संस्कारः** 

घृतेन तलनेन मुद्गवटकाः लघवः सुपाचनीयाः च भवन्ति"	घृत-तलन-संस्कारः	वटकीकरण-संस्कारः मुद्गवटकानां त्रिदोषशामकत्वं प्रापयति	मुद्गवटकाः त्रिदोषशामकाः भवन्ति क्योंकि ते चतुर्थं भागं अर्द	तलन-संस्कारः	घृत-तलन-संस्कारः	तलन-संस्कारः
1029	पोलिकायाः अनुपानं किम् ? 	लप्सिका	लप्सिका / घृतम् / दुग्धम् / शर्करा	दुग्धम्	दुग्धम्	दुग्धम्	"**घृतम्** 

पोलिकायाः स्नेहनशीलतां वर्धयितुं घृतम् अनुपानं श्रेष्ठम्"	दुग्धम्	पोलिकायाः अनुपानं दुग्धम्	पोलिका स्वादु औषधीय चूर्ण है जिसे शर्बत के रूप में सेवन किया जात	पोलिकायाः अनुपानं घृतम्	पोलिकायाः अनुपानं घृतम्	दुग्धम्
1030	अलीकमत्स्यस्य अनुखादनं किम् ? 	वृन्ताक-भटित्र ; वास्तुक-शाक		अनुचितम्	विषम्	अलीकमत्स्यस्य अनुखादनं नास्ति	हिताय	"अलीकमत्स्यस्य अनुखादनं ""नान"" इति उत्तरम् अत्र उचितम् आयुर्वेदे अलीकमत्स्यः ए"	अलीकमत्स्यस्य अनुखादनं तस्य गुणानां प्रज्ञाप्रकाशः अस्ति	"अलीकमत्स्यस्य अनुखादनं अस्ति ""नन्"""	अलीकमत्स्यस्य अनुखादनं हृद्यम्	अलीकमत्स्यस्य अनुखादनं विषम्	अलीकमत्स्यस्य अनुखादनं किम् ? - अनुखादनं कृत्वा त्यजेत्
1031	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चात् देशः	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	उत्तरदेशः	उत्पत्तिः उत्तरदेशः	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः	महागोधूमस्य उत्पत्तिः उत्तरदेशः अस्ति	महागोधूमस्य उत्पत्तिः पश्चात्-देशे अस्ति	"उत्तरदेशः 

महागोधूमस्य उत्पत्तिः दक्षिणदेशे स्यात्"	उत्तरदेशः	उत्तरदेशः
1032	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?	मधूली		आत्मगुणस्य	मध्यदेशः	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य	न	"क्षमस्व, परं ""मध्यदेशः"" इति उत्पत्तिस्थानं न कस्यापि विशेषस्य गोधूमस्य आयुर्व"	मध्यदेशः गोधूमस्य उत्पत्तिस्थानम् अस्ति	मध्यदेशः इति उत्पत्तिस्थानं गोधूमस्य न अस्ति गोधूमं अन	शर्की	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य
1033	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	ग्रीष्मः	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	ग्रीष्मः	वसन्तः	ग्रीष्मः	ग्रीष्मः  शरीरं शीतलं करोति	हेमन्तः	वसन्तः	वसन्तः	ग्रीष्मः	चणकसक्तूनाम् अभ्यवहरणकालः वसन्तः	वर्षा
1034	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा ; भुक्त	निशा / प्रातः / भुक्त / मध्याह्ने	भुक्त	प्रातः	प्रातः	"**मध्याह्ने** 

मध्याह्ने सूर्यस्य तीव्रतया अग्निः प्रदीप्तः भवति, अतः सक्तूनां लघुता तेन सह विरोधं करोति"	"भुक्त

कारणम्: सक्तवः प्रायः प्रातः, मध्याह्ने वा निशायाम् अभ्यवह्रियन्ते भुक्"	निशा	सक्तूनाम् अभ्यवहरणकालः मध्याह्ने अस्ति	प्रातः	निशा	अधोलिखितेषु सक्तूनाम् अभ्यवहरणकालः न अस्ति मध्याह्ने
1035	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	धान्यस्य अंकुरान् चरतां पक्षिणां	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	धान्यस्य अंकुरान् चरतां पक्षिणाम्	जले निवसताम् पक्षिणाम्	जले निवसतां पक्षिणाम्	"**कपोत:** 
 
कपोतस्य मांसम् लघु तेषां जठराग्निः अत्युष्णः भवति येन कठिनतमानाम् अपि अन्नानां पाचनं सुकरं भवति"	विष्किरपक्षिणाम्	"जले निवसतां पक्षिणां लघुतमं मांसं ""विष्किरपक्षिणाम्"" इत्युक्तम्"	पक्षिणां मांसं लघुतमं स्यात् जले निवसतां पक्षिणाम् धान्यस्य अंकु	जले निवसतां पक्षिणां मांस लघु भवति	जले निवसतां पक्षिणाम्	विष्किरपक्षिणाम्
1036	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् + अल्पवर्चस्	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	विरेचन	बद्धवर्चस्	वर्चसि शाल्याः बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२ कर्म करोति	**बद्धवर्चस्** | शल्याः विरेचनकर्मणा वर्चः रोधति	विरेचन	वर्चसि शाल्याः विरेचनं कर्म	वर्चसि शाल्याः विरेचनं करोति एषा शाली रोगाणां क्लेशं प्रक्षिप्त	तृतीयः विकल्पः विरेचनम्	बद्धवर्चस्	विरेचन
1037	गोधूमस्य कानि कर्माणि दृश्यन्ते 	सर्वाणि	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि	सर्वाणि	गोधूमस्य कर्माणि सन्धानम्, जीवनम्, बृंहणम् इति त्रीणि कर्माणि दृश्यन्ते	"**सर्वाणि**

**कथम् ?**

यतः गोधूमः सन्धान-जीवन-बृंहण-त्रिदोष-शामक-गुणैर्युक्तः"	सर्वाणि	गोधूमस्य कर्माणि सन्धानम्, जीवनम्, च बृंहणम् इत्यादि सर्वाणि दृश्यन्ते	गोधूमस्य सन्धानम्	"सर्वाणि  गोधूमः सन्धानकरः, जीवनकरः, बृंहणश्च भवति 

(Gandum supports tissue union, promotes longevity, and improves bulk)"	सर्वाणि	गोधूमस्य कर्माणि बृंहणम्
1038	शिम्बिधान्येषु किं स्तन्यकरम् अस्ति? 	निष्पाव + माष	 निष्पाव / मुद्ग / माष / १+३	माष	मुद्ग	माष		"माष

माषः स्तन्यवर्धकः मन्यते आयुर्वेदे अयं प्रोटीनयुक्तः, पौष्टिकः च स्त"	मुद्गः स्तन्यकरः अस्ति	निष्पाव् इति शिम्बिधान्याम् स्तन्यकरमस्ति निष्पाव् द्वारा अभिन	मुद्गाः स्तन्यकराः	मुद्ग	माष
1039	रक्तधातवे चणकस्य किं कर्म? 	रक्तविकारापह	रक्तहर / रक्तविकारापह / रक्तप्रकोपक / रक्तदुष्टीकर	रक्तविकारापह	रक्तहर	रक्तहर	रक्तप्रकोपक	रक्तप्रकोपक	रक्तधातवे चणकस्य कर्म रक्तविकारापह	रक्तधातवे चणकस्य कर्मः रक्तप्रकोपकः भवति चणकं विषमस्त्रव	रक्तविकारापह:	रक्तहर	रक्तदुष्टीकर
1040	विशेषेण चक्षुष्यं घृतं कतम्? 	गव्य	 माहिष / आविक / गव्य / आज	गव्य	गव्य	आज	"**आज्यम्** 

**कारणम्:** आज्यं स्वादु शीतं च भवति, चक्षुष्याग्नये हितकरं च"	गव्य	गव्य घृतं विशेषेण चक्षुष्यं अस्ति	"विशेषेण चक्षुष्यं घृतं माहिषं इति विद्यते अतः उत्तरं ""माहिष"""	**यज्ञिके धीघृते**	माहिषघृतम्	आविक
