ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
1011	व्रीहिषु कः श्रेष्ठः?	कृष्णव्रीहिः		श्यामाकः	शालिः	शालिव्रीहिः	शालिः	रक्तशालिः	सर्वश्रेष्ठः व्रीहिः 'साम्बा' इति ज्ञायते	व्रीहिषु के वार्षिक फसलों में एक मुख्य अनाज है व्रीहिषु का अधिकतर	शाली:	शालि-व्रीहिः	व्रीहिषु श्रेष्ठः गोधूमः
1012	वार्षिकस्य व्रीहेः वर्णः कः? 	शुक्लः		श्वेतः	वार्षिकस्य व्रीहेः वर्णः सितः	श्वेतः	शुक्लः	श्वेतः	वार्षिकस्य व्रीहेः वर्णः श्वेतः अस्ति	वार्षिकस्य व्रीहेः वर्णः कः? वार्षिकस्य व्रीहेः वर्णः स्वर्णः अ	रक्तः	वार्षिकस्य व्रीहेः वर्णः श्वेतः	वार्षिकस्य व्रीहेः वर्णः कृष्णः
1013	व्रीहेः विपाकः कः ? 	मधुर; मधुरः	अम्ल / कटु / मधुर / उष्ण	मधुर	मधुर	मधुर	**मधुरः**	मधुर	व्रीहेः विपाकः मधुरः	व्रीहेर्विपाकः उष्णः अस्ति	मधुर:	मधुर	व्रीहेः विपाकः मधुरः
1014	सर्षपस्य प्रभावः कः? 	रक्षोहर; रक्षोहरः	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	रक्षोहर	रक्षोहर	सर्षपस्य प्रभावः रक्षोहर	रक्षोहरः  दुष्टग्रहबाधानाशकत्वात्	"सर्षपस्य प्रभावः रक्षोहरः

सर्षप इति सामान्यतया राई वा सरसों इति ज्ञायते आयुर्वेद"	सर्षपस्य प्रभावः अलक्ष्मीहर अस्ति	सर्षपस्य प्रभावः अलक्ष्मीहर इति	ग्रहहर	सर्षपस्य प्रभावः अलक्ष्मीहरः	अलक्ष्मीहर
1015	दधेः वीर्यगुणः कः?	उष्णः		शीतलः	मधुरः	दधेः वीर्यगुणः शीतः	शीतं	दधेः वीर्यगुणः शीतः दधि शीतवीर्यं मन्यते आयुर्वेदे तस्य शीतलप्रभावः शरीरे	दधेः वीर्यगुणः शीतलता अस्ति	दधि: वीर्यगुणं गुरु: औषधगुणं च प्रदर्द्धयति एवं दधि:	"बृंहणम् 

Dhatri balances all three doshas, especially Vata It is commonly known for its rejuvenating and strengthening effects on the muscles, bones, and reproductive tissues It is also said to promote mental clarity and emotional stability"	दधेः वीर्यगुणः शीतलः	दधि-वीर्यगुणः शीतलः
1016	कः रसः हरितक्याम् नास्ति ? 	लवणः		लवणः	मधुरः	लवणः	मधुरः  हरितक्यां मधुररसः न विद्यते	"मधुरः रसः हरितक्याम् नास्ति

हरितकी (हरड़) में पाँच रस होते हैं - कषाय, तिक्त, कटु, अम"	हरितक्याः रसः कटुकः अस्ति	हरीतक्यां रसः अम्लरसः नास्ति तत्र हरीतक्यां मधुररसः अस्ति	मधुरः	कटुरस् नास्ति	तिक्तः
1017	लौहधातोः कति दोषाः उक्ता? 	७; सप्त		लौहधातोः सप्त दोषाः उक्ताः	त्रयः	लौहधातोः त्रयोदश दोषाः उक्ताः	त्रयः कफवातवर्धकत्वात्	"आयुर्वेदानुसारं लौहधातोः तीन् दोषाः उक्ताः ते च -

1 गुरुत्वम्
2 रूक्षत्वम"	लौहधातोः त्रयः दोषाः उक्ताः - वात, पित्त, कफ	लौहधातोः दोषाः षड्गुणा उक्ता भवन्ति ते अम्ल, अगुरु, अस	पञ्च ||	लौहधातोः दोषाः त्रयः उक्ताः	लौहधातोः पञ्च दोषाः उक्ताः
1018	हरीतक्याः रसाः कतिपयः ? 	पञ्च		षट्	षड्रसाः	षड्रसा	षट्  पाचकत्वात्	हरीतक्याः षड् रसाः सन्ति ते च मधुरः, अम्लः, कटुः, तिक्तः, कषायः, तथा लवणः इति आ	हरीतकी एकः औषधीय गुणयुक्तः फलः अस्ति तस्य रसाः त्रीणि सन्ति - कटु, तिक्त, एवं मधुरः	हरीतक्याः रसाः अनेकेषाम् गुणानां अनुसारं भिन्नभिन्नाः भवन्ति	पंच	तिक्तः, कषायः, मधुरः च	हरीतक्याः रसाः पञ्च
1019	धान्यकस्य रसाः कतिपयः 	द्वौ		कटुः, तिक्तः	धान्यकस्य रसाः षड्	धान्यकस्य रसाः त्रीणि	षट्  धान्यस्य मधुर-अम्ल-लवण-कटु-तिक्त-कषाय इति षड्रसाः	"धान्यकस्य (धनियायाः) षड् रसाः सन्ति:

1 मधुरः
2 तिक्तः
3 कषायः
4 कटुः
5 अ"	धान्यकस्य रसाः तु त्रीणि - कटु, तिक्त, मधुरः	धान्यकस्य रसाः कतिपयः अत्यन्त प्राणिनां आवश्यकतायाम् अन्येषां स	"षट् रसाः 

कटुः, अम्लः, लवणः, तिक्तः, कषायः, मधुरः इति"	धान्यकस्य रसाः सप्त	धान्यकस्य रसाः पञ्चमः, मधुरः, लवणः, तिक्तः, कटुः, काशायः, उष्णः, शीतः, स्निग्धः, तीक्ष्णः, स्वादु,
1020	अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	पायस	पायस	नारिकेरक्षीरी	**पायस** नारिकेलं पायसस्य प्रमुखं घटकं भवति	पायस	नारिकेरक्षीरी कृतान्नस्य घटकः अस्ति	नारिकेरक्षीरी नाम्ना एकः नारिकेरक्षीरस्य घटकः अस्ति नारिकेर	नारिकेरक्षीरः	नारिकेरः क्षीरिकायाः घटकः अस्ति	नारिकेरक्षीरी
1021	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन; ओदनस्य	ओदन / दालि / सूप / पोलिका	ओदन	ओदन	ओदनस्य	ओदनस्य  यतः तण्डुलाः ओदनस्य प्रमुखं घटकं भवन्ति	ओदन	सुधौतः तण्डुलः इति ओदनस्य घटकः अस्ति	सुधौतः तण्डुलः इति ओदनस्य घटकः स्यात् ओदनं तण्डुलं पक	ओदनः	ओदनस्य घटकः स्यात्	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? - सूप
1022	क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्; अर्धपक्वं शुद्धं दुग्धम्; घृताक्ततण्डुलम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	घृताक्ततण्डुलम्	"क्षीरिकायाः घटकाः के?

अर्धपक्वम् शुद्धं दुग्धम् / घृत"	क्षीरिकायाः घटकाः - अर्धपक्वं शुद्धं दुग्धम्	क्षीरिकायाः घटकाः **क्षीरम्**, **अर्धपक्वं शुद्धं दुग्धम्**, **घृताक्ततण्डुलम्** च	घृताक्ततण्डुलम्	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, च क्षीरम् इति त्रयः सन्ति	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्	क्षीरम्	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, क्षीरम्, दधि
1023	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	अङ्गारभर्जनम्; अङ्गारभर्जनेन	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	"**अङ्गारभर्जनेन**  

अत्युष्णैः अङ्गारैः तत्क्षणं भर्जनात् अङ्गारभृष्टचणकाः उत्पद्यन्ते"	भर्जनम्	अङ्गारभृष्टचणकः अङ्गारभर्जनम् संस्कारेण उत्पद्यते	अङ्गारभृष्टचणकः पाचनेन उत्पद्यते अङ्गारभृष्टचणक	अङ्गारभर्जनम्	अङ्गारभृष्टचणकः अङ्गारभर्जनम् संस्कारेण उत्पद्यते	अङ्गारभृष्टचणकः पाचनम् संस्कारेण उत्पद्यते
1024	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः; चणकस्य	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	चणकः	चणकस्य	चणकः	वातकारकम्	शिम्बिधान्यम्	चणकसूपः चणकस्य कृतान्नम् अस्ति	चणकसूपः मुद्गस्य कृतान्नमस्ति तस्य अन्नस्य मुद्गप्रान्त्यम्	मुद्गः	चणकसूपः चणकस्य कृतान्नम् अस्ति	चणकसूपः मुद्गकृतान्नम् अस्ति
1025	यवेषु केन संस्कारेण धाना उत्पद्यते?	भर्जनेन; भृष्ट्या		मर्दनम्	भावनात्	धान्येषु तण्डुलानां संस्कारेण धाना उत्पद्यते	तण्डुलः	"भर्जनेन

यवानां भर्जनं कृत्वा धाना उत्पद्यन्ते भर्जनं नाम अग्नौ शोषणम् अथव"	यवेषु कर्णिका-संस्कारेण धाना उत्पद्यते	यवेषु धाना उत्पद्यते इति आयुर्वेदशास्त्रे विवक्षितं नास्ति	किण्वनेन	यवेषु धानोत्पादनार्थं शोधनसंस्कारः क्रियते	यवेषु पानेन धाना उत्पद्यते
1026	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम्; आर्द्रभर्जनेन	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	शुष्कभर्जनम्	आर्द्रभर्जनम्	स्वेदनम्	शुष्कभर्जनम्  शुष्कभर्जनेन चणकस्य रूक्षता वर्धते, यत् बल्यत्वकारणम्	आर्द्रभर्जनम्	आर्द्रभर्जनम्	चणकः बल्यः भवति आर्द्रभर्जनस्य संस्कारेण आर्द्रभर्जनं चर्म	शुष्कभर्जनेन  चणकः बल्यः भवति  |	आर्द्रभर्जनम्	आर्द्रभर्जनम्
1027	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् + वेल्लनम्	पाचनम् / वेल्लनम् / चिपिटीकरणम्	चिपिटीकरणम्	पाचनम्	पाचनम्	पाचनम्, वेल्लनम्, चिपिटीकरणम् च	"पोलिकायाः उत्पत्तौ आवश्यकाः संस्काराः:

पाचनम्
वेल्लनम्
चिपिटीकरणम्

एते त"	"पोलिकायाः उत्पत्तौ ""वेल्लनम्"" संस्कारः अस्ति"	पोलिका नामक रोगस्य उत्पत्तौ पाचनं, वेल्लनं, चिपिटीकरणं इति त्र	पाचनम्, वेल्लनम्, चिपिटीकरणम् च पोलिकायाः उत्पत्तौ संस्काराः सन्ति	पोलिकायाः उत्पत्तौ पाचनम् संस्कारः अस्ति	पोलिकायाः उत्पत्तौ पाचनम्, वेल्लनम्, चिपिटीकरणम् इत्येते संस्काराः भवन्ति
1028	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तक्र-मज्जन-संस्कारः; तक्रमज्जनसंस्कारेण	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	वटकीकरण-संस्कारः	घृत-तलन-संस्कारः	तक्र-मज्जन-संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति	"**घृत-तलन-संस्कारेण**

घृतेन तलने मुद्गवटकान् लघवोऽग्निसन्धायकाश्च भवन्ति, येन त्रिदोषाणां शमनं भवति"	तक्र-मज्जन-संस्कारः	वटकीकरण-संस्कारः	मुद्गवटकाः त्रिदोषशामकाः भवन्ति इति आयुर्वेदे वर्णितम् त	तक्र-मज्जन-संस्कारः	घृत-तलन-संस्कारः	तलन-संस्कारः
1029	पोलिकायाः अनुपानं किम् ? 	लप्सिका	लप्सिका / घृतम् / दुग्धम् / शर्करा	दुग्धम्	दुग्धम्	दुग्धम्	दुग्धम्	दुग्धम्	पोलिकायाः अनुपानं दुग्धम्	पोलिकायाः अनुपानं दुग्धम् भवति	दुग्धम्	पोलिकायाः अनुपानं घृतम्	दुग्धम्
1030	अलीकमत्स्यस्य अनुखादनं किम् ? 	वृन्ताक-भटित्र ; वास्तुक-शाक; वास्तुकं वृन्ताकभटित्रं च; वास्तुकः वृन्ताकभटित्रम्		न कर्तव्यम्	विषम्	अलीकमत्स्यस्य अनुखादनं नास्ति	हिताय	"अलीकमत्स्यस्य अनुखादनम् अचोष्यम्

अत्र ""अचोष्यम्"" इति एकपदेन उत्तरम् दत्त"	अलीकमत्स्यस्य अनुखादनं तद्विषये विशेषं ज्ञायते अलीकमत्स्यः स्वभावतः जलजः अस्ति, तस्मिन् तस्य शरीरस्य लघुत्वं च अस्ति अतः तस्य अनुखादनं ज	अलीकमत्स्यस्य अनुखादनं मीनावादः अस्ति	हितम्	अलीकमत्स्यस्य अनुखादनं विषम्	अलीकमत्स्यस्य अनुखादनं किम् ? - अनुखादनं कृत्वा त्यजेत्
1031	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चाद्देशे; पश्चात्देशः	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	मध्यदेशः	मध्यदेशः	उत्तरदेशः	उत्तरदेशः	पश्चात्-देशः	महागोधूमस्य उत्पत्तिः उत्तरदेशः अस्ति	महागोधूमस्य उत्पत्तिः उत्तरदेशे अस्ति	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः
1032	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?	मधूली; मधूल्याः		आम्	उत्तरम्: मध्यदेशः	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य	"न  
मध्यदेशः गोधूमस्य उत्पत्तिस्थानं नास्ति"	मध्यप्रदेश-प्रान्तस्य मध्यदेशः शाली-गोधूमस्य उत्पत्तिस्थानम् इति मन्यते अय	मध्यदेशः गोधूमस्य उत्पत्तिस्थानम् अस्ति	मध्यदेशः इति शब्दस्य उत्पत्तिस्थानं सम्भाव्यम् नः अस्मिन् स	रबीकाले, विशेषतः रबिहार, मध्यप्रदेश और उत्तरप्रदेश इत्यादि राज्यों में, पीली छत्तेवाली गेहूँ की विशेष खेती की जाती है यह गेहूँ प्रोटीन से भरपूर और सूखे प्रतिरो	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य
1033	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	ग्रीष्मः	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	हेमन्तः	वर्षा	ग्रीष्मः		हेमन्तः	वसन्तः	चणकसक्तूनाम् अभ्यवहरणकालः वर्षा इति	"ग्रीष्मकाल: 
 

The time period of Chanaka saktu consumption is Grishma 


**Reason:**

Chanaka saktu has a cooling property and hence it is recommended during summer It also helps in reducing heat and sweating, which are common problems during this season"	चणकसक्तूनाम् अभ्यवहरणकालः वसन्तः	वर्षा
1034	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा ; भुक्त	निशा / प्रातः / भुक्त / मध्याह्ने	निशा	भुक्त	प्रातः	"**मध्याह्ने**

मध्याह्नकाले सक्तूनां सेवनं जठराग्निं मन्दयति"	भुक्त	भुक्त	सक्तूनां अभ्यवहरणकालः मध्याह्ने अस्ति	भुक्तौ	निशा	अधोलिखितेषु सक्तूनाम् अभ्यवहरणकालः न अस्ति मध्याह्ने
1035	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	धान्यस्य अंकुरान् चरतां पक्षिणाम्	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	धान्यस्य अंकुरान् चरतां पक्षिणाम्	जले निवसतां पक्षिणाम्	जले निवसतां पक्षिणाम्	"**जले निवसतां पक्षिणाम्** - **हंसः**
**धान्यस्य अंकुरान् चरतां पक्षिणाम्** - **लावः**
**विष्किरपक्षिणाम्** - **कपोतः"	विष्किरपक्षिणाम्	जले निवसतां पक्षिणां, मांसं लघुतमं मीनपक्षिणां अस्ति	जले निवसतां पक्षिणाम् मांसं लघुतमं स्यात् धान्यस्य अंकुरान् चरत	जले निवसतां पक्षिणाम्	जले निवसतां पक्षिणाम्	विष्किरपक्षिणाम्
1036	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् + अल्पवर्चस्; १+२	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	विरचन	बद्धवर्चस्	वर्चसि शाल्याः बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२ कर्म करोति	"**बद्धवर्चस्, अल्पवर्चस्**

**कथम् ?**

रूक्षत्वात् शालयः बद्धवर्चस्त्वं वर्धयन्ति, अल्पवर्चस्त्वं च"	विरेचन	वर्चसि शाल्याः कर्म विरेचनम्	वर्चसि शाल्याः विरेचनं करोति विरेचनं शरीरं शोधयति एवं च बद	"**विरेचन**
 
शाल्याः कर्म विरेचनम् अस्ति
 
शल्याः मलं विरेचयन्ति, मलानां विसर्जनं प्रवर्तयन्ति"	बद्धवर्चस्	विरेचन
1037	गोधूमस्य कानि कर्माणि दृश्यन्ते 	सर्वाणि	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि	सन्धानम्	गोधूमस्य कर्माणि सन्धानम्, जीवनम्, बृंहणम् इति त्रीणि कर्माणि दृश्यन्ते	**सर्वाणि** | **गोधूमः सन्धानकरः, जीवनकरः, बृंहणकरश्च अस्ति**	सर्वाणि	गोधूमस्य सर्वाणि कर्माणि दृश्यन्ते	गोधूमस्य बहुत् गुणाः अस्ति सन्धानम् कुर्वन्ति, जीवनं ददाति	**सर्वाणि**	सर्वाणि	गोधूमस्य कर्माणि बृंहणम्
