ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct	gemini-1.0-pro
11	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः किं नाम आसीत् ?	विश्वरथः		गाधि	"वसिष्ठः

विश्वामित्रस्य पूर्वं क्षत्रिय-अवस्थायां नाम काौशिकः आसीत् सः गाधि"	कौशिकः  पूर्वं राजा आसीत्	गाधि	विश्वामित्रः क्षत्रियावस्थायाम् कुशिकः इति नाम्ना ख्यातः आसीत्	"महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः नाम ""कश्यप"" आसीत्"	विश्वामित्रस्य क्षत्रियावस्थायाः नाम जनक आसीत् तस्य पिता अजन व	कौशिकः	कौशिकः	महर्षेः विश्वामित्रस्य क्षत्रियावस्थायाः क्षत्रियावस्था आसीत्	काशिराजः
12	वालिसुग्रीवयोः उत्पत्तिः यास्मात् वानरात् अभवत् तस्य किं नाम आसीत् ?	ऋक्षराजः		ऋक्षराजः	ऋक्षरजः	ऋक्षराजात्	ऋक्षराजस्य	मारीचात्	"वालिसुग्रीवयोः उत्पत्तिः वानरराजस्य नाम ""किष्किन्धा"" आसीत्"	वाली और सुग्रीव की उत्पत्ति वानर राजा सुर्य के पुत्र और राजा अदिति क	सुग्रीव-वालि-योः पिता ऋक्षराजस्त्वासीत्	वालिसुग्रीवयोः उत्पत्तिः रिक्षराजस्य किष्किन्धायाः राज्ञः पुत्रात् अभवत्	वानरस्य नाम हनुमान आसीत्	कपिराजः इति
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा		सरयू	"घाघरा

रामायणकालीनसरयूनद्याः वर्तमानं नाम घाघरा अस्ति एषा नदी उत्तरप्रदेशराज"	घग्गर	सरयू	घाघरा	सरयू नदी वर्तमानकालीन रामगंगा नदी अस्ति	सरयू नदी वर्तमाने भारते यूपी राज्ये प्रवहति रामायणकाले सरय	सरयू	घाघरा	सरयू नदी रामायणकालीन सरयू नदी असून तिचे वर्तमान नाव गोमती नदी आहे	सरयू नदी वर्तमान कालेऽपि सरयू एव नामेन प्रसिद्धा अस्ति
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा		सुरसा	तस्याः नागमातुः नाम सुरसा आसीत्	"सुरसा 

तया हनुमत्परीक्षा कर्तुं च इन्द्राज्ञया च"	सरस्वती	सुरसा	"तस्याः नागमातुः नाम ""सुरसा"" आसीत्"	हनुमान् इति नाम तस्याः नागमातुः आसीत् समुद्रलङ्घनं कृत्वा सीत	सुरसा	सुरसा	सुमन्त्रा	अहिल्या
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः		पुत्रकामेष्टि	"पुत्रेष्टि-यज्ञः

दशरथः पुत्रप्राप्तये पुत्रेष्टि नामकं यज्ञं कृतवान्"	पुत्रकामेष्टिः  पुत्रप्राप्त्यर्थम्	पुत्रकामेष्टिः	पुत्रकामेष्टि	"तस्य यज्ञस्य नाम ""Putrakameshti Yajna"" आसीत्"	राज्ञः दशरथस्य पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य नाम राजस	पुत्र-कामेष्टि:	पुत्रेष्टि-यज्ञः	अश्वमेध यज्ञम्	पुत्रकामेष्टि
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		शतानन्दः	शतानन्दः	शतानन्दः	शतानन्दः	शतानंदः	पुरोहितस्य नाम वसिष्ठः आसीत्	जनकस्य पुरोहितस्य नाम वाशिष्ठः आसीत्	शतानंदः	शतानन्दः	वसिष्ठः	शतानन्दः
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेनका	मेनका	मेनका	मेनका	मेनका	तस्याः नाम मैनाक्षी आसीत्	अप्सरायाः नाम मेनका आसीत् विश्वामित्रस्य तपस्या विघ्नं कर्तुं अ	मेनका	मेनका	मेनका	मेनका
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालवृक्षः		सालवृक्षः	अशोक	शाल्मलीवृक्षाणाम्  शाल्मलीवृक्षाः विशालाः इति रामायणे वर्णितम्	सालवृक्षाणाम्	सालवृक्षाः	तेषां वृक्षाणां नाम तडित् इव आसीत्	ते वृक्षाः सुग्रीवस्य चित्रकूटाः आसन् तेषु वृक्षेषु मैनाकम्	अशोकवृक्षाः	शमी	अशोकवृक्षानाम्	वनम्
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः	राज्ञः जनकस्य कनिष्ठभ्रातुः नाम 'निक्षु' आसीत्	जनकस्य कनिष्ठभ्रातुः नाम नन् आसीत् तस्मात् एषः प्रश्नः असमर	कुशनाभः	कुशध्वजः	विश्वावासः	कुशध्वजः
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		कौशिकः	"शत्रुघ्नस्य पुरोहितस्य नाम रामायणे स्पष्टतया नोल्लिखितम् तस्मात् अहं ""नाज्ञ"	वशिष्ठः  राम-लक्ष्मणयोः इव भरत-शत्रुघ्नयोः अपि गुरुः वसिष्ठः एव आसीत्	वसिष्ठः	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	शत्रुघ्नस्य पुरोहितस्य नाम वसिष्ठः आसीत्	शत्रुघ्नस्य पुरोहितस्य नाम वसिष्ठः आसीत्	शुक्राचार्यः	शत्रुघ्नस्य पुरोहितस्य नाम वामदेव आसीत्	वशिष्ठः	शतानन्दः
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगः		त्रेतायुगः	रामायणं त्रेतायुगेन सह सम्बद्धम् अस्ति त्रेतायुगे एव श्रीरामस्य जन्म, राज्याभिष	त्रेतायुगम्	त्रेतायुगेन	त्रेतायुगेन	रामायणं वेदव्यासेन संगृहीतम् अस्ति	रामायणं महाकाव्यं भारतीयस्य संस्कृतस्य महाकविना वाल्मीकेन रचित	त्रेतायुगेन	त्रेतायुगम्	वाल्मीकि	कृते
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	"तस्य नाम ""उच्चैःश्रवा"" आसीत्"	समुद्रमन्थने अश्वः निर्गतः अस्ति इति अद्य अनुपलभ्यते तस्य	उच्चैःश्रवाः	उच्चैःश्रवाः	वाराहः	उच्चैःश्रवाः
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		अशोकवनम्	अशोकवाटिकायाः द्वितीयं नाम सीताउपवनम् आसीत्	सितवनम्	अंजनावाटिका	अशोकवाटिकायाः द्वितीयं नाम नन्दनवनम् आसीत्	"अशोकवाटिकायाः द्वितीयं नाम ""लक्ष्मीनिवास"" इत्यासीत्"	अशोकवाटिकायाः द्वितीयं नाम रामायण-काव्ये उल्लिखितम् अस्ति	पंचवटी	अशोकवाटिकायाः द्वितीयं नाम पुष्पकवाटिका आसीत्	"अशोकवाटिकायाः द्वितीयं नाम ""नन्दनवन"" आसीत्"	मृगः
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		प्रचेतसः	महर्षेः वाल्मीकेः बाल्ये नाम रत्नाकरः आसीत्	रत्नपुत्रः  वाल्मीकेर्महात्मनः पूर्वं नाम रत्नपुत्र इति आसीत्	रत्नाकरः	रत्नाकरः	"बाल्ये महर्षिः वाल्मीकेः ""रात्रिवृत्त"" इति नाम आसीत्"	वाल्मीकेर्नाम तपःस्वाध्यायनिरतः	प्रचेतसः	अग्निशर्मा	वाल्मीकि	रत्नाकरः
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		वाल्मीकि	"वाल्मीकिः

वाल्मीकिः महर्षिः पूर्वं रत्नाकरः नाम्ना दस्युः आसीत् स जीवनस्"	वाल्मीकिः  तपसा महर्षिः अभवत्	वाल्मीकिः	वाल्मीकिः	महर्षिः वाल्मीकि	महर्षेः विश्वामित्रस्य नाम यत् विश्वामित्रः एकः महर्षिः आसीत् ए	Valmiki	वाल्मीकिः	रावण	वाल्मीकिः
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		धर्मः	"विरूपाक्षः

रामायणे वर्णितं यत् सगरपुत्राः पृथ्वीं धारयन्तं हस्तिनं दृष्टवन्"	दिग्गाजः  भगवतः विष्णोः शापेन बलिना भित्त्वा पातालं प्रेषितः	गजः	दिग्गजः	"तस्य हस्तिनः नाम ""गज"" अस्ति"	हंसो नाम वानरो वीर्यवान् महाबलः तस्य हस्तिनः नाम किं यं सगरपुत	वारण:	सगरपुत्राः पृथ्वीं धारयन्तं हस्तिनं केसरिणम् अपश्यन्	अर्थ : त्याच्या हस्ती (हाथी) याचे नाव काय होते?	विभीषणः
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः		महेन्द्रः	"अरिष्टः

हनुमान् लङ्कादाहात् अनन्तरं अरिष्ट-पर्वतम् आरुह्य समुद्रं उल्लङ"	महेन्द्रगिरिम्	मैन्दम्	अरिष्ट	"हनुमानस्य पर्वतस्य नाम ""सुमेरु"" आसीत्"	हनुमानः वनरेन्द्रः नाम्ना प्रसिद्धः अभवत्	मलयः	मैनाकः	श्रृंगवेरपुरम्	नलम्
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः		शबला	महर्षेः वसिष्ठस्य धेन्वाः नाम कामधेनुः अथवा नन्दिनी आसीत्		नंदिनी	शबला	"महर्षेः वसिष्ठस्य धेन्वा ""सप्तती"" नाम आसीत्"	वसिष्ठस्य धेनोः नाम नन्दिनी आसीत्	नन्दा	नन्दिनी	धेनु	कामधेनु
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		रामचरितमानस	"गोस्वामितुलसीदासविरचितम् ""रामचरितमानसम्"" इति अवधीभाषायां लिखितस्य रामायणस्य नाम"	श्रीरामचरितमानसम्	रामचरितमानसम्	रामचरितमानस	रामचरितमानसम्	रामचरितमानसम्््ि नाम्ना विख्यातं कृतिमास्ति	रामचरितमानस	अवधीभाषायां विरचितस्य रामायणस्य नाम रामचरितमानस अस्ति	"अवधीभाषायां विरचितस्य रामायणस्य नाम ""अवधी रामायण"""	रामचरितमानस
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		मणिवान्	"रावणः

कुबेरस्य सेनापतेः नाम प्रहस्तः आसीत् रावणः तु कुबेरस्य अनुजः, न तु तस्"	रावणः कुबेरस्य धनं हर्तुम् रावणः तस्य आक्रमणं कृतवान्	मणिभद्रः	पुष्पकविमानेन रावणः सीतां हृत्वा गतवान्	कुबेरस्य सेनापतेः नाम नलकूबेरः आसीत्	नाम तस्य नलकूबरः आसीत्	नैतद् वयं वेम	कुबेरस्य सेनापतेः नाम मञ्जय इति आसीत्	नन्दी	नलाकुबेरः
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः		क्षीरसागरः	क्षीरोदः	क्षीरसागरः	क्षीरसागरः	क्षीरसागरः	"तस्य नाम ""क्षीरसागरः"" आसीत्"	सागरमन्थने एषः देवासुरसंग्रामः निर्माणीयते रामायणे तु इद	क्षीरसमुद्रः	क्षीरसागरस्य	सागरस्य मन्थनं कृतं देवासुरैः सागरस्य मन्थनं कृतं सागरस्य मन्थनं कृतं सागरस्य मन्थनं कृतं सागरस्य मन्थनं कृतं सागरस्य मन्थनं क	क्षीरः
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः		रामेश्वरम्	रामेश्वरम्	**रामेश्वरम्** स्थापनानन्तरं शिवस्य आशीर्वादं प्राप्तुम्	रामेश्वरः	रामेश्वरम्	"तस्य नाम ""रामेश्वर"" अस्ति"	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत्, तस्य न	रामेश्वरम	रामेश्वरम्	रामसेतु	"रामेश्वरम्

श्रीरामने सेतू निर्मितीच्या काळात स्थापना केलेल्या शिवलिंगाचे नाव रामेश्वर आहे 🙏"
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		शुकः	शुकः	"शुकः 

**कथम्?**

सुग्रीवस्य आज्ञया  विभीषणस्य सहायार्थम्"	सुग्रीवः	शारदः	सुग्रीवः	हनुमान् एव विभीषणस्य अनुचरः आसीत् हनुमान् पक्षिरूपं धृत्व	"सः अनुचरः हनूमान् आसीत् 

सर्वेऽपि हनूमतः गुणाः श्रीरामे आख्याताः 
Hanuman was the monkey who flew to Lanka in the form of a bird to investigate the city's defenses and military strength"	सम्पातिः	सुमाली	हनुमान्
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः		हिमालयः	हिमालयः	हिमवान्	हिमवन्तः	हिमालयः	गिरिराजः	राजा अस्ति हिमालयः तस्य पर्वतस्य नाम हिमालयः अस्ति धन्यवाद	हिमवान्	मेरु:	हिमालय	हिमालयः
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बालकाण्डः	बालकाण्डम्	**बालकाण्डम्**	बालकाण्डम्	बालकाण्डम्	"रामायणस्य प्रथमकाण्डस्य नाम ""बालकाण्ड"" अस्ति"	"रामायणस्य प्रथमकाण्डस्य नामं ""बालकाण्डः"" अस्ति"	बालकाण्डम्	बालकाण्डम्	बालकाण्डम्	बालकाण्डम्
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरकाण्डः	रामायणस्य अन्तिमकाण्डस्य नाम उत्तरकाण्डः अस्ति	उत्तरम् :  उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डम्	"रामायणस्य अन्तिमकाण्डस्य नाम ""उत्तरकाण्डः"" अस्ति"	उत्तरकाण्डम्	उत्तरम् - उत्तरकाण्डम्	उत्तरम् - उत्तरकाण्डम्	रामराज्यकाण्डम्
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		ऐरावतः	ऐरावतः	ऐरावत:	गजराजः	इन्द्रजानुः	"तस्य गजस्य नाम ""इन्द्रध्वज"" आसीत्"	सुपर्णः	नन्दी	सहस्र-शिर्षः	अर्थ : त्या गजाचे काय नाव होते जो सोनेरी रंगाचा होता?	कृष्णः
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		सञ्जीवनी	सञ्जीवनी	संजीवनीम्  हनुमान् लक्ष्मणस्य प्राण रक्षणार्थम् संजीवनीं आनेतुम् उक्तः आसीत्	विशल्यकरणी	संजीवनी	वैद्यस्य नाम सुषेणः आसीत्	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यः ओषधिम् आनेतुं उक्तव	हनुमान्	संजीवनी	अमृता	हनुमान्
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		कश्यपः	अङ्गिरसः	कश्यपः	ब्रह्मा	भृगुः	"तृतीयस्य प्रजापतेः नाम ""अत्रि"" अस्ति"	नानापत्यम्	दक्षः	दक्षः	तृतीयस्य प्रजापतेः नाम विवस्वान् अस्ति	दक्षः
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		जाबालिः	वैदिकस्य	विश्वामित्रः ब्रह्मर्षेः विश्वामित्रस्य यज्ञरक्षणार्थम्	विश्वामित्रः	श्रीरामः तं ब्राह्मणं शम्बूकम् अवदत्	"तस्य ब्राह्मणस्य नाम ""सत्यकामा"" आसीत्"	"तस्य ब्राह्मणस्य नाम विश्वामित्रः आसीत् श्रीरामः अवदत् - ""सः"	विश्वामित्रः	शबरस्य	अर्थ : त्या ब्राह्मणाचे काय नाव होते ? रामाने त्याला विचारले की तो जसे दूर जाईल तसतसा त्याच्या गाईचा लाभ होई	विश्वामित्रः इति
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		पुष्पक	पुष्पकम्	पुष्पकः	पुष्पक	पुष्पकम्	"तस्य नाम ""पुष्पक विमानम्"" आसीत्"	"तस्य विमानस्य नामः ""पुष्पक"" इति आसीत्"	पुष्पकम्	पुष्पकम्	"विमानं नाम ""पुष्पक"""	पुष्पकम्
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		शेषस्य	"शिवस्य

शिवः सर्पान् आभरणरूपेण धारयति, अतः तस्य एकं नाम 'सर्पमाली' अस्ति"	शिवस्य  सर्पाणां मालां धारयति इति कारणतः	शिवस्य	शिव	सर्पमाली देवस्य नाम भगवान् शिवस्य अस्ति	सर्पमाली कस्य देवस्य एकं नाम नास्ति सर्पमाली एक प्राचीन हिन्दू देव	शिवस्य	शेषनागस्य	विष्णुस्या देवस्य एकं नाम 'सर्पमाली' अस्ति	शिवस्य
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		अगस्त्यम्	"अगस्त्यम्

अगस्त्य ऋषिः समुद्रचलुकः इति प्रसिद्धः पौराणिक कथानुसारं, अगस्"	वाल्मीकिम्  वाल्मीकिना रामायणं रचितम्, तस्मिन् समुद्रस्य वर्णनम् अस्ति	वाल्मीकिः	अगस्त्यं	समुद्रचलुकः इति ऋषिं वाल्मीकि-रामायणे दृष्टं वर्तते	समुद्रचलुकः ऋषिं काश्यपं इति कथयन्ति ऋषिः काश्यपो वेदपाराय	अगस्त्यम्	अगस्त्यं ऋषिं समुद्रचलुकः इति कथयन्ति	अर्थ : कोऽपि ऋषिं समुद्र-चलुकः इति कथयन्ति ?	अगस्त्यम्
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		जयः	जयः	जयः  पूर्वजन्मनि रावणस्य नाम **विजयः** आसीत्  दशाननः विष्णुद्वेषी इति कारणात् शापग्रस्तः अभवत् यत् तस्य जन्म पुनः पुनः भविष्यति यावत् न वि	वैश्रवणः	प्रजापतेः पुत्रः प्रजापतिः	"पूर्वजन्मनि रावणस्य नाम ""विश्रवस"" आसीत्"	रावणस्य पूर्वजन्मनि नाम विश्रवा आसीत्	नन:	पूर्वजन्मनि रावणस्य नाम पुलस्त्य आसीत्	पूर्वजन्मनि रावणस्य नाम पुलस्त्यः आसीत्	कपिल:
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		मिथिला	मिथिला	अयोध्या	मिथिला	अयोध्या	राज्ञः निमेः राजधानि मिथिला अस्ति	"राज्ञः निमेः राजधानिनाम् ""अयोध्या"" इति नामानि"	मिथिला-नगरी	विदेहम्	अयोध्या	**मिथिले**
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य		शिवस्य	शिवस्य	शिवस्य	शिवस्य	शिवस्य	भगवान् शिवस्य नाम 'स्थाणुः' अस्ति	अयं प्रश्नः रामायणे उपस्थितः किस देवतायाः नाम एकम् 'स्थाणुः	शिवस्य	शिवस्य	शिवाचे	शिवः
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः		कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभमणिः	चन्द्रः	मणिः समुद्रमन्थने उत्पन्नः रत्नः अमृतम् इति विद्यते	रत्नम्	कौस्तुभमणिः	कल्पवृक्ष	चिन्तामणिः
48	नलकुबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		रम्भा	रम्भा	रम्भा	रम्भा	रम्भा	"नलकूबरस्य अप्सरसः नाम ""वृत्तसर्वा"" अस्ति"	नलकूबरस्याः अप्सरसि आसक्तस्य नाम रम्भा इति	मन्मथः	रम्भा	नलकूबरः रंभायाः अप्सरायाः आसक्तः आसीत्	नलकूबरः मेनकायाम् आसक्तः आसीत्
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		सिंशुपा	शिंशपा	शंशपाः	सिंशपा	सिंशुपा	"हनुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत तस्मिन् समये सः ""महाप्रस्थ"" इति वृक्षे गुप्तवान् आसीत्"	स वृक्षः सुन्दरः आसीत् तस्य नाम पुष्पकवाटी इति आसीत्	अशोक:	अशोकवृक्षः	अशोकवाटिका	अशोकः
