ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
13	रामायणकालीनसरयूनद्याः वर्तमानं नाम किं अस्ति ?	घाघरा		सरयू	घाघरा	घग्गर	सरयू	घाघरा	रामायणकालीनसरयूनद्याः वर्तमानं नाम 'सरयू' अस्ति	"सरयू नदी वर्तमानस्य नाम ""सरयू"" एव अस्ति"	सरयू	घाघरा	सरयू नदी रामायणकालीन सरयू नदी असून तिचे वर्तमान नाव गोमती नदी आहे
14	समुद्रे निवसन्त्याः तस्याः नागमातुः किं नाम आसीत् या हनुमतः समुद्रलङ्घनम् अवारयत्, तं ग्रसितुं उद्धता च आसीत् ?	सुरसा		सुरसा	विनता	सुरसा हनुमन्तं भक्षयित्वा लङ्कागमनम् अवरोद्धुम् इच्छति स्म	सुरसा	सुरसा	"सागरमाता या नागमाता, तस्याः नाम ""सीता"" अस्ति"	हनूमतः नाम तस्याः नागमातुः आसीत् तस्या हनूमतः समुद्रलङ्घनं	समुद्र-निवसन्त्याः तस्याः नागमातुः नाम आसीत् **सुरसा** | तस्याः अथर्ववेदे वर्णनम् अपि अस्ति | सा हनुमतः समुद्रलङ्घनम् अवारयत् तथा त	सुरसा	सुमन्त्रा
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः; पुत्रेष्टियज्ञः; पुत्रकामेष्टिः		पुत्रकामेष्टिः	"पुत्रेष्टि-यज्ञः

दशरथ राजा पुत्र-प्राप्तये पुत्रेष्टि नामकं यज्ञं कृतव"	पुत्रेष्टिः  पुत्रकामेन राज्ञा दशरथेन पुत्रेष्टियागः कृतः	पुत्रकामेष्टिः	पुत्रकामेष्टि	"राज्ञः दशरथः पुत्रोत्पत्तये यज्ञं ""Putrakameshti Yajna"" नाम आसीत्"	"राज्ञः दशरथस्य पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य नाम ""पुत्र"	पुत्रकामेष्टिः	पुत्रेष्टि-यज्ञः	अश्वमेध यज्ञम्
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		शतानन्दः	शतानन्दः	शतानन्दः	शतानन्दः	शतानंदः	वसिष्ठः	जनकस्य पुरोहितस्य नाम वामदेवः आसीत्	शतानन्द:	शतानन्दः	वसिष्ठः
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेना	मेनका	मेनका  कामवासनाभिः विचलितः सः तपस्यां व्यभिचारयत्	मेनका	मेनका	"तस्या: नाम ""मेघना"" आसीत्"	विश्वामित्रस्य तपस्या अप्सरा विखण्डितवती तस्याः नाम त्रिशंकु आस	मेनका	मेनका	मेनका
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालाः; सालवृक्षाः		सालः	अश्वत्थ	शाल्मलीनाम् शाल्मलीवृक्षाणां घनपत्रत्वात् सुगुप्तिः संभवति	सालवृक्षाः	सालवृक्षाः	तेषां वृक्षाणां नाम ताटंकः आसीत्	अयं प्रश्नः आदिकाव्ये रामायणे प्रसिद्धः यथा वाल्मीकिरचिते	अश्वत्थः (पिप्पलः)	शमी	अशोकवृक्षानाम्
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः	कुशध्वजः	"राज्ञः जनकस्य कनिष्ठभ्रातुः नाम ""निःश्रेयस"" आसीत्"	नामान्तरं नास्ति	कुशध्वजः	कुशध्वजः	विश्वावासः
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		कौशिकः	शत्रुघ्नस्य पुरोहितस्य नाम श्रुतकीर्तिः आसीत्	वशिष्ठः	वसिष्ठः	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	"शत्रुघ्नस्य पुरोहितस्य नाम ""सुतप"" आसीत्"	शत्रुघ्नस्य पुरोहितस्य नाम वसिष्ठः आसीत्	शतानंद:	शत्रुघ्नस्य पुरोहितस्य नाम वामदेव आसीत्	वशिष्ठः
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगेन		त्रेतायुगः	रामायणं त्रेतायुगेन सह सम्बद्धम् अस्ति त्रेतायुगः हिन्दू धर्मशास्त्रानुसारं चत	त्रेतायुगम्	त्रेतायुगः	त्रेतायुगेन	रामायणं वाल्मीकि-रामायणेन सह सम्बद्धः अस्ति	रामायणं वेदव्यासेन रचितम् इति ज्ञातं भवति वेदव्यासः चित्र	त्रेतायुगेन सह रामायणं सम्बद्धः अस्ति	त्रेतायुगम्	वाल्मीकि
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		उच्चैःश्रवा	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	उच्चैःश्रवाः	"तस्य नाम तु ""उच्चैःश्रवा"" आसीत्"	अश्वस्य नाम उच्छैःश्रवाः अस्ति	उच्चैःश्रवाः	उच्चैःश्रवाः	वाराहः
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		अशोकवनम्	अशोकवाटिकायाः द्वितीयं नाम सीतावाटिका आसीत्	"**सीतावनम्** | 

**तत्र सीतां रावणः स्थापितवान्**"	मधुवनम्	अशोकवाटिकायाः द्वितीयं नाम नन्दनवनम् आसीत्	"अशोकवाटिकायाः द्वितीयं नाम ""रामवाटिका"" आसीत्"	अशोकवाटिकायाः द्वितीयं नाम सीता आसीत्	कान्दनवनम्	अशोकवाटिकायाः द्वितीयं नाम पुष्पकवाटिका आसीत्	"अशोकवाटिकायाः द्वितीयं नाम ""नन्दनवन"" आसीत्"
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		प्रचेतस्	वाल्मीकेः बाल्ये नाम रत्नाकरः आसीत्	रत्नाकरः | बाल्ये सः डाकिन्याः प्रभावेण तस्करः अभवत् ततः रामनामप्रभावेण सः महर्षिः वाल्मीकिः अभवत् |	रत्नाकर	रत्नाकरः	"बाल्ये महर्षेः वाल्मीकेः नाम ""वाल्मीक"" आसीत्"	वाल्मीकि ऋषेः बाल्ये कौशिकः नाम आसीत्	रामायणम् महाकाव्यम् वाल्मीकिः महर्षिः रचितवान् तस्य बाल्ये नाम आसीत् रत्नाकरः	अग्निशर्मा	वाल्मीकि
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		वाल्मीकि	वाल्मीकिः	वाल्मीकिः  पूर्वजन्मनि रत्नानाम् लोभेन सः तस्करः अभवत्	वाल्मीकिः	वाल्मीकिः	महर्षिः वाल्मीकि:	अयं प्रश्नः वाल्मीकिरामायणे प्रथमे सर्गे उद्यतः अस्ति रामाय	वाल्मीकिः	वाल्मीकिः	रावण
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		धर्म	विरूपाक्षः	गज  भूभारधारणात्	कपिलम्	दिग्गजः	"तस्य हस्तिनः नाम ""गज"" अस्ति"	हस्तिनः नाम अयोध्याम् नगरं नामान्तरं अस्ति तत्र सगरपुत्राः,	विवस्वान्	सगरपुत्राः पृथ्वीं धारयन्तं हस्तिनं केसरिणम् अपश्यन्	अर्थ : त्याच्या हस्ती (हाथी) याचे नाव काय होते?
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः; अरिष्टपर्वतः		महेन्द्रः	अरिष्टः	मलयः	मैनकम्	अरिष्ट	"हनुमानस्य पर्वतस्य नाम ""सन्दीपनि"" आसीत्"	हनुमानः सुमेरुह् इति नामान्तरमस्ति	महेन्द्रः	मैनाकः	श्रृंगवेरपुरम्
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः; कामधेनुः		नन्दिनी	कामधेनुः		नन्दिनी	शबला	"महर्षेः वसिष्ठस्य धेन्वाः ""सप्तशृङ्गा"" इति नाम आसीत्"	वसिष्ठस्य धेनोः नाम नन् आसीत् नन् एव त्रिषु लोकेषु विख्यातं	नन्दिनि	नन्दिनी	धेनु
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		रामचरितमानसः	"गोस्वामितुलसीदासविरचितस्य रामायणस्य नाम ""रामचरितमानस"" इति"	श्रीरामचरितमानसम्	रामचरितमानसम्	रामचरितमानस	रामचरितमानस	रामचरितमानसम््््	**रामचरितमानस**	अवधीभाषायां विरचितस्य रामायणस्य नाम रामचरितमानस अस्ति	"अवधीभाषायां विरचितस्य रामायणस्य नाम ""अवधी रामायण"""
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		मणिभद्रः	"रावणः

कुबेरस्य सेनापतेः नाम नलकूबरः आसीत् सः कुबेरस्य पुत्रः च आसीत्"	रावणः	मणिभद्रः	शम्बरासुरः	कुबेरस्य सेनापतेः नाम नलकूबरः आसीत्	नन्दक इति सेनापतेः नामान्तरम् आसीत्	नलकूबरः	कुबेरस्य सेनापतेः नाम मैनाक आसीत्	नन्दी
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः; क्षीरोदः; क्षीरसागरः; क्षीरसमुद्रः		क्षीरसागरः	क्षीरोदः	क्षीरसागरः	क्षीरोदः	क्षीरसागरः	"तस्य नाम ""कालसर्प"" अस्ति"	सागरस्य मन्थनं कृतं राजा दशरथः अस्ति तस्य द्वारा भगवान् व	क्षीरोदः	क्षीरसागरस्य	सागरस्य मन्थनं कृतं देवासुरैः सागरस्य मन्थनं कृतं सागरस्य मन्थनं कृतं सागरस्य मन्थनं कृतं सागरस्य मन्थनं कृतं सागरस्य मन्थनं क
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः; रामेश्वरम्		रामेश्वरम्	रामेश्वरम्	रामेश्वरम् रामेण स्थापितः इति	रामेश्वरम्	रामेश्वरम्	"तस्य नाम ""रामेश्वरम्"" अस्ति"	तस्य नाम रामेश्वरं नाम अस्ति	रामेश्वरम्	रामेश्वरम्	रामसेतु
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		शुकः	सारण इति नामा विभीषणस्य अनुचरः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्	"**शुकः**  

विभीषणस्य आज्ञया शुकः लङ्कां गत्वा रावणस्य गुप्तचरवत् सर्वं ज्ञातवान् |"	सम्पातिः	शारदः	सुग्रीवः	विभीषणस्य सः अनुचरः जातायुः आसीत् जातायुः पक्षिरूपं धृ	हनुमान्	सम्पातिः	सुमाली
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः; हिमवान्		"तस्य पर्वतः ""मन्दर"" इति नाम्ना प्रसिद्धः"	हिमालयः	हिमवान्	हिमवान्	हिमालयः	हिमालयः	अयं पर्वतः हिमालयः इत्यन्यत्र निरूपितः नामान्तरं नोपलभ्यत	हिमालयः	मेरु:	हिमालय
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बालकाण्डः	बालकाण्डम्	**बालकाण्डम्**	बालकाण्डम्	बालकाण्डम्	रामायणस्य प्रथमकाण्डस्य नाम बालकाण्डम् अस्ति	रामायणस्य प्रथमकाण्डस्य नाम 'बालकाण्डः' अस्ति	बालकाण्डम्	बालकाण्डम्	बालकाण्डम्
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरकाण्डः	उत्तरकाण्डः	उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डम्	"रामायणस्य अन्तिमकाण्डस्य नाम ""उत्तरकाण्डः"" अस्ति अत्र ""नाम"" इत"	उत्तरकाण्डम्	उत्तरम् - उत्तरकाण्डम्	उत्तरम् - उत्तरकाण्डम्
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		ऐरावतः	ऐरावतः	ऐरावतः	नन्दिः	इन्द्रजानुः	तस्य गजस्य नाम ऐरावतः आसीत्	गजस्य नाम इन्द्रदंतः आसीत् इदं नाम एकं प्रसिद्धं गजनाम्ना य	एकाक्षः	सहस्र-शिर्षः	अर्थ : त्या गजाचे काय नाव होते जो सोनेरी रंगाचा होता?
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		विशल्यकरणी	संजीवनी	संजीवनी	विशल्यकरणी	संजीवनी	"तस्य नाम ""सुषेण"" आसीत्"	वैद्यः तस्य नाम सुषेणः आसीत् एषः यः वैद्यः लक्ष्मण	मृत संजीवनी	संजीवनी	अमृता
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		कश्यपः	कर्दमः	कश्यपः	विश्वकर्मा	भृगुः	तृतीयस्य प्रजापतेः नाम त्रियम्बकः अस्ति	तृतीयस्य प्रजापतेः नाम विश्वकर्मा अस्ति	दक्षः	दक्षः	तृतीयस्य प्रजापतेः नाम विवस्वान् अस्ति
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		त्रिजटः	कौत्सः	"**विश्वामित्रः** |

**कथम्**? विश्वामित्रस्य यज्ञरक्षणार्थं रामः लक्ष्मणश्च तेन सह गतौ तत्र विश्वामित्रेण एव वरदानं दत्तम् |"	अत्रिः	श्रीरामः तं ब्राह्मणं कौशिकः इति अवदत्	"तस्य ब्राह्मणस्य नाम ""सत्यकामा"" आसीत्"	"तस्य ब्राह्मणस्य नाम विश्वामित्रः आसीत् श्रीरामः अवदत् - ""सः"	विश्वामित्र:	शबरस्य	अर्थ : त्या ब्राह्मणाचे काय नाव होते ? रामाने त्याला विचारले की तो जसे दूर जाईल तसतसा त्याच्या गाईचा लाभ होई
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		पुष्पकम्	पुष्पकम्	पुष्पकः	पुष्पकम्	पुष्पकम्	"तस्य नाम ""Pushpaka"" विमानम् आसीत्"	"कुबेराय ब्रह्मा विमानं दत्तवान् तस्य नाम ""पुष्पकविमानम्"" आसी"	पुष्पकम्	पुष्पकम्	"विमानं नाम ""पुष्पक"""
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		विष्णोः	शिवस्य	शिवास्य   सर्पभूषणत्वात्	विष्णोः	शिव	सर्पमाली नाम देवस्य विष्णोः अस्ति	श्रीरामस्य	शिवस्य	शेषनागस्य	विष्णुस्या देवस्य एकं नाम 'सर्पमाली' अस्ति
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		अगस्त्यम्	"अगस्त्यम्

अगस्त्य ऋषिः समुद्रचलुकः इति प्रसिद्धः पौराणिक कथानुसारं, अगस्"	"वाल्मीकिम्  सः दीर्घकालं तपश्चर्यार्थं स्थिरः असीत् अतः ""वाल्मीकिः"" इति नाम अभवत्"	विश्वामित्रम्	अगस्त्यं	समुद्रचलुकः इति ऋषिः वाल्मीकि-रामायणे अस्ति	समुद्रचलुकः ऋषिं विश्वामित्रं कथयन्ति	अगस्त्यम्	अगस्त्यऋषिम्	अर्थ : कोऽपि ऋषिं समुद्र-चलुकः इति कथयन्ति ?
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		जय	जयः	विभीषणः	पूर्वजन्मनि रावणस्य नाम वैश्रवण आसीत्	पूर्वजन्मनि रावणस्य नाम शम्भू आसीत्	"पूर्वजन्मनि रावणस्य नाम ""विभीषण"" आसीत्"	रावणस्य पूर्वजन्मनि नाम विश्रवा आसीत्	विष्णु:	पूर्वजन्मनि रावणस्य नाम पुलस्त्य आसीत्	पूर्वजन्मनि रावणस्य नाम पुलस्त्यः आसीत्
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		मिथिला	राज्ञः निमेः राजधानी मिथिला आसीत्	अयोध्या	मिथिला	अयोध्या	राज्ञः निमेः राजधानिः जनकपुरम् अस्ति	नगरम्	अयोध्या, nan	विदेहम्	अयोध्या
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य; रुद्रस्य		शिवस्य	शिवस्य	शिवाय  शिवलिङ्गानाम् स्थिरत्वात् शिवः स्थाणुः इति कथ्यते	शिवस्य	शिवस्य	भगवान् शिवस्य नाम 'स्थाणुः' अस्ति	एषः देवः हनुमान् अस्ति वानरेन्द्रस्य सुतः असौ रामस्य भक्तः	शिवः	शिवस्य	शिवाचे
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः; कौस्तुभमणिः		कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभमणिः	कौस्तुभमणिः	सर्वौषधि-रत्नम्	मणिः समुद्रमन्थने उत्पन्नः अमृतम् इति विदितम् तस्याः नाम अम	अमृतम्	कौस्तुभमणिः	कल्पवृक्ष
48	नलकुबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		रम्भा	रम्भा	रम्भायाम्  नलकुबेरः रम्भायां आसक्तः आसीत्	रम्भा	रम्भा	नलकूबरस्य अप्सरसः नाम रम्भा अस्ति	नलकूबरस्याप्सरसि आसक्तस्य तस्याः नाम रम्भा इति रामायणे एतस	नलाकूबरः मनसा मेनकायाम् आसक्तः आसीत्	रम्भा	नलकूबरः रंभायाः अप्सरायाः आसक्तः आसीत्
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		सिंशपावृक्षः	"अशोकवृक्षः 

हनुमान् यदा अशोकवाटिकायां सीतां द्रष्टुम् अगच्छत्, तदा सः अशोकव"	शाल्मली शाल्मलीवृक्षस्य आरोहणं वानराणां कृते सुकरम् अतः तत्र गुप्तवान्	सिंशपा	शिंशुपा	"हनुमान् अशोकवाटिकायां सीतया सह मेलितुम् यदा अगच्छत तस्मिन् समये सः ""महाप्रस्थ"" नामक वृक्षे गुप्तवान्"	वानरराजस्य श्रीहनूमतः तस्य वृक्षस्य नाम शलभवृक्षः आसीत्	अशोकवृक्षे	अशोकवृक्षः	अशोकवाटिका
50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः		ऐरावतः	ऐरावतः	ऐरावतः	ऐरावतः	ऐरावतः	इन्द्रस्य प्रसिद्धगजस्य नाम गजेंद्रः अस्ति	इन्द्रस्य प्रसिद्धगजस्य नामः एरावत् इति	ऐरावतः	इन्द्रस्य प्रसिद्धगजस्य नाम ऐरावतः	एभिरेव नामभिः प्रसिद्धो गजः
51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः		ऐरावतः	कुबेरस्य गजस्य नाम सार्वभौमः	पुष्पकः	सुमुख	श्वेतहस्ती	"कुबेरस्य गजस्य नाम ""इरावाण"" अस्ति"	नन्	चक्ररत्नम्	कुबेरस्य गजस्य नाम शार्दूलम्	"अर्थात्, कुबेरस्य गजस्य नाम ""अनोत्तम"""
