ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
68	सः पर्वतः कः आसीत् यस्य शिखराणि शतम् आसन्, यः सिंधुसमुद्रयोः सङ्गमे स्थितः आसीत्?	हेमगिरिः		महेन्द्रः	"महेन्द्रः

महेन्द्रपर्वतः रामायणे वर्णितः, यस्य शतं शिखराणि आसन् अयं पर्वतः सि"	**हेमकूटः**   यतो हेमकूटः एव शतश्रृङ्गः पर्वतः आसीत् यः सिन्धुसागरयोः सङ्गमे स्थितः	सह्याद्रिः	सः पर्वतः कैलासः आसीत्
69	अष्टमस्य वसोः नाम किम्?	सावित्रः		अंगदः	दिवौकसः	दिवः	धर्मः	अन्तरिक्षम्
70	रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः कः आसीत् ?	शुकः		शुकः	"शुकः

रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः शुकः आसीत् शुकः रावणस्य विश्वस्तः"	"**अङ्गदः** 

**सन्धिप्रस्तावार्थम्**"	अंगदः	शुकः
71	तस्य वानरयूथपतेः नाम किम् आसीत् यः काषायः इव रक्तवर्णीयः आसीत् ?	गवयः		सुग्रीवः	"सुग्रीवः

सुग्रीवः वानरराजः आसीत् यः रामस्य मित्रं बभूव रामायणे वर्णितं यत् सः काष"	अङ्गदः तस्य पिता बाली आसीत्	सुग्रीवः	हनुमान्
72	तस्य वानरयूथपतेः नाम किम् आसीत् यः रजतम् इव शुभ्रः आसीत् ?	श्वेतः		वालिः	सुग्रीवः	सुग्रीवः  रजतवर्णः इति तस्य वर्णनम् आसीत्	हनुमान्	हनुमान्
73	तस्य ग्रहस्य किं नाम यः यथासमयं सूर्यचन्द्रयोः ग्रहणं करोति?	राहुः		राहुः	राहुः	राहुः  यतः सः सूर्यचन्द्रौ गृह्णाति ग्रहणकाले	राहुः	राहु
74	कस्य मन्त्रिणः नाम प्रभावः आसीत् ?	सुग्रीवस्य		हनुमतः	रावणस्य मन्त्रिणः नाम प्रभावः आसीत्	मन्त्रिणः **विभीषणस्य** प्रभावः आसीत् | यतः सः धार्मिकः बुद्धिमान् च आसीत् |	हनुमान्	हनुमान्
75	रामायणकालीनाः काश्याः अद्यतनीयं नाम किम् ?	वाराणसी		वाराणसी	काशी	वाराणसी	वाराणसी	वाराणसी
76	रामायणकालीनस्य लवपुरस्य अद्यतनीयं नाम किम् ?	लाहौरः		लाहौर	श्रावस्ती	लाहौरम्	आयोध्या	लाहोर
77	रामायणकालीननगरी मधुपुरी इत्यस्याः अद्यतनीयं नाम किम् ?	मथुरा		मथुरा	मथुरा	मथुरा |  मधुपुरी इति मथुरायाः प्राचीनं नाम आसीत्	मथुरा	मथुरा
78	मारुत इति कस्याः देवतायाः नाम अस्ति ?	वायोः		वायोः	मारुतः वायुदेवस्य नाम अस्ति	वायुः	वायु	वायुदेवतायाः
79	इन्द्रस्य प्रसिद्धस्य उद्यानस्य नाम किम् ?	नन्दनम्		नन्दनम्	नन्दनवनम्	नन्दनम्	नन्दनवनम्	नन्दनम्
80	इन्द्रस्य सारथेः नाम वदतु।	मातलिः		मातङ्गः	इन्द्रस्य सारथेः नाम मातलिः अस्ति	मातलिः	मातलिः	मातलिः
81	तस्याः गन्धर्व्याः नाम किं या स्वस्य  तिसॄणां पुत्रीणां  विवाहं माल्यवान्, सुमाली माली चेत्येतैः अकारयत् ?	नर्मदा		केतुमती	रम्भा	"**हेमा** | 

सा तॄण्‍णां पुत्रीणां विवाहं रावणेन सह अकारयत् |"	उर्मिला	सुकेशी
82	तस्य वानरस्य किं नाम यः एकस्मिन् सरोवरे आत्मच्छायां दृष्ट्वा तेन सह युद्धाय अकूर्दत, स्त्री अभवच्च ?	ऋक्षराजः		वालि	सुग्रीवः	"**हनुमान्** | 

तस्य पूर्णबलेन परिणामम् अज्ञात्वा आत्मच्छायां शत्रुं मत्वा अकूर्दत |"	हनुमान्	वालि
83	मेघनादः यस्याः देव्याः पूजां करोति स्म तस्याः नाम किम् आसीत् ?	निकुम्भिला		"निःसन्देहं मेघनादः यस्याः देव्याः पूजां करोति स्म तस्या नाम आसीत् ""निकुम्भिला"""	मेघनादः निकुम्भिलायाः देव्याः पूजां करोति स्म	निकुम्भिला	निकुम्भिला	मेघनादः निकुम्बला देव्याः पूजां करोति स्म
84	हनुमतः जननी पूर्वजन्मनि आप्सराः आसीत्, अप्सरारूपेण तस्याः नाम किम् आसीत्?	पुञ्जिकस्थला		पुञ्जिकस्थला	पूर्वजन्मनि हनुमतः जननी अञ्जना नाम्नी अप्सराः आसीत्	सुवर्चला |	अञ्जना	पुंजिकस्थला
85	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् यं पर्वतं औषधिसहितं उन्नीय आनयत् तस्य नाम किम्?	द्रोणगिरिः		सञ्जीवनी	"तस्य पर्वतस्य नाम ""सञ्जीवनी पर्वतः"" अथवा ""ओषधि पर्वतः"" इति"	सञ्जीवनीम्	गन्धमादन	संजीवनीपर्वतः
86	सीतायाः अन्वेषणं कुर्वन् लङ्कां प्राप्य हनुमान् यं विमानम् अपश्यत् तस्य नाम किम्?	पुष्पकम्		पुष्पकम्	पुष्पकविमानम्	पुष्पकः	पुष्पकम्	पुष्पकम्
87	तस्याः राक्षस्याः किं नाम या उपलङ्कां समुद्रे अवसत् उड्डयमानान् जीवाञ्च आकृष्य खादति स्म ?	सिंहिका		सिंहिका	शूर्पणखा	पुष्पमाला  सा  रक्षिता  आसीत् इति  जीवानाम् अपहरणं करोति स्म	त्रिजटा	सिंहिका
88	कुब्जा कस्याः नाम आसीत्?	मन्थरा	 कैकेयी / मन्थरा / सुलोचना / मन्दोदरी	मन्थरा	मन्थरा	"**मन्थरा** 

कुब्जा कैकेयी इत्यस्याः दासी आसीत् |"	मन्थरा	कुब्जा मन्थरायाः नाम आसीत्
89	लङ्कायां रक्षसानां कुलदेवतायाः यत् स्थानं तस्य नाम किम्?	चैत्यप्रासादः		निकुंभिला	निकुम्भिला	**निकुम्भिला**	निकुम्भिला	निकुम्बिला
90	रामायणमहाकाव्यस्य द्वितीयं नाम किम् आसीत्?	पौलस्त्यवधः अथवा दशाननवध		अयोध्याकाण्डः	आदिकाव्यम्	सीताचरितम्	अयोध्याकाण्डम्	पौलस्त्य-वधम्
91	श्रीरामेण वालिवधार्थम् वालिना सह युद्धं कुर्वाणः सुग्रीवः यां मालाम् अधरत् तस्य नाम किम्?	गजपुष्पी लता		गजेन्द्रमाला	सुग्रीवः वालिना सह युद्धं कुर्वन् वानरमालाम् अधारयत् श्रीरामः तां मालां दृष्ट्वा एव	वैजयन्तीम् सुग्रीवस्य रक्षायै हनुमता दत्ताम्	सौवर्णी	वैजयन्ती
92	श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् यया भरतः नौकया गङ्गां तीर्णवान् तस्याः नाम किम्?	स्वस्तिकः		गुहः	गुहस्य नौका	पुष्पकः	गुहस्य	नन्दिग्रामतः प्रस्थाय श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् भरतः नौकया गङ्गां तीर्णवान्  तस्याः नौकायाः नाम क
93	अद्यतन्याः व्यासनद्याः रामायणकाले किं नाम आसीत्?	विपाशा		सरयू	सरयू	वेदवती	कलिः	सीतानदी
94	तस्य धनुषः नाम किं यत् महर्षिः परशुरामः श्रीरामं (सीतास्वयम्वरे) यस्मिन् बाणसन्धानं कर्तुं समाहूतवान्?	वैष्णवधनुः		शिवधनुः	"तस्य धनुषः नाम पिनाकम् आसीत्

पिनाकं नाम शिवस्य धनुः, यत् परशुरामः रामाय सीतास्"	शिवाधनुः  परशुरामः क्रोधे कोल्वितः स्वबलप्रदर्शनार्थं श्रीरामं शिवाधनुषि बाणसन्धानं कर्तुम् आदिष्टवान्	विष्णुधनुः	वैष्णवधनुषः
95	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम किम्?	चित्ररथः		चैत्तरथम्	पुष्पकवनम्	चैत्ररथम्	चैत्ररथम्	चैत्ररथम्
96	कलहप्रियः कस्य नाम आसीत्?	नारदः		कैकसी	"कलहप्रियः मन्थरायाः नाम आसीत्

मन्थरा कैकेय्याः दासी आसीत् सा रामस्य राज्याभिषे"	मंथरायाः	रावणस्य	रावणस्य
97	तस्य यज्ञस्य नाम किम् यः 'पवित्रनामकेन' सोमयज्ञेन आरभ्यते 'सौत्रामणिना' च समाप्यते?	राजसूयः		अश्वमेधः	"अश्वमेधः

अश्वमेध यज्ञः पवित्रनामकेन सोमयज्ञेन आरभ्यते सौत्रामणिना च समाप्"	"**अश्वमेधः** 

यतः अश्वमेधयागः पवित्रनामकेन यज्ञेन आरभ्यते सौत्रामणिना च समाप्यते"	पुत्रकामेष्टिः	ज्योतिष्टोमः
