ID	QUESTION	ANSWER	CHOICES	llama-v3p1-8b-instruct	gemini-1.0-pro	gpt-3.5-turbo	gpt-4o-mini	gpt-4o
15	राज्ञः दशरथः पुत्रोत्पत्तये यं यज्ञं कृतवान् तस्य किं नाम आसीत् ?	पुुत्रेष्टिः		अश्वमेध यज्ञ	पुत्रकामेष्टिः	वजपेयः	पुत्रकामेष्टि	पुत्रकामेष्टि यज्ञः
16	राज्ञः जनकस्य पुरोहितस्य किं नाम आसीत्?	शतानन्दः		वशिष्ठः	शतानन्दः	वाशिष्ठः	वशिष्ठः	शतानन्द:
17	महर्षेः विश्वामित्रस्य तपः या अप्सराः विखण्डितवती तस्या: किं नाम आसीत्?	मेनका		मेनका	मेनका	मेनका	मेनका	मेनका
18	श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां किं नाम आसीत्?	सालवृक्षः		अशोकवृक्षानाम्	"## शमी 

श्रीरामः येषां वृक्षाणाम् आच्छादनम् आदाय वानरराजं वालिनं जघान, तेषां वृक्षाणां नाम शमी आसीत् 

वाल्मिकी रामायण के किष्किंध"	अशोकवृक्षाः	सुग्रीव वृक्षाः	शालवृक्षः
19	राज्ञः जनकस्य कनिष्ठभ्रातुः किं नाम आसीत्?	कुशध्वजः		विश्वावासु	"कुशध्वज  

King Janaka's name was Kushadhwaja"	श्रुतकीर्तिः	शतायु	कुशध्वजः
20	शत्रुघ्नस्य पुरोहितस्य किं नाम आसीत्?	काञ्चनः		वशिष्ठ	सुतीक्ष्ण:	वाशिष्ठः	च्यवन्	सुमन्त्र:
21	रामायणं येन युगेन सह सम्बद्धः सः केन नाम्ना प्रसिद्धः अस्ति ?	त्रेतायुगः		वाल्मीकि	त्रेता युग	वाल्मीकिना	रामायणम्	त्रेतायुगः
22	समुद्रमन्थनात् यः अश्वः निर्गतः तस्य नाम किम् आसीत् ?	उच्चैःश्रवाः		वाराह	उच्चैःश्रवाः	उच्छैःश्रवा:	उच्चैःश्रवा	उच्चैःश्रवा:
23	अशोकवाटिकायाः द्वितीयं नाम किम् आसीत्?	प्रमदावनम्		अनुसूया	चन्द्रवनम्	भद्रकपीटम्	सुग्रीवम्	सर्वर्तुकवाटिका
24	महर्षेः वाल्मीकेः बाल्ये किं नाम आसीत्?	रत्नाकरः		मारीच	रत्नाकरः	सुमित्रा	राघवः	प्रचेतसः
25	तस्य महर्षेः किं नाम यस्य विषये उक्तं यत् स जीवनस्य पूर्वार्धे दस्युः आसीत्?	वाल्मीकिः		रावण	वाली	विश्वामित्रः	वशिष्ठ	वाल्मीकिः
26	तस्य हस्तिनः नाम किं यं सगरपुत्राः पृथ्वीं धारयन्तम् अपश्यन्?	विरूपाक्षः		भारद्वाज	**कुरः**	चतुर्हस्तम्	गजः	ऐरावत:
27	लङ्कादाहात् अनन्तरं हनुमान् यं पर्वतं आरुह्य समुद्रं उल्लङ्घ्य पुनरागतवान्, तस्य किं नाम आसीत्?	अरिष्टः		श्रृंगवेरपुरम्	मलय पर्वत:	मैनाक पर्वतः	संदीपनि	महेंद्र: पर्वत:
28	महर्षेः वसिष्ठस्य धेन्वाः किं नाम आसीत्?	सुरभिः		नारी	नन्दिनी	कामधेनुः	नन्दिनी	नन्दिनी
29	अवधीभाषायां विरचितस्य रामायणस्य नाम किम् ?	रामचरितमानसम्		काव्य	रामचरितमानस	तुलसीदासविरचितम्््््््््््््््	रामायणम्	रामचरितमानस
30	कुबेरस्य सेनापतेः किं नाम आसीत्?	मणिभद्रः		अनिरुद्धः	नैर्ऋतः	नलकूबरः	नल	कुबेरस्य सेनापतेः नाम मणिभद्रः आसीत्
31	देवासुरैः यस्य सागरस्य मन्थनं कृतं तस्य किं नाम आसीत्?	क्षीरोदसागरः		महर्षि	क्षीरोदः	धन्वन्तरि्	समुद्र मन्थन	क्षीरसागरः
32	सेतुनिर्माणसमये श्रीरामः यस्य शिवलिङ्गस्य स्थापम् अकरोत् तस्य किं नाम अस्ति ?	रामेश्वरः		रामसेतु	"रामेश्वर 
 
The answer is **Rameshwar**"	शिवध्वजः	रामेश्वरम्	रामेश्वरम्
33	विभीषणस्य सः अनुचरः कः आसीत् यः पक्षिरूपं धृत्वा लङ्कां गत्वा रावणस्य रक्षाव्यवस्थां सैन्यशक्तिं च अन्विष्टवान्?	अनलः		सुमाली	हनुमान्	जटायुः	जटायुः	शुकः
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः		हिमवान्त	मेरु:	मेरुः	गिरिराज	हिमालयः
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बाल काण्ड	बालकाण्ड:	बालकाण्डः	बालकाण्डम्	बालकाण्डः
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरम्: उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डः	उत्तरकाण्डम्	उत्तरकाण्डः
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		वानर	Airavata	कुम्भकर्णः	इन्द्रजित्	ऐरावतः
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		सुमन्त्र	हनुमान्	शुषेणः	सुषेण	सुषेणः
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		पुरुषस्य	सनत्कुमारः	विश्वामित्रः	दक्षः	कश्यपः
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		अर्थात	विश्वामित्र:	विश्वामित्रः	जाबालि	त्रिजटः
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		अनिरुद्ध	पुष्पकम् (Pushpakam)	पुष्पकं	पुष्पकविमानम्	पुष्पकम्
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		विष्णुस	शिवस्य	रामस्य् (Ram's)	शेषनागः	विष्णोः
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		विश्वामित्र	विश्वामित्र:	वाल्मीकिः	दधिचि	अगस्त्यम्
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		मारीचः	माल्यवान्	विश्रावा:	दशग्रीवः	जय
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		अयोध्या	मिथिला	अयोध्या	अयोध्या	मिथिला
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य		शिवाचे	शिवस्य (Shiva)	विश्वामित्रस्य	शिवस्य	शिवस्य
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः		लक्ष्मी	चिन्तामणिः	शंखः	लक्ष्मी	कौस्तुभम्
48	नलकूबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		सुमालिनी	रम्भा	"नलकूबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?  
नलकूब"	नलिनीतलपर्णी	रम्भा
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		अशोकवाटिका वृक्ष	मानवस्त्री रूपम् धृतवान् हनुमान्, अशोकवृक्षस्य शाखासु स्वयमेव निवास करोति स्म | तस्य विशालस्य अशोकवृक्षस्य शाखासु उपविशति स्म, तथा	शिम्शुमारः	सुर्यकान्तमणि	सिंशपावृक्ष:
50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः		एंड्रजित	ऐरावत:	इरावतः	ऐरावत्	ऐरावतः
51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः		वासुकी	सर्वश्रेष्ठः	नलः	इन्द्रध्वजम्	ऐरावतः
52	यमस्य गजस्य किम् नाम?	महापद्मः		अनुमान	ऐरावत:	इन्द्रधनुः	गजेंद्र	ऐरावतः
53	वरुणस्य गजस्य किम् नाम?	सौमनसः		अनुमान्त	"आनन्द

The answer is in Sanskrit, which is the language the question was asked in"	वरुणस्य गजस्य नाम नलः	एरावत	ऐरावतः
54	तस्य समुद्रस्य किम् नाम यस्य जलं रक्तवर्णीयम् आसीत्?	लोहितसागरः		मारीचसमुद्र	रक्त सागर	कृष्णजलम्	लवणसागरम्	लङ्कासमुद्रः
55	श्रीरामादीनाम् चतुर्णां भ्रातॄणां विवाहकर्म यः ऋषिः अकुरुत तस्य किम् नाम?	वसिष्ठः		वशिष्ठ	ऋषि वाल्मीकिः श्रीरामादीनाम् चतुर्णां भ्रातॄणां विवाहकर्म अकुरुत |	विश्वामित्रः	विभीषणः	वशिष्ठः
56	यः महर्षिः श्रीरामस्य दुःखपूर्णजीवनस्य भविष्यकथनम् अकरोत् तस्य किम् नाम?	दुुर्वासाः		वाल्मीकि	विश्वामित्रः	वाल्मीकिः	वाल्मीकि	वाल्मीकि
57	यः काकः गरुडाय रामकथां अश्रावयत् तस्य किम् नाम?	काकभुशुण्डिः		सुमंत्र	हनुमान्	जटायुः	शबाला	काकभुशुण्डिः
58	अमरावती कस्य पुर्याः नाम आसीत्?	इन्द्रस्य		लंका	इन्‍द्रस्‍य	इन्द्रस्य	इन्द्रस्य	इन्द्रस्य
59	अश्वमेधयज्ञस्य अश्वस्य मस्तके यत् पत्रं बध्यते तस्य किम् नाम?	जयपत्रम्		अरुणपुष्प	चन्दनं	श्वेतपुष्पम्	दिव्यपर्णम्	अभिज्ञानपत्रम्
60	शत्रुणा प्रयुक्तम् अस्त्रं निष्फलीकर्तुं यः विधिः तस्य नाम किम् ?	रभसः		अग्नि	"गरुडमन्त्रः 

The Garuda mantra is the method to nullify a weapon used by the enemy"	ब्रह्मशिरस्	निष्फलकरणम्	प्रत्यस्त्र
61	तस्य राक्षसस्य किं नाम आसीत् यः रावणं सीतायाः हत्यां मा कुरु इति बोधितवान् ?	सुपार्श्वः		विश्रवस्	विभीषणः	विभीषणः	विभीषणः	मरीचिः
62	समुद्रमन्थनात् यत् भीषणं विषं निर्गतं तस्य नाम किम् ?	हलाहलम्		वासुकि	हलाहलं	हालाहलः	कालकूटम्	कालकूटम्
63	समुद्रमन्थनाय यः पर्वतः मथनीकृतः, तस्य नाम किम्?	मन्दरः		मानサहस्रं	मंदराचल:	मन्थरपर्वतः	मंदराचलः	मन्दारः
64	रामायणस्य प्रमुखतमस्य काण्डस्य नाम किम्?	युद्धकाण्डम्		युद्धकाण्डम्	बालकाण्डम्	बालकाण्डः	बालकाण्डम्	बालकाण्डः
65	रामायणस्य लघुतमस्य काण्डस्य नाम किम्?	अरण्यकाण्डम्		उत्तरम्: सुन्दरकाण्डम्	उत्तरकाण्डम्	बालकाण्डः	उत्तरकाण्डम्	सुन्दरकाण्डः
66	राजा जनकस्य सः मन्त्री कः आसीत् यः जनकस्य आज्ञया राजानं दशरथं आह्वातुं अयोध्यां गतः?	सुदामा		वशिष्ठ	"## सुमन्त्र: 
स: जनकस्य अमात्यः आसीत्, यः जनकस्य आदेशेन अयोध्यां दशरथं आह्वातुं गतः आसीत्"	सुमन्त्रः	सुग्रीवः	शतानन्दः
67	तस्य सरोवरस्य किं नाम आसीत् यः योजनपरिमितः दीर्घः तावदेव विस्तृतः च ?	पञ्चाप्सरः		मानसरोवर	श्री पंपा सरोवरस्य	मानसं (मानसरोवरः)	सुरसरिता	पम्पासरोवरः
68	सः पर्वतः कः आसीत् यस्य शिखराणि शतम् आसन्, यः सिंधुसमुद्रयोः सङ्गमे स्थितः आसीत्?	हेमगिरिः		मेरु पर्वतः आसीत्	"मेरू 
##"	मैनाक पर्वतः	सुमेरु	मलयपर्वतः
69	अष्टमस्य वसोः नाम किम्?	सावित्रः		अष्टमस्य वसोः नाम अहंकारः	आदित्य:	नन्दिगृहम्	आश्विनम्	ध्रुवः
70	रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः कः आसीत् ?	शुकः		वानरराजा सुग्रीवस्य समीपं प्रेषितः दूतः वाली आसीत्	अंगदः	हनुमानः	महाबीरः	शुकः
71	तस्य वानरयूथपतेः नाम किम् आसीत् यः काषायः इव रक्तवर्णीयः आसीत् ?	गवयः		वाली	हनुमान्	अंगदः	हनुमान्	वाली
72	तस्य वानरयूथपतेः नाम किम् आसीत् यः रजतम् इव शुभ्रः आसीत् ?	श्वेतः		वाली	"हनुमान् 

(Hanuman) 
 
 *शुभ्रः* शब्द का अर्थ है ""सफेद"" 
 *रजतम्* का अर्थ है ""चांदी"" 
 इस प्रकार, पंक्ति का अर्थ है ""उस बंदर के नेता का"	सुग्रीवः	सुग्रीवः	सुग्रीवः
73	तस्य ग्रहस्य किं नाम यः यथासमयं सूर्यचन्द्रयोः ग्रहणं करोति?	राहुः		राहु	"निर्दिष्ट पाठात या ग्रहाचे नाव दिलेले नाही तथापि, खालील माहितीचा विचार करा:

- सूर्यग्रहण तेव्हा घडते जेव्हा चंद्र पृथ्वी आणि सूर्याच्या मध्य"	राहुः	राहु	राहु
74	कस्य मन्त्रिणः नाम प्रभावः आसीत् ?	सुग्रीवस्य		मंत्री रावण	विभीषणः	श्रीजांबवान्	विभीषणः	दशरथस्य
75	रामायणकालीनाः काश्याः अद्यतनीयं नाम किम् ?	वाराणसी		अयोध्या	वाराणसी	काशी	वाराणसी	वाराणसी
76	रामायणकालीनस्य लवपुरस्य अद्यतनीयं नाम किम् ?	लाहौरः		सुमित्रा	"नानादेशेषु लवपुरस्य नाम्नि भेदः विद्यते 

* किञ्चित् स्थळे अस्य नाम लाहौर इति वर्तते 
* पाकिस्तानस्य पञ्जाबे लाहौर नामकं नगरं तदा"	कृष्णनगरम्	लवासा	लाहौर
77	रामायणकालीननगरी मधुपुरी इत्यस्याः अद्यतनीयं नाम किम् ?	मथुरा		अयोध्या	Mathura	अयोध्या्म्	मधुबन	मथुरा
78	मारुत इति कस्याः देवतायाः नाम अस्ति ?	वायोः		वायु	वायुदेवतायाः	हनुमानस्य	वायोः	वायोः
79	इन्द्रस्य प्रसिद्धस्य उद्यानस्य नाम किम् ?	नन्दनम्		मेनका	नान्दनम्	चैत्रवनम्	नन्दनवनम्	नन्दनवनम्
80	इन्द्रस्य सारथेः नाम वदतु।	मातलिः		विभीषण	मातलिः	वायुवाहनः	मेघदूत	मतलिः
81	तस्याः गन्धर्व्याः नाम किं या स्वस्य  तिसॄणां पुत्रीणां  विवाहं माल्यवान्, सुमाली माली चेत्येतैः अकारयत् ?	नर्मदा		माल्यवान, सुमाली माली	पुत्रीणां  विवाहं माल्यवान्, सुमाली माली च  कृतवन्तः   कश्यपस्य  पत्नी  ताम्  तारकाम्  आहुः	कैकेयी	माल्यवान्	केतुकी
82	तस्य वानरस्य किं नाम यः एकस्मिन् सरोवरे आत्मच्छायां दृष्ट्वा तेन सह युद्धाय अकूर्दत, स्त्री अभवच्च ?	ऋक्षराजः		सुमित्रा	"वानरस्य नाम ""नरः"" आसीत्"	अङ्गदः	हनुमान	वालि
83	मेघनादः यस्याः देव्याः पूजां करोति स्म तस्याः नाम किम् आसीत् ?	निकुम्भिला		रावणः	शक्तिः	इन्द्राणी	सीता	निखुम्भिला
84	हनुमतः जननी पूर्वजन्मनि आप्सराः आसीत्, अप्सरारूपेण तस्याः नाम किम् आसीत्?	पुञ्जिकस्थला		अनुसूया	मेनका	नाम्: अन्जना	पवनी	अञ्जना
85	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् यं पर्वतं औषधिसहितं उन्नीय आनयत् तस्य नाम किम्?	द्रोणगिरिः		श्रृंगवेरप पर्वतम्	महाबली हनुमान सज्जीवन नामक पर्वतम् उन्नीय आनयत्	संजीवनी	सुषेण पर्वतम्	सञ्जीवनी
86	सीतायाः अन्वेषणं कुर्वन् लङ्कां प्राप्य हनुमान् यं विमानम् अपश्यत् तस्य नाम किम्?	पुष्पकम्		वायु विमानं	पुष्पकम्	पुष्पकम्	Pushpaka	पुष्पकम्
87	तस्याः राक्षस्याः किं नाम या उपलङ्कां समुद्रे अवसत् उड्डयमानान् जीवाञ्च आकृष्य खादति स्म ?	सिंहिका		मारीच	**लङ्का**	शूर्पणखा	सुरसा	सिंहिका
88	कुब्जा कस्याः नाम आसीत्?	मन्थरा	 कैकेयी / मन्थरा / सुलोचना / मन्दोदरी	कैकेयी	कैकेयी	मन्थरा	मन्थरा	मन्थरा
89	लङ्कायां रक्षसानां कुलदेवतायाः यत् स्थानं तस्य नाम किम्?	चैत्यप्रासादः		रावण	शिवः	श्रीलङ्का	लङ्केश्वरम्	निकुम्भिला
90	रामायणमहाकाव्यस्य द्वितीयं नाम किम् आसीत्?	पौलस्त्यवधः अथवा दशाननवध		युद्धकाण्डम्	उत्तरकाण्डम्	किष्किन्धा	अयोध्याकाण्डम्	अयोध्याकाण्डम्
91	श्रीरामेण वालिवधार्थम् वालिना सह युद्धं कुर्वाणः सुग्रीवः यां मालाम् अधरत् तस्य नाम किम्?	गजपुष्पी लता		सीता	नीलकण्ठ	अंगदम्	मालती	माल्यवान्
92	श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् यया भरतः नौकया गङ्गां तीर्णवान् तस्याः नाम किम्?	स्वस्तिकः		गोदावरी	चण्णेय्यकम्	गुहाश्रमणः	सुतिक्ष्णा	गुहः
93	अद्यतन्याः व्यासनद्याः रामायणकाले किं नाम आसीत्?	विपाशा		त्रेतायुग	गोदावरी	बली	रामायणकाले व्यासनद्या नाम नासीत्	सरयू
94	तस्य धनुषः नाम किं यत् महर्षिः परशुरामः श्रीरामं (सीतास्वयम्वरे) यस्मिन् बाणसन्धानं कर्तुं समाहूतवान्?	वैष्णवधनुः		अर्जुन	**पिनाकम्**	विश्वामित्रः	रामबाणम्	शिवधनुष्
95	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम किम्?	चित्ररथः		अलकापुरी	चैत्ररथम्	अयोध्या	अयोध्यापुरी	चैत्ररथम्
96	कलहप्रियः कस्य नाम आसीत्?	नारदः		रावण	शूर्पणखा	श्रीरामः	कौसल्या	मन्थरा
97	तस्य यज्ञस्य नाम किम् यः 'पवित्रनामकेन' सोमयज्ञेन आरभ्यते 'सौत्रामणिना' च समाप्यते?	राजसूयः		अग्निष्टदेवता	सप्त सोमयज्ञाः पञ्चमहायज्ञानाम् उपविभागः इति वर्ण्यन्ते तेषु प्रथमः सौत्रामणिः, द्वितीयस्तु वाजपेयः, तृतीयश्च अश्वमेधः	वाजपेयः	सौत्रामणि	सर्वमेदः
98	रावणस्य कुलस्य सः योद्धा कः यः रामरावणयोः युद्धे श्रीरामस्य पक्षे अयुद्ध्यत?	विभीषणः		भरत	विभीषणः	इंद्रजितः	विभीषणः	विभीषणः
99	सः कः वीरः यः रावणं कारागारं नीत्वा बद्धवान् (रावणस्य) पितामहस्य निवेदनाच्च तं मुक्तवान्?	सहस्रार्जुनः		वाल्मीकि	हनुमान्	हनुमानः	हनुमानः	वालिनः पुत्रः अंगदः
100	सः कः वीरः यः रावणं षण्मासान् यावत् स्वकक्षे अस्थापयत्?	वाली		रामः	हनूमान्	हनुमान्	हनुमान्	वालीनः
101	ऋषिः विश्वामित्रः यदा राजा दशरथस्कृय सविधे  श्रीरामं लक्ष्मणं च याचितुम् आगतवान् तदा अस्मिन्नवसरे दशरथः बहुषु तर्केषु ऋषये कति अवस्थाः उक्तवान्?	षष्ठीसहस्रम्		चार	प्रत्येकम् 🙏	त्रयः	त्रयः	दशरथः ऋषये त्रिः अवस्थाः उक्तवान्
102	लक्ष्मणम्, हनुमन्तं, भरतं, शत्रुघ्नं च युद्धे कौ द्वौ भ्रातरौ पराजितवन्तौ?	लवकुशौ		रावणः	लक्ष्मणम् हनुमन्तं च युद्धे पराजितवन्तौ	रामः लक्ष्मणं पराजितवान्	लक्ष्मणम्, शत्रुघ्नम्	लक्ष्मणम्, शत्रुघ्नम्
103	कुंभकर्णस्य शयनाय रावणेन यद् गृहं निर्मापितं तत् कियद् दीर्घं विस्तीर्णं चासीत्?	योजनद्वयं दीर्घं योजनं च विस्तीर्णम्		अष्टकोणम्	"श्रीरामचरितमानसस्य उत्तरकाण्डे उल्लिखति गोस्वामी तुलसीदासः -

कुम्भकर्णः ८० योजन विस्तीर्णं, ३२ योजनम् उन्नतं, १०० योजनम् दीर्घं"	सप्तमीति	एकसप्ततिः योजनाः	कुंभकर्णस्य शयनाय रावणेन निर्मापितं गृहं द्वात्रिंशद् योजनं दीर्घं, अष्टादश योजनं विस्तीर्णं चासीत्
104	सः कः राक्षसः यः एकस्मिन् पर्याये षड् मासान् यावत् निद्राति स्म?	कुम्भकर्णः		रावण	कुम्भकर्णः	खरः	कालियदमनः	कुम्भकर्णः
105	रावणः कं प्रसादयितुं स्वस्य दश शिरांसि समर्पितवान्?	ब्रह्माणम्		श्रीरामाय	शिवम्	सीतायाः प्राणान्	शिवम्	शिवम्
106	सः कः यः मातरं विना एव केवलं पित्रा जनितः आसीत्?	मिथिः		रावणः	हनुमान्	कौसलेयः	रामः	हनुमानः
107	एतेषु कः एकपादस्थः पञ्चसहस्रवर्षाणि तपः अकरोत्?	विभीषणः	 शंबूकः / दशरथः / विभीषणः / सुग्रीवः	शंबूकः	विभीषणः	विभीषणः	शंबूकः	शंबूकः
108	सीताहरणात् प्राक् कः सुवर्णमृगस्य रूपं धृत्वा आगच्छत्?	मारीचः		रावण	मारीच:	जटायुः	रामः	मारीचः
109	कः शिलारूपायाः अहल्यायाः उद्धारं कृतवान्?	श्रीरामः		रामः	रामः	रामः	रामः	रामः
110	सः कः महर्षिः यः पितुः आज्ञाय मातुः शिरः छिन्नवान्?	परशुरामः		रामः	परशुरामः	विश्वामित्रः	रामः	परशुरामः
111	सः कः महर्षिः यः सम्पूर्णसमुद्रजलं चुलुकीकृत्य अपिवत्?	अगस्त्यः		विश्वामित्रः	मातलिः	जाम्बवान्	वसिष्ठः	अगस्त्यः
112	शूर्पणखायाः राक्षस्याः नासिका कर्णौ च कः छिन्नवान्?	लक्ष्मणः		रामः	लक्ष्मणः	लक्ष्मणः	रामः	लक्ष्मणः
113	सः कः महर्षिः यः क्षत्रियोऽपि तपसा ब्रह्मर्षिषु परिगणितः?	विश्वामित्रः		विश्वामित्रः	विश्वामित्रः	विश्वामित्रः	विष्णु शर्मा	विष्वामित्रः
114	कः सः राजा आसीत् यं महर्षिः विश्वामित्रः सशरीरं स्वर्गं प्रेषयन् आसीत्?	त्रिशङ्कुः		रामः	त्रिशंकुः	दशरथः	शुचि	त्रिशङ्कुः
115	एतेषु कः सूर्यं फलमिति मत्वा खादितुं तत्र गतः?	हनुमान्	 जाम्बवान् / सुरसा / हनुमान् / कालनेमिः	हनुमान्	हनुमान्	हनुमान्	हनुमान्	हनुमान्
116	सः कः महर्षिः यः स्वस्य पत्न्यै प्रस्तरशिला भवितुं शापं अददात्?	गौतमः		विश्वामित्रः	विश्वामित्रः	गौतमः	वशिष्ठः	गौतमः
117	सः कः ऋक्षः यं ब्रह्मा जृम्भनात् असृजत्?	जाम्बवान्		विष्णुः	"भल्लूकः

(The she-bear was created by Brahma from his yawn)"	जाम्बवान्	जाम्बवान्	जाम्बवान्
118	श्रीरामस्य राज्याभिषेके एतेषु कः पञ्चशतस्य नदीनां जलम् आनयत्?	जाम्बवान्	 नीलः / सुग्रीवः / जांबवान् / नलः	नीलः	नलः	सुग्रीवः	नलः	जांबवान्
119	का सा राक्षसी या रावणस्य निराकरणे सति सीतां खादितुं भर्त्सितवती?	प्रघसा		मेघनाद	सूर्पनखा	शूर्पणखा	त्रिजटा	त्रिजटा
120	सः कः ऋषिः यः क्रुद्धः भूत्वा गङ्गायाः सर्वं जलम् अपिवत्?	जहुः		वशिष्ठः	भगीरथः	विश्वामित्रः	वसिष्ठः	जाह्नवः
