ID	QUESTION	ANSWER	CHOICES	gpt-4o	claude-3-5-sonnet-20240620	gemini-1.5-pro	mistral-large-latest	llama-v3p1-405b-instruct
34	यः सर्वपर्वतानां राजा अस्ति तस्य पर्वतस्य किं नाम अस्ति?	हिमालयः		हिमालयः	हिमालयः	हिमवान्	हिमवन्तः	हिमालयः
35	रामायणस्य प्रथमकाण्डस्य किं नाम अस्ति?	बालकाण्डम्		बालकाण्डः	बालकाण्डम्	**बालकाण्डम्**	बालकाण्डम्	बालकाण्डम्
36	रामायणस्य अन्तिमकाण्डस्य नाम किम् अस्ति?	उत्तरकाण्डम्		उत्तरकाण्डः	रामायणस्य अन्तिमकाण्डस्य नाम उत्तरकाण्डः अस्ति	उत्तरम् :  उत्तरकाण्डम्	उत्तरकाण्डम्	उत्तरकाण्डम्
37	तस्य गजस्य किं नाम यः स्वेतवर्णीयः आसीत्?	ऐरावतः		ऐरावतः	ऐरावतः	ऐरावत:	गजराजः	इन्द्रजानुः
38	लक्ष्मणस्य मूर्च्छामोचनाय वैद्यः यम् ओषधिम् आनेतुम् उक्तवान् तस्य नाम किम् आसीत् ?	सञ्जीवनी		सञ्जीवनी	सञ्जीवनी	संजीवनीम्  हनुमान् लक्ष्मणस्य प्राण रक्षणार्थम् संजीवनीं आनेतुम् उक्तः आसीत्	विशल्यकरणी	संजीवनी
39	तृतीयस्य प्रजापतेः किं नाम अस्ति?	शेषः		कश्यपः	अङ्गिरसः	कश्यपः	ब्रह्मा	भृगुः
40	तस्य ब्राह्मणस्य किं नाम आसीत् यं श्रीरामः अवदत् सः यावद्दुरं स्वदण्डं क्षेप्स्यति तावतां गवां लाभः भविष्यति ?	त्रिजटः		जाबालिः	वैदिकस्य	विश्वामित्रः ब्रह्मर्षेः विश्वामित्रस्य यज्ञरक्षणार्थम्	विश्वामित्रः	श्रीरामः तं ब्राह्मणं शम्बूकम् अवदत्
41	कुबेराय ब्रह्मा यं विमानं दत्तवान् तस्य नाम किम् आसीत् ?	पुष्पकम्		पुष्पक	पुष्पकम्	पुष्पकः	पुष्पक	पुष्पकम्
42	कस्य देवस्य एकं नाम 'सर्पमाली' अस्ति?	शिवस्य		शेषस्य	"शिवस्य

शिवः सर्पान् आभरणरूपेण धारयति, अतः तस्य एकं नाम 'सर्पमाली' अस्ति"	शिवस्य  सर्पाणां मालां धारयति इति कारणतः	शिवस्य	शिव
43	कं ऋषिं समुद्रचलुकः इति कथयन्ति ?	अगस्त्यम्		अगस्त्यम्	"अगस्त्यम्

अगस्त्य ऋषिः समुद्रचलुकः इति प्रसिद्धः पौराणिक कथानुसारं, अगस्"	वाल्मीकिम्  वाल्मीकिना रामायणं रचितम्, तस्मिन् समुद्रस्य वर्णनम् अस्ति	वाल्मीकिः	अगस्त्यं
44	पूर्वजन्मनि रावणस्य नाम किम् आसीत्?	प्रतापभानुः		जयः	जयः	जयः  पूर्वजन्मनि रावणस्य नाम **विजयः** आसीत्  दशाननः विष्णुद्वेषी इति कारणात् शापग्रस्तः अभवत् यत् तस्य जन्म पुनः पुनः भविष्यति यावत् न वि	वैश्रवणः	प्रजापतेः पुत्रः प्रजापतिः
45	राज्ञः निमेः राजधानिनाम किम्?	वैजयन्तः		मिथिला	मिथिला	अयोध्या	मिथिला	अयोध्या
46	कस्य देवस्य एकं नाम 'स्थाणुः' अस्ति?	शिवस्य		शिवस्य	शिवस्य	शिवस्य	शिवस्य	शिवस्य
47	या मणिः समुद्रमन्थनात् उत्पन्ना तस्याः नाम किम्?	कौस्तुभः		कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभः	कौस्तुभमणिः
48	नलकुबरः यस्याम् अप्सरसि आसक्तः आसीत् तस्याः नाम किम्?	रम्भा		रम्भा	रम्भा	रम्भा	रम्भा	रम्भा
49	हनुुमान् यदा अशोकवाटिकायां सीतया सह मेलितुम् अगच्छत् तस्मिन् समये सः यस्मिन् वृक्षे गुप्तवान् तस्य नाम किम् आसीत् ?	अशोकः		सिंशुपा	शिंशपा	शंशपाः	सिंशपा	सिंशुपा
50	इन्द्रस्य प्रसिद्धगजस्य नाम किम् ?	ऐरावतः		ऐरावतः	ऐरावत:	ऐरावत:	ऐरावतः	ऐरावतः
51	कुबेरस्य गजस्य किम् नाम?	पुष्पकर्णः		ऐरावतः	"सावर्णिः

कुबेरस्य गजस्य नाम सावर्णिः अस्ति रामायणे कुबेरस्य दिव्यगजस्य नाम"	पुष्पकः	श्रीध्रुवः	शरभः
52	यमस्य गजस्य किम् नाम?	महापद्मः		महापद्म	पुष्पकः	पुष्पकः	सुमन्त्रः	महापद्म
53	वरुणस्य गजस्य किम् नाम?	सौमनसः		ऐरावतः	ऐरावतः	पुष्पकः	मच्छगज	पुष्पदन्त
54	तस्य समुद्रस्य किम् नाम यस्य जलं रक्तवर्णीयम् आसीत्?	लोहितसागरः		लङ्कासमुद्रः	"लवणोदधिः

रामायणे वर्णितः समुद्रः यस्य जलं रक्तवर्णीयम् आसीत् सः लवणोदधिः इति"	रक्तसागरः  लङ्कां प्रति गमनार्थं रामेण सेतुः बद्धः स्म	लोहितम्	लोहितसमुद्रः
55	श्रीरामादीनाम् चतुर्णां भ्रातॄणां विवाहकर्म यः ऋषिः अकुरुत तस्य किम् नाम?	वसिष्ठः		वशिष्ठः	वसिष्ठः	विश्वामित्रः  राजा जनकः स्वयंवरस्य  यज्ञस्य  अध्ययनार्थं विश्वामित्रं  आहूतवान्	वशिष्ठः	वशिष्ठः
56	यः महर्षिः श्रीरामस्य दुःखपूर्णजीवनस्य भविष्यकथनम् अकरोत् तस्य किम् नाम?	दुुर्वासाः		वाल्मीकिः	विश्वामित्रः	वाल्मीकिः	वाल्मीकिः	नारदः
57	यः काकः गरुडाय रामकथां अश्रावयत् तस्य किम् नाम?	काकभुशुण्डिः		काकभुशुण्डिः	भुशुण्डिः	सम्पातिकः	ककभुशुण्डिः	काकभुशुण्डिः
58	अमरावती कस्य पुर्याः नाम आसीत्?	इन्द्रस्य		लंका	अमरावती इन्द्रस्य राजधानी आसीत्	इन्द्रस्य	इन्द्रस्य	इन्द्रस्य
59	अश्वमेधयज्ञस्य अश्वस्य मस्तके यत् पत्रं बध्यते तस्य किम् नाम?	जयपत्रम्		यूपपट्टः	"अश्वमेधयज्ञस्य अश्वस्य मस्तके बध्यमानस्य पत्रस्य नाम ""स्वर्णपत्र"" अथवा ""ह"	**अभिज्ञानपत्रम्**	चक्रवाकम्	चर्त्र
60	शत्रुणा प्रयुक्तम् अस्त्रं निष्फलीकर्तुं यः विधिः तस्य नाम किम् ?	रभसः		प्रत्यस्त्रम्	अस्त्र-संहारः	अस्त्रशमनम्	ब्रह्मास्त्रम्	साम्प्रतम्
61	तस्य राक्षसस्य किं नाम आसीत् यः रावणं सीतायाः हत्यां मा कुरु इति बोधितवान् ?	सुपार्श्वः		विभीषणः	"मारीचः

मारीचः एव सः राक्षसः आसीत् यः रावणं सीतायाः हत्यां मा कुरु इति बोधितवान् रामायण"	विभीषणः	विभीषणः	मारीचः
62	समुद्रमन्थनात् यत् भीषणं विषं निर्गतं तस्य नाम किम् ?	हलाहलम्		कालकूटम्	हालाहलम्	**हलहलम्**	हालाहलम्	हलाहलम्
63	समुद्रमन्थनाय यः पर्वतः मथनीकृतः, तस्य नाम किम्?	मन्दरः		मन्दरः	मन्दरः	मन्दरः   विष्णुपुराणे एतत् वर्णितम् अस्ति	मन्दरः	मंदरः
64	रामायणस्य प्रमुखतमस्य काण्डस्य नाम किम्?	युद्धकाण्डम्		बालकाण्डः	युद्धकाण्डम्	युद्धकाण्डम्  यतः अस्मिन् काण्डे रामरावणयोः युद्धं वर्णितम्	बालकाण्डम्	युद्धकाण्डम्
65	रामायणस्य लघुतमस्य काण्डस्य नाम किम्?	अरण्यकाण्डम्		किष्किन्धा	उत्तरकाण्डः	उत्तरम्‌: किष्किन्धाकाण्डम्‌	बालकाण्डम्	बालकाण्डम्
66	राजा जनकस्य सः मन्त्री कः आसीत् यः जनकस्य आज्ञया राजानं दशरथं आह्वातुं अयोध्यां गतः?	सुदामा		शतानन्दः	"शतानन्दः

शतानन्दः आसीत् जनकस्य मन्त्री यः अयोध्यां गत्वा दशरथं आह्वातुम् गतवान"	शतानन्दः  शतानन्दः जनकस्य आज्ञया दशरथस्य पास आह्वानं नीत्वा गतः	यशः	शतानंदः
67	तस्य सरोवरस्य किं नाम आसीत् यः योजनपरिमितः दीर्घः तावदेव विस्तृतः च ?	पञ्चाप्सरः		पम्पासरोवरम्	पम्पा	**पुष्करः**  यतो हि पुराणेषु पुष्करस्य सरोवरस्य योजनपरिमितः दीर्घः तावदेव विस्तृतः च इति वर्णनं प्राप्यते	पम्पा	पम्पासरः
68	सः पर्वतः कः आसीत् यस्य शिखराणि शतम् आसन्, यः सिंधुसमुद्रयोः सङ्गमे स्थितः आसीत्?	हेमगिरिः		महेन्द्रः	त्रिकूटः	हेमकूटः  सिन्धुसागरयोः सङ्गमे स्थितः इति कारणतः	स पर्वतः मैनाकः	सः पर्वतः कैलासः आसीत्
69	अष्टमस्य वसोः नाम किम्?	सावित्रः		नीलः	सम्प्रभः	दिवः	वसिष्ठः	अन्तरिक्षम्
70	रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः कः आसीत् ?	शुकः		शुकः	"शुकः

रावणेन सुग्रीवस्य समीपं प्रेषितः दूतः शुकः आसीत् शुकः रावणस्य गुप्तचरः"	**अङ्गदः**  सुग्रीवस्य समीपं रावणः नहि अपि तु बालिम् उद्दिश्य अङ्गदं प्रेषितवान् |	अङ्गदः	शुकः
71	तस्य वानरयूथपतेः नाम किम् आसीत् यः काषायः इव रक्तवर्णीयः आसीत् ?	गवयः		सुग्रीवः	"सुग्रीवः

सुग्रीवः वानरयूथपतिः आसीत् यः काषायवस्त्र इव रक्तवर्णीयः वर्णितः र"	**अङ्गदः** | सः बालेः पुत्रः आसीत् |	सुग्रीवः	हनुमान्
72	तस्य वानरयूथपतेः नाम किम् आसीत् यः रजतम् इव शुभ्रः आसीत् ?	श्वेतः		वालिः	"सुग्रीवः

सुग्रीवः एव स वानरयूथपतिः आसीत् यः रजतम् इव शुभ्रः वर्णितः रामायणे"	सुग्रीवः   तस्य वर्णः रजतम् इव शुभ्रः इति वर्णितः अस्ति	सुग्रीवः	नीलः
73	तस्य ग्रहस्य किं नाम यः यथासमयं सूर्यचन्द्रयोः ग्रहणं करोति?	राहुः		राहुः	राहुः	"**राहुः** 

राहुः सूर्यचन्द्रयोः ग्रहणं करोति यतः स पौराणिककथासु छायाग्रहः इति वर्णितः अस्ति यः सूर्यं चन्द्रं च गृह्णा"	राहुः	राहु
74	कस्य मन्त्रिणः नाम प्रभावः आसीत् ?	सुग्रीवस्य		हानुमतः	सुमन्त्रस्य	मन्त्रिणः **सुग्रीवस्य**	सुमन्त्रः	हनुमान्
75	रामायणकालीनाः काश्याः अद्यतनीयं नाम किम् ?	वाराणसी		वाराणसी	वाराणसी	वाराणसी	वाराणसी	वाराणसी
76	रामायणकालीनस्य लवपुरस्य अद्यतनीयं नाम किम् ?	लाहौरः		लाहोरः	"श्रीनगरम्

रामायणे वर्णितं लवपुरं वर्तमानकाले श्रीनगरं नाम्ना प्रसिद्धम् इद"	लाहौरम्	प्रयागराजः	लाहोर
77	रामायणकालीननगरी मधुपुरी इत्यस्याः अद्यतनीयं नाम किम् ?	मथुरा		मथुरा	"मधुरा

मधुपुरी इति रामायणकालीननगरी वर्तमाने मधुरा इति नाम्ना प्रसिद्धा एषा नगरी"	"मथुरा | 
 
 कारणम् - मधुपुरी इति मथुरायाः प्राचीनं नाम आसीत्"	मथुरा	मथुरा
78	मारुत इति कस्याः देवतायाः नाम अस्ति ?	वायोः		वायोः	मारुतः वायोः देवतायाः नाम अस्ति	वायुस्य	वायु	वायुदेवतायाः
79	इन्द्रस्य प्रसिद्धस्य उद्यानस्य नाम किम् ?	नन्दनम्		नन्दनम्	नन्दनम्	नन्दनवनम्	नन्दनवनम्	नन्दनम्
80	इन्द्रस्य सारथेः नाम वदतु।	मातलिः		मातलिः	इन्द्रस्य सारथेः नाम मातलिः	मातलिः	मातलिः	मातलिः
81	तस्याः गन्धर्व्याः नाम किं या स्वस्य  तिसॄणां पुत्रीणां  विवाहं माल्यवान्, सुमाली माली चेत्येतैः अकारयत् ?	नर्मदा		ताटका	सुलोचना	"**अहल्य** | 

सा तॄणां पुत्रीणां विवाहं तेषां सामर्थ्यं दृष्ट्वा अकारयत् |"	शूर्पणखा	सुकेशी
82	तस्य वानरस्य किं नाम यः एकस्मिन् सरोवरे आत्मच्छायां दृष्ट्वा तेन सह युद्धाय अकूर्दत, स्त्री अभवच्च ?	ऋक्षराजः		वालि	सुग्रीवः	"**हनुमान्** | 

**कथम् ?**  बाल्ये हनुमान् सूर्यं फलम् इति मत्वा तं प्राप्तुम् उड्डीय गतः"	हनुमान्	वालि
83	मेघनादः यस्याः देव्याः पूजां करोति स्म तस्याः नाम किम् आसीत् ?	निकुम्भिला		निकोमा	मेघनादः निकुम्भिलायाः देव्याः पूजां करोति स्म	निकुम्भिला	निकुम्भिला	मेघनादः निकुम्बला देव्याः पूजां करोति स्म
84	हनुमतः जननी पूर्वजन्मनि आप्सराः आसीत्, अप्सरारूपेण तस्याः नाम किम् आसीत्?	पुञ्जिकस्थला		पुञ्जिकस्थला	पुञ्जिकस्थला	हेम	पुञ्जिकस्थला	पुंजिकस्थला
85	लक्ष्मणस्य मूर्च्छायाः दूरीकरणाय हनुमान् यं पर्वतं औषधिसहितं उन्नीय आनयत् तस्य नाम किम्?	द्रोणगिरिः		सञ्जीवनीपर्वतः	ओषधीनां प्राप्त्यर्थं हनुमान् द्रोणाचलं पर्वतम् आनयत्	सञ्जीवनीम्	गन्धमादनम्	संजीवनीपर्वतः
86	सीतायाः अन्वेषणं कुर्वन् लङ्कां प्राप्य हनुमान् यं विमानम् अपश्यत् तस्य नाम किम्?	पुष्पकम्		पुष्पक	पुष्पकविमानम्	पुष्पकम्	पुष्पकम्	पुष्पकम्
87	तस्याः राक्षस्याः किं नाम या उपलङ्कां समुद्रे अवसत् उड्डयमानान् जीवाञ्च आकृष्य खादति स्म ?	सिंहिका		सुरसा	"तस्याः राक्षस्याः नाम सिंहिका आसीत्

सिंहिका नाम्नी राक्षसी उपलङ्कां समुद्रे अवस"	पुष्पलङ्का  सा पुष्पलङ्कायाम् अवसत्	सूर्पनखा	सिंहिका
88	कुब्जा कस्याः नाम आसीत्?	मन्थरा	 कैकेयी / मन्थरा / सुलोचना / मन्दोदरी	मन्थरा	मन्थरा	**मन्थरा**	मन्थरा	कुब्जा मन्थरायाः नाम आसीत्
89	लङ्कायां रक्षसानां कुलदेवतायाः यत् स्थानं तस्य नाम किम्?	चैत्यप्रासादः		निकुम्भिला	निकुम्भिला	**लङ्किणी**	निकुम्भिला	निकुम्बिला
90	रामायणमहाकाव्यस्य द्वितीयं नाम किम् आसीत्?	पौलस्त्यवधः अथवा दशाननवध		अयोध्याकाण्डः	रामायणमहाकाव्यस्य द्वितीयं नाम आदिकाव्यम् आसीत्	वाल्मीकिरामायणम्	अयोध्याकाण्डम्	पौलस्त्य-वधम्
91	श्रीरामेण वालिवधार्थम् वालिना सह युद्धं कुर्वाणः सुग्रीवः यां मालाम् अधरत् तस्य नाम किम्?	गजपुष्पी लता		गजमाला	वालिपुत्रेण अङ्गदेन दत्ता माला सुग्रीवेण धृता आसीत् तस्याः मालायाः नाम अङ्गदमा	वैजयन्तीम् सुग्रीवस्य रक्षार्थं श्रीरामेण एषा माला दत्ता	गजपुष्पी	वैजयन्ती
92	श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् यया भरतः नौकया गङ्गां तीर्णवान् तस्याः नाम किम्?	स्वस्तिकः		"स्वस्ति तस्याः नौकायाः नाम ""स्वस्तिकः"""	गुहस्य नौका	पुष्पकः	गुहस्य	नन्दिग्रामतः प्रस्थाय श्रीरामं वनात् प्रत्यावर्तयितुं गच्छन् भरतः नौकया गङ्गां तीर्णवान्  तस्याः नौकायाः नाम क
93	अद्यतन्याः व्यासनद्याः रामायणकाले किं नाम आसीत्?	विपाशा		सरयू	अयोध्या-काण्डे उल्लिखितं यत् रामायणकाले व्यासनद्याः नाम सरयू आसीत् सरयू नदी अयोध्	वेत्रवती	अस्ति	सीतानदी
94	तस्य धनुषः नाम किं यत् महर्षिः परशुरामः श्रीरामं (सीतास्वयम्वरे) यस्मिन् बाणसन्धानं कर्तुं समाहूतवान्?	वैष्णवधनुः		शिवधनुः	"तस्य धनुषः नाम पिनाकम् आसीत्

पिनाकं नाम शिवधनुः यत् परशुरामः श्रीरामं सीतास्व"	शिवाधनुः  श्रीरामः परशुरामस्य शक्तिं ज्ञातुम् इच्छति स्म तस्मात् तेन श्रीरामः बाणसन्धानं कर्तुम् आहूतः	शिवधनुः	वैष्णवधनुषः
95	उत्तरकुरुषु स्थितस्य कुबेरोपवनस्य नाम किम्?	चित्ररथः		चित्तरथम्	चित्ररथम्	चैत्ररथम्	चैत्ररथम्	चैत्ररथम्
96	कलहप्रियः कस्य नाम आसीत्?	नारदः		मन्थरा	कलहप्रियः नाम शूर्पणखायाः पुत्रस्य आसीत्	मन्दोदरी	रावणः	कलहप्रियः काकस्य नाम आसीत्
97	तस्य यज्ञस्य नाम किम् यः 'पवित्रनामकेन' सोमयज्ञेन आरभ्यते 'सौत्रामणिना' च समाप्यते?	राजसूयः		सर्वमेधः	"अश्वमेधः

अश्वमेध यज्ञः पवित्रनामकेन सोमयज्ञेन आरभ्यते च सौत्रामणिना समाप्"	"**अश्वमेधः** | 

**कथम् ?**  एषः यज्ञः प्रथमदिने पवित्रनामकेन सोमयज्ञेन आरभ्यते, अन्ते च सौत्रामणिना समाप्यते"	अश्वमेधः	ज्योतिष्टोमः
