ID	QUESTION	ANSWER	CHOICES	gpt-4o	mistral-large-latest	llama-v3p1-405b-instruct	gemini-1.5-pro	claude-3-5-sonnet-20240620	gpt-4o-mini	gpt-3.5-turbo	gemini-1.0-pro	llama-v3p1-70b-instruct	llama-v3p1-8b-instruct
1011	व्रीहिषु कः श्रेष्ठः?	कृष्णव्रीहिः		श्यामाकः	शालिः	शालिव्रीहिः	शालिः	रक्तशालिः	सर्वश्रेष्ठः व्रीहि: सतम्	व्रीहिषु के विषय में अयुर्वेद में कुछ महत्वपूर्ण गुण बताए जाते ह	शाली	शालि-व्रीहिः	व्रीहिषु श्रेष्ठः गोधूमः
1012	वार्षिकस्य व्रीहेः वर्णः कः? 	शुक्लः		श्वेतः	श्वेतः	श्वेतः	श्वेतः	"रक्तः

वार्षिकस्य व्रीहेः (शालिधान्यस्य) वर्णः सामान्यतया रक्तः भवति अयं ""रक्त"	व्रीहेः वर्णः श्वेतः अस्ति	"वार्षिकस्य व्रीहेः वर्णः कः?

उत्तरं: वार्षिकस्य व्रीहेः वर्णः क"	श्याम!	वार्षिकस्य व्रीहेः वर्णः श्वेतः	वार्षिकस्य व्रीहेः वर्णः कृष्णः
1013	व्रीहेः विपाकः कः ? 	मधुर; मधुरः	अम्ल / कटु / मधुर / उष्ण	मधुर	मधुर	मधुर	**मधुरः**	मधुर	व्रीहेः विपाकः मधुरः अस्ति	व्रीहेर्विपाकः अम्लः अस्ति व्रीहि धातुः अम्लरसं उत्पादयति,	मधुर	मधुर	व्रीहेः विपाकः मधुरः
1014	सर्षपस्य प्रभावः कः? 	रक्षोहर; रक्षोहरः	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	रक्षोहर	सर्षपस्य प्रभावः ग्रहहर	सर्षपस्य प्रभावः रक्षोहर		"सर्षपस्य प्रभावः रक्षोहर इति

सर्षपः आयुर्वेदे महत्त्वपूर्णं स्थानं भजते अस्"	सर्षपस्य प्रभावः अलक्ष्मीहर अस्ति	सर्षपस्य प्रभावः रक्षोहरः अस्ति रक्षोहरः एकः आयुर्वेदीय औ	मंगलकर:	सर्षपस्य प्रभावः अलक्ष्मीहरः	अलक्ष्मीहर
1015	दधेः वीर्यगुणः कः?	उष्णः		शीतलः	दधेः वीर्यगुणः शीतः	दधेः वीर्यगुणः शीतः	शीत:  दधि शीतवीर्ययुक्तम् अस्ति	"दधेः वीर्यगुणः शीतः

दधि आयुर्वेदे शीतवीर्यं मन्यते अस्य कारणम् यत् दधि शरी"	दधेः वीर्यगुणः बलवर्धकः अस्ति	दधि मूत्रवर्धकः, पाचकः, दीपनः, वृष्यकः, संरक्षकः, बलvardhakः	वृष्य:	दधेः वीर्यगुणः शीतलः	दधि-वीर्यगुणः शीतलः
1016	कः रसः हरितक्याम् नास्ति ? 	लवणः		लवणः	कटुरसः	लवणः	मधुरः	"लवणः रसः हरितक्याम् नास्ति

हरितकी (हरड़) में पाँच रस पाए जाते हैं - कषाय, तिक्त, कटु"	हरितक्याम् अम्लरसः नास्ति	हरीतक्यां रसः अम्लरसः नास्ति हरीतकी ग्राहियते या सा हरीतकी ताद	मधुरः रसः हरितक्याम् नास्ति	कटुरस् नास्ति	तिक्तः
1017	लौहधातोः कति दोषाः उक्ता? 	७; सप्त		सप्त	लौहधातोः त्रयः दोषाः उक्ताः	लौहधातोः त्रयोदश दोषाः उक्ताः	त्रयः  त्रिदोषप्रकोपकर्तृत्वात्	"अष्टौ

आयुर्वेदग्रन्थेषु लौहधातोः अष्टौ दोषाः उक्ताः सन्ति ते च - गुरुत"	लौहधातोः त्रयः दोषाः उक्ताः - वात, पित्त, कफ	लौहधातोः चत्वारि दोषाः उक्ताः इति आयुर्वेदे ते च दोषाः ह	एकः	लौहधातोः दोषाः त्रयः उक्ताः	लौहधातोः पञ्च दोषाः उक्ताः
1018	हरीतक्याः रसाः कतिपयः ? 	पञ्च		षट्	पञ्च	षड्रसा	षट्  पाचनार्थम्	"हरीतक्याः षड् रसाः सन्ति

मधुरः, अम्लः, तिक्तः, कटुः, कषायः, लवणश्च इति षड् रस"	हरीतकीः त्रयः रसाः अस्ति - कटु, तिक्त, कषाय	हरीतकी एक प्रमुख औषधीय औषधि है जो आयुर्वेद में प्रयोग की जाती	षड् रसाः,  हरीतकी रसः , कटुः रसः, तिक्तः रसः , मधुरः रसः, अम्लः रसः, कषायः रसः इति |	पञ्च	हरीतक्याः रसाः पञ्च
1019	धान्यकस्य रसाः कतिपयः 	द्वौ		मधुरः, कषायः	षड्रसाः	धान्यकस्य रसाः त्रीणि	"षट्  
कारणम् - आयुर्वेदस्य अनुसारं प्रत्येकं द्रव्यं षड्रसयुक्तं भवति"	"धान्यकस्य (धनियाया:) रसा: चत्वार: सन्ति:

1 मधुर:
2 तिक्त:
3 कषाय:
4 कटु:"	धान्यकस्य रसाः त्रीणि सन्ति: कटु, तिक्त, मधुर	धान्यकस्य रसाः कतिपयः नः धान्यकस्य रसः अन्यत्र नापि लभ्यते	पञ्च	धान्यकस्य रसाः सप्त	धान्यकस्य रसाः पञ्चमः, मधुरः, लवणः, तिक्तः, कटुः, काशायः, उष्णः, शीतः, स्निग्धः, तीक्ष्णः, स्वादु,
1020	अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	नारिकेरक्षीरी	ओदन	नारिकेरक्षीरी	"**पायस** | 

नारिकेरस्य गुरु-स्निग्ध-शीतलत्वात् पायसे तस्य उपयोगः समुचितः भवति"	पायस	नारिकेरक्षीरी	नारिकेरक्षीरी नामकस्य कृतान्नस्य घटकः अस्ति नारिकेरक्षीरी न	"## **क्षीरिका**

नारिकेलः क्षीरिकायाः घटकः अस्ति

## क्षीरिकायाः घटकाः

* नारिकेलः
* धान्यम्
* गुडः
* जलम्
* क्षीरम्
* सु"	नारिकेरः क्षीरिकायाः घटकः अस्ति	नारिकेरक्षीरी
1021	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन; ओदनस्य	ओदन / दालि / सूप / पोलिका	ओदन	ओदन	ओदन	ओदनस्य	ओदन	"सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः ""ओदन"" अस्ति"	सुधौतः तण्डुलः ओदनस्य घटकः स्यात् ओदनं एकः प्रमुखं भार	ओदन	ओदनस्य घटकः स्यात्	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? - सूप
1022	क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्; अर्धपक्वं शुद्धं दुग्धम्; घृताक्ततण्डुलम्	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	क्षीरम्	अर्धपक्वं शुद्धं दुग्धम्	क्षीरिकायाः घटकाः - अर्धपक्वं शुद्धं दुग्धम्	क्षीरिकायाः घटकाः **क्षीरम्**, **अर्धपक्वं शुद्धं दुग्धम्**,  **घृताक्ततण्डुलम्** च	अर्धपक्वं शुद्धं दुग्धम्	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, च क्षीरम्	क्षीरिकायाः घटकाः त्रिधा भवन्ति - अर्धपक्वं शुद्धं दुग्धम्, घ	"क्षीरम् ;
 क्षीरिकायाः घटकाः क्षीरम्, अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम् च भवन्ति 
 The components of Kheer are milk, half-boiled pure milk, and rice cooked"	क्षीरिकायाः घटकाः अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	अर्धपक्वं शुद्धं दुग्धम्, घृताक्ततण्डुलम्, क्षीरम्, दधि
1023	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	अङ्गारभर्जनम्; अङ्गारभर्जनेन	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	अङ्गारभर्जनम्	"**अङ्गारभर्जनेन** 

अङ्गारस्य उष्णतायां चणकानां भर्जनं अङ्गारभर्जनम् इति कथ्यते"	भर्जनम्	अङ्गारभृष्टचणकः अङ्गारभर्जनेन उत्पद्यते	अङ्गारभृष्टचणकः अङ्गारभर्जनम् संस्कारेण उत्पद्यते अ	शुष्क-भर्जनेन	अङ्गारभृष्टचणकः अङ्गारभर्जनेन उत्पद्यते	अङ्गारभृष्टचणकः पाचनम् संस्कारेण उत्पद्यते
1024	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः; चणकस्य	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	चणकः	चणकः	चणकः	"**वातलम्** 

चणकः स्वभावतः रुक्षः, तेन वातं वर्धयति"	शिम्बिधान्यम्	चणकसूपः चणकस्य कृतान्नम् अस्ति	"चणकसूपः मुद्गस्य कृतान्नमस्ति अत्र ""मुद्गः"" शब्दः कृतान"	चणकस्य सूपं **चणकसूतः** अस्ति	चणकसूपः चणकस्य कृतान्नम् अस्ति	चणकसूपः मुद्गकृतान्नम् अस्ति
1025	यवेषु केन संस्कारेण धाना उत्पद्यते?	भर्जनेन; भृष्ट्या		मर्दनम्	निष्पक्वनेन	धान्येषु तण्डुलानां संस्कारेण धाना उत्पद्यते	तण्डुलौषधसंस्कारेण	"भर्जनेन

यवानां भर्जनसंस्कारेण (अग्नौ भर्जनेन वा शोषणेन) धाना उत्पद्यते भर्"	यवेषु नास्यां संस्कारेण धाना उत्पद्यते	यवेषु तु आयुर्वेदविधानेन संस्कारेणानेन धाना उत्पद्यते तस्म	माषेण	यवेषु धानोत्पादनार्थं शुष्क-शालि-संस्कारः क्रियते	यवेषु पानेन धाना उत्पद्यते
1026	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम्; आर्द्रभर्जनेन	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	शुष्कभर्जनम्	शुष्कभर्जनम्	आर्द्रभर्जनम्	स्वेदनम्  स्वेदनेन चणकः सुपाच्यः भवति	आर्द्रभर्जनम्	चणकः आर्द्रभर्जनम् संस्कारेण बल्यः भवति	चणकः बल्यः भवति आर्द्रभर्जनेन आर्द्रभर्जनं तु संस्काराणां	शुष्कभर्जनम्	आर्द्रभर्जनम्	आर्द्रभर्जनम्
1027	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् + वेल्लनम्	पाचनम् / वेल्लनम् / चिपिटीकरणम्	चिपिटीकरणम्	पाचनम्	पाचनम्	पाचनम्, वेल्लनम्, चिपिटीकरणम् च	पोलिकायाः उत्पत्तौ सर्वे त्रयः संस्काराः आवश्यकाः - पाचनम्, वेल्लनम्, चिपिटी	"पोलिकायाः उत्पत्तौ ""पाचनम्"" संस्कारः अस्ति"	पोलिका उत्पन्ना भग्राहि द्वारम् उद्दिश्य रक्तस्य अधराद् गर्भिण	पाचनम्	पोलिकायाः उत्पत्तौ पाचनम् संस्कारः अस्ति	पोलिकायाः उत्पत्तौ पाचनम्, वेल्लनम्, चिपिटीकरणम् इत्येते संस्काराः भवन्ति
1028	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तक्र-मज्जन-संस्कारः; तक्रमज्जनसंस्कारेण	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	तक्र-मज्जन-संस्कारः	घृत-तलन-संस्कारः	तक्र-मज्जन-संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति	"**घृत-तलन-संस्कारः**  

घृतेन तलनात् मुद्गवटकाः लघवः सुपाच्याः च भवन्ति, येन त्रिदोषाणां शमनं भवति"	घृत-तलन-संस्कारः	वटकीकरण-संस्कारः	तक्र-मज्जन-संस्कारः त्रिदोषशामकः भवन्ति तक्रं तु मज्जनं च द	वटकीकरण-संस्कारः	घृत-तलन-संस्कारः	तलन-संस्कारः
1029	पोलिकायाः अनुपानं किम् ? 	लप्सिका	लप्सिका / घृतम् / दुग्धम् / शर्करा	दुग्धम्	दुग्धम्	दुग्धम्	**दुग्धम्**	शर्करा	पोलिकायाः अनुपानं दुग्धम्	पोलिकायाः अनुपानं दुग्धं अस्ति अतः दुग्धं अनुपानं भविष्यति	शर्करा	लप्सिका	दुग्धम्
1030	अलीकमत्स्यस्य अनुखादनं किम् ? 	वृन्ताक-भटित्र ; वास्तुक-शाक; वास्तुकं वृन्ताकभटित्रं च; वास्तुकः वृन्ताकभटित्रम्		अस्वास्थ्यकरम्	विषम्	अलीकमत्स्यस्य अनुखादनं नास्ति	हिताय	"अलीकमत्स्यस्य अनुखादनम् अरोचकम्

अलीकमत्स्यः अर्थात् कृत्रिममत्स्यः आयु"	अलीकमत्स्यस्य अनुखादनं “मृदु” इति वाच्यं	अलीकमत्स्यस्य अनुखादनं एकः विशेषणः आहारः अस्ति अलीकमत्स	न	अलीकमत्स्यस्य अनुखादनं विषम्	अलीकमत्स्यस्य अनुखादनं किम् ? - अनुखादनं कृत्वा त्यजेत्
1031	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चाद्देशे; पश्चात्देशः	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	मध्यदेशः	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः	महागोधूमस्य उत्पत्तिः उत्तरदेशः अस्ति	महागोधूमस्य उत्पत्तिः पश्चात्-देशे अस्ति	उत्तरदेशः	उत्तरदेशः	उत्तरदेशः
1032	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?	मधूली; मधूल्याः		न	मध्यदेशः	मध्यदेशः इति उत्पत्तिस्थानम् ट्रिटिकम् एस्टिवम् इति गोधूमस्य	नहि	क्षमस्व, मम ज्ञाने अयं विषयः नास्ति आयुर्वेदे विशिष्टस्य गोधूमस्य उत्पत्ति	मध्यदेशः इति गोधूमस्य उत्पत्तिस्थानम् अस्ति	"मध्यदेशः शब्दस्य उत्पत्तिस्थानं संस्कृतभाषायाम् नास्ति ""म"	शर्की	मध्यदेशः इति उत्पत्तिस्थानं गोधूमस्य	मध्यदेशः इति उत्पत्तिस्थानम् गोधूमस्य
1033	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	ग्रीष्मः	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	ग्रीष्मः	वर्षा	ग्रीष्मः	"ग्रीष्मः   

**कथम्?** चणकसक्तु शीतवीर्यत्वात् ग्रीष्मे उपयोगाय श्रेष्ठम्"	हेमन्तः	चणकसक्तूनां अभ्यवहरणकालः वसन्तः अस्ति	चणकसक्तूनाम् अभ्यवहरणकालः वर्षा इति	"चणकसक्तूनाम् अभ्यवहरणकालः **हेमन्तः** ऋतुः 
हेमन्त ऋतु शरीरस्य गरिमां वर्धयति, वातं शामयति अग्निं च प्रदीपयति, सत"	चणकसक्तूनाम् अभ्यवहरणकालः वर्षा	वर्षा
1034	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा ; भुक्त	निशा / प्रातः / भुक्त / मध्याह्ने	निशा	प्रातः	निशा	"**मध्याह्ने**

मध्याह्ने सक्तूनाम् अभ्यवहरणं न हितकरम्"	"भुक्त

सक्तूनां सामान्यतया प्रातः, मध्याह्ने वा निशायाम् अभ्यवहरणं क्रियते भोजनान"	भुक्त	सक्तूनाम् अभ्यवहरणकालः मध्याह्ने अस्ति	प्रातः	निशा	अधोलिखितेषु सक्तूनाम् अभ्यवहरणकालः न अस्ति मध्याह्ने
1035	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	धान्यस्य अंकुरान् चरतां पक्षिणाम्	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	धान्यस्य अंकुरान् चरतां पक्षिणाम्	विष्किरपक्षिणाम्	जले निवसतां पक्षिणाम्	"**जले निवसतां पक्षिणाम्** - **हंसस्य**  
कारणम् - तस्य मांस शीतवीर्यम् लघु च 

**धान्यस्य अंकुरान् चरतां पक्षिणाम्** -  **"	"धान्यस्य अंकुरान् चरतां पक्षिणाम्

कारणम् - धान्याङ्कुरचारिणः पक्षिणः सात्त्विक"	"जले निवसतां पक्षिणां लघुतमं मांसं ""धान्यस्य अंकुरान् चरतां पक्षिणाम्"" इति पक्षिणां स्यात् एते पक्षिणः सामान्यतः हलका मांसं धारयन्ति"	पक्षिणां मांसं लघुतमं स्यात् जले निवसताम् धान्यस्य अंकुराणि चरत	जले निवसतां पक्षिणां मांसं लघुतमं स्यात्	जले निवसतां पक्षिणाम्	विष्किरपक्षिणाम्
1036	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् + अल्पवर्चस्; १+२	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	बद्धवर्चस्	विरेचन	वर्चसि शाल्याः बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	"**बद्धवर्चस्** 

शाल्यं रुक्षं शीतं च, तस्मात् बद्धवर्चस्त्वं करोति"	अल्पवर्चस्	वर्चसि शाल्याः कर्म विरेचनम् अस्ति	वर्चसि शाल्याः विरेचनं कर्म	"अल्पवर्चस् 

वर्चस् का अर्थ है पाचक अग्नि जब पाचक अग्नि कमजोर हो, तो उसे अल्पवर्चस् कहा जाता है"	बद्धवर्चस्	विरेचन
1037	गोधूमस्य कानि कर्माणि दृश्यन्ते 	सर्वाणि	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि	सन्धानम्	गोधूमस्य कर्माणि सन्धानम्, जीवनम्, बृंहणम् इति त्रीणि कर्माणि दृश्यन्ते	"**सर्वाणि**  

**यतः** गोधूमः सन्धानकारकः, जीवनीयः,  बृंहणश्च भवति"	सर्वाणि	गोधूमस्य सर्वाणि कर्माणि दृश्यन्ते	गोधूमस्य सन्धानम्, जीवनं, बृंहणं च दृश्यन्ते गोधूमस्य	सर्वाणि	सर्वाणि	गोधूमस्य कर्माणि बृंहणम्
1038	शिम्बिधान्येषु किं स्तन्यकरम् अस्ति? 	निष्पाव + माष; १+३	 निष्पाव / मुद्ग / माष / १+३	निष्पाव	मुद्ग	माष	"**माषः**

**कथम्?**  माषेषु एव स्तन्यवर्धकगुणाः प्रसिद्धाः सन्ति"	"माष

माषः स्तन्यकरः मन्यते आयुर्वेदे माषः प्रोटीन-समृद्धः, स्निग्धः, गुरुः च भ"	मुद्गः स्तन्यकरः अस्ति	स्तन्यकरं माषम् अस्ति अत्र माष शिम्बिधाने स्तन्यकरं वायुविद्धं अस	निष्पावः	मुद्गः	माष
