sentence	gold	id
तदा वेपन्त्याः सा सीतया तस्याः दीर्घ विपुला कम्पिनी वेणी परिसर्पती व्याली इव ददृशे	O O O B-HUMAN O O O O O O O O O	68
दुःखार्ता शोक उपहत चेतना आर्ता सा मैथिली निःश्वसन्ती अश्रूणि व्यसृजद् विललाप ह	O O O O O O B-HUMAN O O O O O	69
भाविनि दुःख आर्ता हा रामैः इति पुनर् हा लक्ष्मणैः इति च हा मम श्वश्रु कौसल्ये च हा सुमित्रा इति	B-HUMAN O O O B-HUMAN O O O B-HUMAN O O O O O B-HUMAN O O B-HUMAN O	70
पण्डितैः ऽयं लोकप्रवादः सत्यो समुदाहृतः स्त्रिया वा पुरुषस्य वा अकाले मृत्युः दुर्लभो	B-HUMAN O O O O B-HUMAN O B-HUMAN O O O O	71
यत्र अहम् क्रूराभी राक्षसीभिर् अर्दिता रामेण आभिः हीना दुःखिता इह मुहूर्तम् अपि जीवामि	O O O B-RAKSHASA O B-HUMAN O O O O O O O	72
अल्प पुण्या कृपणा एषा समुद्रमध्ये वायु वेगैः आहता पूर्णा नौः इव अनाथ वत् विनशिष्यामि	O O O O B-SEA O O O O O O O O O	73
राक्षसीवशम् आगता भर्तारं तम् अपश्यन्ती तोय हतम् कूलं यथा शोकेन सीदामि खलु	O O O O O O O B-RIVERBANK O O O O	74
पद्मदलपत्राक्षं सिंहविक्रान्तगामिनम् कृतज्ञं प्रियवादिनम् मे नाथं पश्यन्ति तं धन्याः	O O O O O B-HUMAN O O O	75
तीक्ष्णं विषम् आस्वाद्य इव विदितात्मना तेन रामेण हीनाया मम जीवितम् सर्वथा दुर्लभं	O O O O O O B-HUMAN O O O O O	76
राक्षसीभिः रक्षन्त्या मया रामो न आसाद्यते महता शोकेन वृता च जीवितं त्यक्तुम् इच्छामि	B-RAKSHASA O O B-HUMAN O O O O O O O O O	77
मानुष्यं धिक् अस्तु खलु परवश्यताम् धिक् धिग् यत् आत्मच्छन्देन जीवितम् परित्यक्तुम् न शक्यं प्रसक्त अश्रु मुखा बाला जनकात्मजा एवम् ब्रुवन्ती इति अधोमुखमुखी विलप्तुम् उपचक्रमे	B-HUMAN O O O O O O O O O O O O O O O O B-HUMAN O O O O O O	78
उन्मत्ता इव प्रमत्ता इव भ्रान्त चित्ता इव शोचती महीतले उपावृत्ता किशोरी इव विवेष्टन्ती	O O O O O O O O O O B-HUMAN O O	79
राघवस्य प्रमत्तस्य कामरूपिणा रक्षसा प्रमथ्य रावणेन बलात् क्रोशती अहम् आनीता	B-HUMAN O O B-RAKSHASA O B-ASURA O O O O	80
राक्षसी वशम् आपन्ना सुदारुणम् भर्त्स्यमाना चिन्तयन्ती सु दुःख आर्ता अहम् जीवितुम् न उत्सहे	B-RAKSHASA O O O O O O O O O O O O	81
महारथम् रामं विना राक्षसी मध्ये वसन्त्या मे जीवितेन अर्थः हि न अर्थैः एव न भूषणैः च न	O B-HUMAN O B-RAKSHASA O O O O O O O O O O B-ORNAMENT O O	82
असतीं अनार्याम् माम् धिक् अपि या अहम् तेन विना कृता पापजीविता मुहूर्तम् जीवितं रक्षामि	O O O O O O O O O O O B-MUHURTA O O	83
सागरान्ताया वसुधायाः भर्तारं प्रियंवदम् तं प्रियं च विना मे जीविते सुखे वा श्रद्धा का	B-SEA B-GRAHA O O O O O O O O O O O O	84
विगर्हितम् निशाचरम् रावणं अहं सव्येन चरणेन अपि न स्पृशेयं कामयेयं किं पुनर्	O B-RAKSHASA B-RAKSHASA O O O O O O O O O	85
यो नृशंसस्वभावेन मां प्रार्थयितुम् इच्छति प्रत्याख्यातं न जानाति आत्मानम् न आत्मनः कुलम् न	O O O O O O O O O O O B-KULA O	86
छिन्ना भिन्ना विभक्ता वा दीप्ते अग्नौ प्रदीपिता वा रावणं न उपतिष्ठेयम् चिरम् प्रलापेन वः किं	O O O O O B-ASTRA O O B-ASURA O O O O O O	87
राघवः प्राज्ञः कृतज्ञः सानुक्रोशश्च सद्वृत्तो ख्यातः च	B-HUMAN O O O O O O	88
जनस्थाने येन एकेन चतुर्दश सहस्राणि राक्षसानां निरस्तानि स मां किं न अभिपद्यते	B-FOREST O O O O B-RAKSHASA O O O O O O	89
अल्पवीर्येण रावणेन रक्षसा अहम् निरुद्धा	O B-ASURA O O O	90
मे भर्ता आहवे रावणं हन्तुम् समर्थः खलु	O O O B-ASURA O O O	91
येन रामेण दण्डकारण्ये राक्षसपुंगवः विराधो रणे निहतः स मां किं न अभिपद्यते	O B-HUMAN B-FOREST O B-RAKSHASA O O O O O O O	92
इयम् लङ्का समुद्रस्य मध्ये दुष्प्रधर्षणा कामं तु राघव बाणानाम् गतिरोधी न विद्यते ह	O B-CITY B-SEA O O O O B-HUMAN O O O O O	93
तत् कारणं किं नु येन दृढपराक्रमः रामो रक्षसा अपहृताम् इष्टां भार्याम् न अभ्यवपद्यते	O O O O O O B-HUMAN B-RAKSHASA O O O O O	94
लक्ष्मणपूर्वजः तेजस्वी मां इहस्थां न जानीते शङ्के हि जानन्न् अपि धर्षणां मर्षयिष्यति	B-HUMAN O O O O O O O O O O O	95
यो ऽधिगत्वा मां रावणेन हृता इति राघवाय निवेदयेत् स गृध्रराजो ऽपि रणे निपातितः	O O O B-ASURA O O B-HUMAN O O B-GRIDHRA O O O	96
तेन जटायुषा वृद्धेन अपि मां अभ्यवपद्यता रावण द्वंद्वे तिष्ठता तदा महत् कर्म कृतं	O B-GRIDHRA O O O O B-ASURA O O O O O O	97
यदि स राघवः माम् इह वर्तमानां जानीयाद् अद्य अभिक्रुद्धः बाणैर् लोकम् अराक्षसम् कुर्याल्	O O B-HUMAN O O O O O O B-ARROW O O O	98
लङ्कां पुरीं विधमेत् च महोदधिम् शोषयेत् च नीचस्य रावणस्य नाम च कीर्तिं च नाशयेत्	B-KINGDOM B-CITY O O B-SEA O O O B-ASURA O O O O O	99
ततो यथा एवं अहम् रुदती तथा गृहे गृहे निहतनाथानां राक्षसीनां भूयो न संशयः	O O O O O O B-HOUSE B-HOUSE O B-RAKSHASA O O O	100
सलक्ष्मणः रामः लङ्कां अन्विष्य रक्षसां कुर्याद्	B-HUMAN B-HUMAN B-KINGDOM O B-RAKSHASA O	101
ताभ्यां दृष्टो रिपुर् मुहूर्तम् अपि न जीवति हि	O O O B-MUHURTA O O O O	102
अचिरेण इयम् लङ्का चिता धूम आकुल पथा तु गृध्र मण्डल संकुला श्मशान सदृशा भवेत् तु लङ्कायाम् यादृशानि अशुभानि दृश्यन्ते तु अचिरेण कालेन एव हतप्रभा भविष्यति	O O B-KINGDOM O O O B-ROAD O B-GRIDHRA O O O O O O B-KINGDOM O O O O O O O O O	103
पापे राक्षसाधिपे रावणे हते दुर्धर्षा लङ्का नूनं विधवा प्रमदा यथा शोषं यास्यति	O B-RAKSHASA B-ASURA O O B-KINGDOM O O O O O O	104
पुण्य उत्सव समृद्धा नष्टभर्त्री लङ्का पुरी च नष्टभर्त्री अङ्गना यथा नष्टभर्त्री भविष्यति	O B-FESTIVAL O B-RAKSHASA B-KINGDOM B-CITY O O O O O O	105
इह नूनं नचिराद् एव गृहे गृहे दुःखार्तानाम् रुदन्तीनां राक्षसकन्यानां ध्वनिम् श्रोष्यामि	O O O O B-HOUSE B-HOUSE O O O O O	106
लङ्का पुरी राम सायकैः निर्दग्धा हतद्योता सान्धकारा हतराक्षसपुंगवा भविष्यति	B-KINGDOM B-CITY B-HUMAN B-ARROW O O O O O	107
यदि शूरो रक्तान्तलोचनः नाम स रामो मां रावणस्य निवेशने वर्तमानां हि जानीयाद्	O O O O O O O B-ASURA B-PALACE O O O	108
अनेन नृशंसेन अधमेन रावणेन यः समयो मे निर्दिष्टः तु तस्य कालो ऽयम् तु आगतः	O O O B-ASURA O O O O O O O O O O	109
ये पापकारिणः नैरृताः अकार्यं न जानन्ति	O O B-RAKSHASA O O O	110
पिशिताशनाः एते राक्षसाः धर्मं न विजानन्ति	O O B-RAKSHASA O O O	111
राक्षसः ध्रुवं प्रातराशार्थे मां कल्पयिष्यति	B-RAKSHASA O O O O	112
रक्तान्तनयनम् प्रियदर्शनम् तं रामं विना अपश्यन्ती सुदुःखिता सा अहम् कथं करिष्यामि	O O O B-HUMAN O O O O O O O	113
यदि अद्य कश्चित् मे विषस्य प्रदाता इह भवेद् पतिना विना क्षिप्रं वैवस्वतं देवं पश्येयं	O O O O O O O O O O O O B-DEVA O	114
लक्ष्मणपूर्वजः स रामः मां जीवतीम् न अजानात्	B-HUMAN O B-HUMAN O O O O	115
तौ जानन्तौ हि उर्व्याम् मम मार्गणम् न कुर्यातां न	O O O B-GRAHA O O O O O	116
नूनं लक्ष्मण अग्रजः स वीरो मम शोकेन एव महीतले देहं त्यक्त्वा इतो देवलोकम् यातः	O B-HUMAN B-HUMAN O O O O O O O O O B-SWARGA O	117
देवाः सगन्धर्वाः सिद्धाः च परम ऋषयः धन्या ये मम नाथं राजीवलोचनम् रामं पश्यन्ति	B-DEVA B-GANDHARVA O O O O O O O O O B-HUMAN O	118
अथवा धर्मकामस्य धीमतः राजर्षेर् परमात्मनः तस्य रामस्य भार्यया मया अर्थे न हि	O O O B-HUMAN B-DEVA O B-HUMAN O O O O O	119
कृतघ्नाः नाशयन्ति तु रामो न नाशयिष्यति	O O O B-HUMAN O O	120
मे केचित् गुणाः न किं वा मे भाग्यक्षयो हि किं नु या अहम् भामिनी सीता रामेण हीना वरार्हेण	O O O O O O O O O O O O O O B-HUMAN B-HUMAN O O	121
महात्मना अक्लिष्ट चारित्रात् शूरात् शत्रु निबर्हणात् या रामाद् विहीना मे जीवितात् मर्तुम् श्रेयो	O O O O O O O B-HUMAN O O O O O	122
अथवा नरश्रेष्ठौ तौ भ्रातरौ चरन्तौ वने मूल फल अशनौ वनगोचरौ न्यस्त शस्त्रौ हि	O O O O O B-FOREST O B-FRUIT O O O B-ASTRA O	123
अथवा दुरात्मना राक्षसेन्द्रेण रावणेन छद्मना शूरौ भ्रातरौ रामलक्ष्मणौ घातितौ	O O O B-ASURA O O O B-HUMAN O	124
प्रियात् दुःखम् अप्रियाद् अधिकं भयम् न सम्भवेद् ये ताभ्यां हि वियुज्यन्ते तेषाम् महात्मनाम् नमः	O O O O O O O O O O O O B-HUMAN O	125
सा अहम् प्रियेण विदितात्मना रामेण त्यक्ता पापस्य रावणस्य वशम् गता इह प्राणान् त्यक्ष्यामि सीतया इति उक्ताः घोरं राक्षस्यः क्रोधमूर्छिताः काश्चिज् तत् तरस्विनः रावणस्य आख्यातुं जग्मुः	O O O O B-HUMAN O O B-ASURA O O O O O B-HUMAN O O O B-RAKSHASA O O O O B-ASURA O O	126
ततः घोरदर्शनाः राक्षस्यो सीताम् उपागम्य पुनः अनर्थ अर्थम् एकार्थम् परुषम् अथ अब्रुवन्	O O B-RAKSHASA B-HUMAN O O O O O O O O	127
अनार्ये पापविनिश्चये सीते इदानीम् राक्षस्यो तव हन्त एतद् मांसम् यथासुखम् भक्षयिष्यन्ति	O O B-HUMAN O B-RAKSHASA O O O O O O	128
अनार्याभिर् ताभिर् संतर्जितां सीतां दृष्ट्वा तदा शयाना वृद्धा राक्षसी त्रिजटा वाक्यम् अब्रवीत्	B-RAKSHASA O O B-HUMAN O O O O B-RAKSHASA B-RAKSHASA O O	129
अनार्याः आत्मानं खादत	B-RAKSHASA O O	130
जनकस्य सुताम् च दशरथस्य इष्टां स्नुषां सीतां न भक्षयिष्यथ	B-HUMAN B-HUMAN O B-HUMAN O B-HUMAN B-HUMAN O O	131
अद्य मया दारुणो रोमहर्षणः स्वप्नो दृष्टो हि राक्षसानाम् अभावाय अस्या भर्तुर् भवाय च	O O O O O O O B-RAKSHASA O O O O O	132
त्रिजटया एवम् उक्ताः क्रोधमूर्छिताः राक्षस्यः सर्वा एव भीताः ताम् त्रिजटाम् इदं वचः अब्रुवन्	B-RAKSHASA O O O B-RAKSHASA O O O O B-RAKSHASA O O O	133
त्रिजटा तासां राक्षसीनां मुखोद्गतम् वचनं श्रुत्वा तु काले स्वप्न संश्रितम् वचनं उवाच	B-RAKSHASA O B-RAKSHASA O O O O O O O O O	134
राघवः अन्तरिक्षगाम् गजदन्तमयीं सहस्रेण वाजि युक्तां दिव्यां शिबिकाम् स्वयम् आस्थाय	B-HUMAN O O O O O O B-RATHA O O	135
अद्य स्वप्ने मया सीता शुक्लाम्बरावृता सागरेण परिक्षिप्तं श्वेतपर्वतम् आस्थिता च भास्करेण प्रभा यथा सीता रामेण संगता दृष्टा	O O O B-HUMAN O B-SEA O B-MOUNTAIN O O O O O B-HUMAN B-HUMAN O O	136
राघवः सहलक्ष्मणः चतुर् दन्तम् शैलसंकाशं महागजम् आरूढः चचार च मया दृष्टः	B-HUMAN B-HUMAN O O B-MOUNTAIN O O O O O O	137
ततस् शुक्लमाल्याम्बरधरौ नरशार्दूलौ स्वतेजसा दीप्यमानौ तौ जानकीं पर्युपस्थितौ	O O O O O O B-HUMAN O	138
ततस् जानकी तस्य नगस्य अग्रे भर्त्रा परिगृहीतस्य आकाशस्थस्य दन्तिनः स्कन्धम् आश्रिता	O B-HUMAN O B-MOUNTAIN O O O O O O O	139
