ID	QUESTION	ANSWER	CHOICES
124	सः कः राक्षसः यः राम-लक्ष्मणयोः अपहरणं कृत्वा तौ पातालं नीतवान्?	अहिरावणः	
125	सः कः पर्वतः यः षष्टिसहस्राणां पर्वतानां मध्ये स्थितः आसीत्?	मेरुपर्वतः	
126	सः कः राक्षसः, यः श्रीरामं लक्ष्मणं च गर्ते निक्षिप्तवान्?	विराधः	
127	सः कः राक्षसः यः यमेन सह युद्धं कृतवान्?	रावणः	
128	मकरध्वजः कस्य जन्तोः गर्भात् जातः?	मत्स्यः	
129	सः कः वानरयूथपतिः यः मृत्योः पुत्रः आसीत्?	सुमुखः	
130	अयोध्यायाः सः कः राजकुमारः यः नगरस्य बालकान् गृहित्वा सरयूनद्याः जले क्षिपति स्म?	असमञ्जः	
131	सः मनुष्यः कः आसीत्, यः राजा अम्बरीषस्य यज्ञपशुत्वं स्वीकृतवान् आसीत् ?	शुनःशेपः	
132	अयोध्यायाः सः प्रतापी राजा कः आसीत्, यस्य पुत्राः संपूर्णां पृथिवीं भिन्नवन्तः ?	सगरः	
133	राजा सगरस्य यज्ञाश्वस्य अपहरणं का देवता अकरोत्?	इन्द्रः	
134	अधस्तनेषु सः कः आसीत्, यः शिरः अधः कृत्वा तपस्याम् अकरोत् ?	शम्बूकः	 त्रिशंकुः / मेघनादः / शंबूकः / शुनःशेपः
135	विष्णु: कस्याः स्त्रिया: शिरः छिन्नवान् ?	भृगुपत्न्याः	
136	कः वानरयोद्धा प्रतपनः इव वीर-राक्षसस्य अक्षिणी उत्खातवान्?	नलः	
137	स राक्षसः कः आसीत्, यः जन्मतः सहस्त्राणां जनानां भक्षणं कृतवान् ?	कुम्भकर्णः	
138	स कः आसीत् यः षोडशसहस्रं नारीणां बन्धनम् अकरोत् तथा लक्षेण नारीभिः एककालं विवाहं कर्तुम् ऐच्छत्?	दुन्दुभिः	
139	सः देवता कः आसीत्, यः रावणस्य भयेन काकः अभवत् ?	यमः	
140	लङ्कायाः सा राक्षसी का आसीत्, या कदापि मिथ्या भाषणं न कृतवती ?	त्रिजटा	
141	कः तद्वानरवीरः यः  रावणराज्यसभायां पादं संस्थाप्य स्थितः पुनः तमुन्नेतुं समाहूतवान् ?	अङ्गदः	
142	राज्ञा जनकेन क्षेत्रे हलकर्षणात् कः उत्पन्नः अभवत् ?	सीता	
143	यः दशसहस्रेण महारथिभिः सह एकः एव युद्धं कर्तुं समर्थः, सः केन नाम्ना अभिधीयते ?	अतिरथी	
144	कः स राजा यः स्वस्य पुत्राय स्वकीयं वृद्धत्वं दत्त्वा तस्य यौवनं स्वीकृतवान् ?	ययातिः	
145	महर्षेः वाल्मीकेः नाम 'वाल्मीकिः' किमर्थं जातम्?	तपश्चर्या काले वल्मीकैः आच्छादनात्; वाल्मीकसञ्ज्ञा तस्य वल्मीकात् उत्पत्तेः कारणात् जाता; वल्मीकात्; वल्मीकसञ्चयात्  वल्मीकस्य समीपे तपश्चरन्तौ  तस्मिन्  एव  निवासः  आसीत्	
146	मेघनादस्य अन्यं नाम 'इंद्रजित्' किमर्थम् आसीत्?	मेघनादेन इन्द्रः पराजितः आसीत् अतः तस्य नाम इंद्रजित् अभवत्; इन्द्रविजयः; इन्द्रं जित्वा; शक्रविजयात्; इन्द्रविजयात्; इंद्रजित् मेघनादस्य अपरं नाम आसीत् मेघनादः शक्रं जितवान् आसीत् अतः तस्य अपरं नाम इंद्रजित् इति अभवत्; इन्द्रपराजयात्	
147	सीतामाता 'जानकी' इति किमर्थं अभिधीयते?	जनकस्य पुत्री अतः; सीतामाता जानकी इति अभिधीयते यतः सा जनकस्य पुत्री आसीत् जनकराजः विदेहदेशस्य राजा; जनकपुत्रीत्वात्; सीतामाता जानकी इति अभिधीयते यतः सा जनकराजस्य पुत्री आसीत् जनकराजः विदेहदेशस्य; जनकस्य सुता इति जानकी; मिथिलायाः राजा जनकः सीतामातुः पिता आसीत् अतः सीतामाता जानकी इति अभिधीयते; जनकस्य कन्येति; जनकस्य पुत्री यस्मात्; जनकदुहितृत्वात् जानकी; जनकस्य पुत्रीत्वात्; जनकस्य पुत्री इति; जनकपुत्री इति	
148	महर्षेः परशुरामस्य नाम 'परशुरामः' इति किमर्थं जातम्?	परशुुधारणात्; महर्षेः परशुरामस्य नाम परशुरामः इति जातं यतः सः परशुं कुठारम् आयुधरूपेण धारयति स्म; परशुरामः परशुधारणात्; परशुधरत्वात्; परशुधरणार्थम्	
149	सरयूनद्याः नाम 'सरयू' इति किमर्थंजातम्?	मानससरसः निर्गमनात्	
150	प्रसिद्धगजराजस्य नाम 'ऐरावतः' इति किमर्थं जातम्?	इरावत्याः पुत्रत्वेन	
151	महर्षिः परशुरामः 'भार्गवः' कुतः उच्यते ?	भृगुवंशोत्पन्नः अतः; भार्गवः परशुरामः भृगुवंशस्य सन्तत्या उच्यते; भृगुकुलोद्भवः   भृगुवंशे जन्मना भार्गवः; भृगुवंशीयत्वात्; भृगोः वंशे जातः इति कारणात्; भृगुवंशात्; भृगुवंशजत्वात्; भृगुवंशात्  भृगुवंशसम्भवत्वात् भार्गवः	
152	राजा सगरेण 'सगरः' इति नाम कुतः प्राप्तम् ?	गरेण(विषेण) सह जन्म प्राप्नोत् अतः;  सह तेन गरेणैव जातः स सगरोऽभवत्; सगरस्य माता गरेण सह तेनैव जातः स सगरोऽभवत्	
153	इन्द्रः 'देवराजः' कुतः उच्यते?	देवतानां राजा अतः; देवानाम् राजा अस्ति इति कारणात्; सर्वदेवानाम् अधिपतिः इति कारणात्; त्रिषु लोकेषु देवानाम् अधिपतित्वात्; देवानाम् इन्द्रत्वात्; देवानां राजा इति; देवानाम् इन्द्रः राजा अस्ति तेन सः देवराजः इति उच्यते; सर्वेषां देवानां राजत्वात्; देवानामिन्द्रत्वात्; इन्द्रः देवानाम् अधिपतिः अस्ति अतः सः देवराजः इति उच्यते; देवानां राजा इति कारणात्	
154	शिवस्य एकं नाम 'नीलकण्ठः' कुतः आसीत्?	हलाहलविषं पीत्वा कण्ठः नीलः जातः अतः; समुद्रमन्थने निर्गतं हलाहलं शिवः पीतवान् तदा तस्य कण्ठः नीलवर्णः अभवत् अतः शिवस्य एकं नाम नीलकण्ठः इति; समुद्रमन्थनसमये उद्भूते हलाहले नीलवर्णीयं विषं पीत्वा तेन नीलवर्णः कण्ठः अभवत्	
155	राक्षसाः 'यातुधानाः' कुतः उच्यन्ते ?	तेषां यातुविद्या आसीत् अतः;यातु नामकम् मायाविद्याम् इतोऽभ्यस्यन्ति स्म	
156	राक्षसाः 'निशाचराः' कुतः उच्यन्ते?	निशाकाले विचरणात्; रात्रिचरत्वात्; रात्रौ चरन्ति इति निशाचराः; रात्रौ चरन्तीति निशाचराः; रात्रिचारित्वात्; राक्षसाः रात्रौ चरन्ति अतः ते निशाचराः उच्यन्ते; रात्रौचरणात्; निशायां चरन्तीति; निशायां चरन्ति इति निशाचराः; निशि चरन्ति इति	
157	राक्षसाः 'राक्षसाः' इति कुतः उच्यन्ते?	ब्रह्मणा सृष्टस् जलस्य रक्षणात्	
158	भरतस्य मातुः कैकेयी इति नाम कुतः प्राप्तम्?	केकयदेशस्य राजकुमारी अतः; केकयराजवंशात्  केकयराजवंशस्य कन्या आसीत् कैकेयी; केकयदेशाधिपतेः अश्वपतेः पुत्री कैकेयी; केकयराजवंशात्; कैकेयी इति नाम तस्याः पितुः राज्यस्य नाम्नः प्राप्तम् सा केकयदेशस्य राजकन्या आसीत्; कैकेयी इति नाम केकयदेशाधिपतेः पुत्री इति कारणात् प्राप्तम्; केकयराजपुत्री; केकयदेशाधिपतेः अश्वपतेः पुत्री सा कैकेयी अभवत्; कैकयराजपुत्रीत्वात्; केकयदेशाधिपतेः अश्वपतेः पुत्री सा कैकेयी इति कथ्यते	
159	मेघनादः इति नाम कुतः प्राप्तम्?	मेघसदृशगर्जनात्; मेघनादः इति नाम कुतः प्राप्तम् मेघनादः इति नाम रावणपुत्रः मेघनादः स्वस्य शक्तिशाली गर्जनात् प्राप्तम्; गर्जनात्; मेघनादः इति नाम प्राप्तम् यतः तस्य गर्जनं मेघस्य गर्जनवत् आसीत् इन्द्रजित् इति न; रुदनात्	
160	सीता 'सीता' कुतः उच्यते?	क्षेत्रं शोधयता लब्धा अतः; जनकस्य क्षेत्रे प्राप्ता इति सीता; जनकस्य क्षेत्रे प्राप्तेः; सीता सीता कुतः उच्यते; सीता सीता इति उच्यते यतः सा जनकेन हलमुखेन कृष्टायां भूमौ लब्धा अतः सा सीता इति; सीता सीता इति उच्यते यतः सा जनकेन हलमुखेन कृष्टायां भूमौ लब्धा अतः सा सीता इति ना; सीता सीता इति उच्यते यतः सा जनकेन हलमुखेन कृष्ट्वा भूमेः उद्धृता सीता शब्दस्य; सीता सीता इति उच्यते यतः सा जनकराजेन सीतासमानस्थाने प्राप	
161	हनूमतः नाम 'हनुमान्' इति कथं जातम्?	इन्द्रस्य वज्रप्रहारेण अस्य हनुः आघातितः अतः विशिष्टः हनुः अस्य अस्ति अतः; हनोः आघातात्  बाल्ये वायुपुत्रः हनुमान् सूर्यं फलं मत्वा खादितुम् उदीतवान्  तदा इन्द्रेण वज्रेण हनू आहतः  अतः हनुमान; हनूमतः बाल्ये इन्द्रः हनुं प्रहृतवान् ततः हनुमान् इति नाम अभवत्; बाल्ये हनूमान् सूर्यं ग्रसितुं प्रयत्नं कृतवान् तदा इन्द्रः वज्रेण हनूमतः हनुं तोडितवान् तदारभ्य हनूमान्	
162	विश्वामित्रस्य एकं नाम 'कौशिकः' इति किमर्थम् आसीत्?	कुशस्य वंशे जातः अतः; कौशिकवंशः; कौशिकनाम कुशिकवंशोद्भवत्वात्; विश्वामित्रः कौशिकवंशे जातः आसीत् अतः तस्य एकं नाम कौशिकः आसीत्; कुशवंशजत्वात्; कुशिकवंशीयः; विश्वामित्रः कौशिकवंशे जातः इति; कुशिकवंशीयत्वात्; कुशिकवंशीयः इति	
163	कार्त्तिकेयस्य एकं नाम 'षण्मुखः' किमर्थं अस्ति?	कृत्तिकानां स्तन्यपानात् षट् मुखानि अभवन् अतः; षण्णां कृत्तिकानां स्तनजं पयः पीतवान्	
164	अतिकायं राक्षसं 'अतिकायः' इति किमर्थं कथयन्ति?	अत्यन्तं विशालं शरीरम् अस्ति अतः; महाकायत्वात्; अतिदीर्घदेहम्  अतिदीर्घं शरीरं यस्य सः अतिकायः ; अतिकायं राक्षसम् अतिकायः इति कथयन्ति यस्मात् तस्य शरीरम् अतीव विशालम् आसीत् ; अतिकायं राक्षसं अतिकायः इति कथयन्ति यतः सः महाकायः आसीत्; अतिकायं राक्षसं अतिकायः इति कथयन्ति यतः सः अत्यधिकं शरीरं धारयति स्म; अतिकायस्य नामानुरूपं तस्य शरीरं विशालम् आसीत् अतः एव तं अतिकायः इति कथयन्ति सन्; अतिकायत्वात्; अतिकायं राक्षसं अतिकायः इति कथयन्ति यतः तस्य शरीरं महाकायम् आसीत्	
165	गङ्गायाः एकं नाम 'भागीरथी' कथं जातम्?	भगीरथेन पृथिवीम् आनीता अतः; भागीरथः नाम राजा आसीत् सः गङ्गां स्वर्गात् आनीय भूमौ प्रवाहितवान् अतः तस्य नाम्ना गङ्गा भागीरथी इति कथ्यते; भगवता भगीरथेन आनीता इति भागीरथी; भगीरथस्य तपसा स्वर्गंगां भूतले आनयतः राज्ञः भागीरथस्य नाम्ना गङ्गा भागीरथी इति नाम्ना प्रसिद्धा जाता; भगीरथेन आनीता इति भागीरथी	
166	सहस्रार्जुनः 'कार्तवीर्यः' इति कथं उच्यते?	कृतवीर्यस्य पुत्रः आसीत् अतः; कृतवीर्यपुत्रत्वात्	
167	रामः 'दाशरथिः' इति कथं उच्यते?	दशरथस्य पुत्रः आसीत् अतः; रामः दाशरथिः इति उच्यते यतः सः दशरथस्य पुत्रः; दाशरथिः दशरथपुत्रत्वाद् उच्यते; दशरथपुत्रत्वात्; रामः दाशरथिः इति दशरथस्य पुत्रः इति; दशरथस्य पुत्रः इति हेतोः; दशरथपुत्रः; दशरथस्य पुत्रः; दशरथस्य पुत्रः इति कारणात्; दशरथस्य पुत्रः इति	
