sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
"""निर्धनानां कृते भोजनम्, भवतु तत् भोजन-सामग्री वा सञ्चार-रोधस्य अनुपालनम्, चिकित्सालयानां व्यवस्था भवतु वा, चिकित्सकीयानाम् उपकरणानां देशे एव निर्माणं स्याद्वा – सम्प्रति पूर्णोsपि देशः, एकमेव लक्ष्यम्, एकामेव दिशम्, संलक्ष्य युगपदेव अग्रेसरति।"""	"""From food for the underprivileged, arranging rations,  ensuring lockdown, arrangements in hospitals to manufacturing medical  equipments indigenously…the entire country is marching ahead together in  the same direction, towards a single common objective."""	15	"""A whole nation is presently moving forward in unison, with one aim and one direction – be it food for the poor, adherence to the lockdown, hospital management, or the domestic production of medical equipment."""	"""Whether it is food for the poor, following the lockdown, arrangements in hospitals or manufacture of medical equipment in the country – today the entire nation is moving towards one goal, in one direction and with one motivation."""	"The translated passage reads: 

""For the poor, let there be food, whether it be the provision of food supplies or adherence to transportation regulations, or the organization of hospitals, or the manufacturing of medical equipment within the country – currently, even fully developed nations, with a single goal and moving in a single direction, are"	"""मागास लोकांच्या भोजनाची व्यवस्था करावी, किंवा त्यांच्या संकटातून सुटका करण्यासाठी सार्वजनिक संचार रोखण्याची व्यवस्था"
"""भवतु नाम पुरं वा ग्रामः, एवं प्रतीयते - यथा देशे कश्चन बृहत्तमः महायज्ञः प्रवर्तते, यस्मै स्वीयं योगदानमर्पयितुं प्रत्येकमपि जनः समुत्साही दृश्यते।"""	"""From metropolises to villages, it comes across as a  ’Mahayagya’ being performed in the realm of our national ethos where  every individual is eager to contribute."""	16	"""Whether it is a city or a village, it appears that a great sacrifice is taking place in the country, to which every person seems eager to contribute."""	Whether it is a city or a village, it is clear that a huge yajna is taking place in the country, to which every person is eager to contribute their share.	"""Whether it is a city or a village, it is perceived in such a way - as a grand sacrifice is being conducted in the region, each person is eager to contribute their own share."""	"""तुमच्या नावाचा गाव किंवा शहर असो किंवा तुमच्या नावाचा देश असो तो कोणालाही वेगळा वाटत नाही. जसे की कोणत"
"""अस्मदीयान् कृषक भगिनी-भ्रातॄन् एव अवलोकयन्तु – एकतः ते, अस्यां महामार्यां निजक्षेत्रेषु अहर्निशं परिश्रमन्ते, युगपदेव एवमपि चिन्तयन्ति यत् देशे न कश्चन अपि क्षुधितः एव शयीत।"""	"""A case in point are our farmer  brothers and sisters – on the one hand , they are toiling day and night  amidst the scourge of the pandemic; on the other displaying due concern  to ensure that none in the country goes to bed hungry."""	17	"""Let them observe our farmers, sisters, and brothers – on one hand, they toil day and night in their fields during this great pandemic, and at the same time, they think that no one in the country should go to bed hungry."""	"""Look at our farmers, our sisters and brothers - on one hand, they work hard day and night in their fields, and on the other hand, they also worry that no one in the country should sleep hungry."""	"""Let our agricultural brothers and sisters observe - on one hand, they toil day and night in their fields during this great pandemic, and yet they simultaneously reflect that in this land, no one is left to sleep in hunger."""	"""माझ्या कृषक भगिनी-भावांना एकत्र येऊ द्या – ते हे महामार्या नेहमी आपल्या क्षेत्रात अघळून काम करत असतात, ते एक"
"""प्रत्येकमपि, स्वीय सामर्थ्यानुसारं, युद्धमिदं युध्यते।"""	"""Everyone is  putting up a fight, as per one’s capacity and ability."""	18	"""Everyone, according to their own capability, fights this battle."""	"""Each one fights this battle according to his own strength."""	"The translation of the given Sanskrit sentence is: 

""Each one fights this war according to their own abilities.""

Explanation: 
- ""प्रत्येकमपि"" means ""each one"".
- ""स्वीय"" means ""own"".
- ""सामर्थ्यानुसारं"" can be broken down into ""स"	"""Each one fights from the heart, from where they stand."""
"""कश्चन स्वीयं भाटकं नैवादत्ते, तर्हि कश्चन नैजं पूर्णमपि सेवानिवृत्ति वेतनम् आहोस्वित् पुरस्कार राशिमेव, PM CARES इति प्रधानमन्त्रिणः कोषाय ददाति।"""	There are some  who are waiving off rent; there are others depositing entire amounts  received through prizes and pension in PM CARES.	19	"""Nobody donates their own rent, so why would anyone donate their entire retirement salary or prize money to the Prime Minister's fund called PM CARES?"""	"""Some people are not paying their rent, while some are donating their entire retirement savings or rewards to the PM CARES fund."""	"""The individual does not receive their regular salary; however, they are given a sum as a reward, at least equivalent to their full retirement salary, from the PM CARES fund established by the Prime Minister."""	"""कोणी स्वतःचे भाटक नाही देतो, तर कोणी निर्वाचित झाल्यानंतरही पूर्ण वेतन आणि पुरस्कार राशी मिळत असतील तर, PM CARES"
"""कश्चन स्वीय क्षेत्रस्य सर्वमपि शाकादि जातं दानवृत्या ददाति, तर्हि अपरत्र कश्चन अपरः, प्रतिदिनं सहस्रशो निर्धनेभ्यः निःशुल्कं भोजनं परिवेषयति।"""	Some are donating  vegetables grown on farms; others are feeding a multitude of the under  privileged.	20	"""Someone donates all the vegetables grown in their field, while elsewhere, another person serves free meals to hundreds of poor people every day."""	A certain person gives away all the produce of his field, such as vegetables, in charity, while another person daily feeds thousands of the poor with sumptuous meals.	"""A certain person donates all kinds of vegetables and plants from his own field, meanwhile another person provides free meals to thousands of needy people every day."""	"""कोणी आपल्या क्षेत्रात सर्व शाकादी फळे देतो आणि त्याच्या पुढे कोणी दुसऱ्या ठिकाणी कोणी दुसऱ्या द"
"""कश्चन मुखाच्छादकानि निर्माति, कुत्रचिच्च अस्मदीयाः श्रमिकाः भगिनी-भ्रातरो यत्र विद्यालयीय भवनेषु quarantine इति सङ्ग रोधे निवसन्ति, तानि धातु-चूर्णैः लेपयन्ति रञ्जयन्ति च।"""	"""Some are making masks; at places, our construction workers  are whitewashing and painting schools meant for their quarantine stay."""	21	"""Someone manufactures masks, and somewhere our worker brothers and sisters, who are residing in school buildings under quarantine, coat and color them with metallic powder."""	Someone makes masks, and somewhere our worker brothers and sisters who live in quarantine in school buildings, paint them with metal powders.	"""Some people create face masks, where my brothers and sisters are residing in the school buildings under quarantine due to the pandemic; they are applying and coloring them with metal powders."""	"""काही लोक मुखाच्छादके बनवतात, काही लोक आपल्या कुटुंबातील मुले विद्यालयातील इमारतीत क्वारंटीनमध्ये राहतात त्यांना धात"
"""प्रत्युत कोटिभिः जनैः वात्यर्थ साहाय्यत्यागः भवेत्, लक्षैः वरिष्ठनागरिकैः रेलयात्रार्थ-साहाय्यत्यागो वा, स्वच्छभारताभियानस्य नेतृत्वं भवेत् ,शौचालय-निर्माणं वा,ईदृशाः अगणिताः विषयाः सन्ति।"""	"""And we have seen in recent years in our  country, this altruistic bent of mind is gaining strength…it could be in  the form of crores of people giving up Gas Subsidy, lakhs of senior  citizen leaving Railway Subsidy, leading the ‘Swachcha Bharat Abhiyan’  or getting toilets constructed …there are innumerable examples."""	22	"""On the contrary, assistance worth millions could be forfeited by the people, perhaps senior citizens will forgo support for train travel, take leadership of the Clean India Mission, construct toilets, or such countless topics abound."""	Instead, crores of people can give up subsidy on gas cylinders or lakhs of senior citizens can give up subsidy on railway tickets or take leadership of Swachh Bharat Abhiyan or build toilets. There are many such issues.	"The sentence translates to:

""However, it may involve the sacrifice of assistance for travel by many people, or the sacrifice of assistance for train travel by senior citizens, or the leadership of the Swachh Bharat Abhiyan, or the construction of toilets; there are countless such topics.""

### Breakdown:
- ""प्र"	"""कोट्यांच्या लोकांनी वाटचालीच्या साहाय्यता दिली तर, लक्षांच्या वरिष्ठ नागरिकांनी रेल्वे यात्रा करण्यासाठी साहाय्यता"
एतैः वृत्तैः ज्ञायते यद्वयं सर्वे अस्माकं मनांसि चैकेन सुदृढेन सूत्रेण आविष्टाः।	"""All  these are reflective of the fact that we, our minds and hearts have been  intertwined along a common strong thread."""	23	"""These events show that we are all bound by a strong thread in our minds."""	These stories show that we are all bound by one strong thread of humanity.	"The translation of the given Sanskrit sentence is: 

""From these activities, it is understood that we are all united by a strong thread."" 

This conveys the idea that despite our individual actions, there is a common bond that connects us all."	मी आणि तुम्ही दोघांचे मने एकाच सूत्राने जोडलेले आहेत.
"""मम प्रियाः देशवासिनः, अहं विनम्रतया बह्वादरेण च अद्य त्रिंशदुत्तरैकशतकोटिमितानां देशवासिनां एतद्भावनां शिरसा नमामि।"""	"""My dear countrymen, with utmost  humility and deepest respect, I bow to this sentiment displayed by a  130 crore countrymen."""	24	"""My dear fellow countrymen, I humbly and respectfully bow to the feelings of the 130 crore citizens of this nation."""	"""My dear fellow citizens, I humbly and respectfully bow my head to the thoughts of the 130 crore citizens of the country today."""	"""My dear fellow citizens, with humility and great respect, I today bow my head to the sentiment of thirty-one crore fellow citizens of this land."""	"""My dear countrymen, I humbly bow my head to the thoughts of the 31.1 million people of this country."""
भवन्तः स्वीयभावनया रुचिपुरस्सरं समयानुसारेण च देशाय किमपि कर्तुमिच्छन्ति चेत्तर्हि सर्वकारेण एतस्य कृते एकं डिजिटल इति अन्तर्जालीयं पटलं उपकल्पितम्।	"""To facilitate your selfless endeavor towards our  country, as per your inclination and time, the government has come up  with a Digital Platform."""	25	If you all wish to do something for the country according to your interests and in a timely manner, then the government has designed a digital online portal for this purpose.	If you want to do something for the country with your own thoughts, according to your interest and according to the time, then the government has created a digital i.e. online platform for this.	If you wish to do something with your own feelings, preferences, and according to the timings of the country, then the government has created a digital online platform for this purpose.	If you wish to do something for the country, then the government will create a digital platform for it.
"""सर्वकारेण एतत्पटलमाध्यमेन सर्वासामपि सामाजिक-संस्थानां स्वयंसेवकाः, जनसमाजस्य प्रतिनिधयः स्थानीयप्रशासनं च परस्परं सम्बद्धीकृतमस्ति।"""	"""Through the medium of this platform, the  government has linked volunteers of social organizations,  representatives of civil society and local administration with each  other."""	26	"""The government has connected all the social organizations' volunteers, community representatives, and local administration through this platform."""	The government has connected all social organizations, volunteers, public representatives and local administration through this portal.	"""The government has established a connection between volunteers of all social organizations, representatives of the community, and the local administration through this platform."" 

विवरणम्: उपरोक्तवाक्ये सर्वकारस्य एकस्य प्लेटफार्मस्य माध्यमेन समाजिक-संस्थाः, समाजस्य प्रतिनिधयः"	"""All government departments, social institutions, volunteers, representatives of civil society and local administration are connected with each other through this platform."""
अत्यल्पसमये एतत्पटलेन सपादैक-कोटिजनाः संयुक्ताः।	It did not take long for 1.25 crore people to be part of this  portal.	27	In a very short time, this platform has connected over 12.5 million people.	This site has attracted more than 10 million users in a very short time.	In a very short time, this platform has brought together one hundred thousand individuals with disabilities.	अत्यंत कमी वेळेत हे पटलाने एक कोटी लोक एकत्र केले.
"""एतेषु चिकित्सकैः परिचारिकाभिः आशा-ए.एन्.एम्.भगिनीभिः अस्माकम् एन्.सी.सी., अपि च, एन्.एस्.एस्. मित्रैः, भिन्नक्षेत्रेभ्यश्च नैकैः व्यवसायिभिः एषः आत्मीय-पटलत्वेन अंगीकृतः।"""	"""They comprise Doctors, Nurses, ASHA-ANM workers, our friends  from NCC and NSS, professionals from myriad fields…all of them have made  the platform their own."""	28	"""In this, doctors, nurses, ASHA-ANM sisters, our NCC, NSS friends, and many professionals from different fields have embraced this with a sense of personal connection."""	The doctors, nurses, ASHA workers, ANM sisters, our NCC, NSS friends and many professionals from different fields have accepted this as their own initiative.	"""These are acknowledged as a community by our NCC, as well as by NSS friends and by several professionals from different fields, with the support of doctors, nurses, and Asha workers."""	"""मी आणि माझ्या कुटुंबियांना डॉक्टर, नर्स, आशा कार्यकर्त्या, एन.सी.सी., एन.एस.एस. आणि इतर विविध क्षेत्रातील व्यवस"
एते जनाः संकटप्रबन्धनयोजनाकारैः साकं आपूर्तिकार्येषु साहाय्यं कुर्वन्ति।	These people are of immense help at the local  level in preparing Crisis Management Plans and implementing them.	29	These people assist in supply activities along with the crisis management planners.	These people are helping the disaster management planners in supply works.	These people assist with supply chain activities in collaboration with risk management planners.	These people help crisis management planners in supply chain operations.
भवन्तोऽपि covidwarriors.gov.in इत्येतेन संयुज्य कोविड योद्धृरूपेण देशसेवां कर्तुं पारयन्ति।	You  too can join covidwarriors.gov.in to be a Covid warrior and serve the  country.	30	You can also join covidwarriors.gov.in to serve the nation as a COVID warrior.	You can also join covidwarriors.gov.in to serve the nation as a Covid warrior.	You are also contributing to the service of the nation as COVID warriors by connecting with covidwarriors.gov.in.	Covidwarriors.gov.in या साइटसह जोडलेले कोविड योद्धे देशासाठी सेवा करीत आहेत.
"""कासाञ्चन संभावनानां मार्गं प्रदर्शयति, केषांचन लक्ष्याणां च दिशासूचनं करोति।"""	"""It paves the way for  further possibilities, shaping the course for newer goals."""	31	"""It indicates the path of some possibilities and provides direction for certain goals."""	"""काही संभावनांचा मार्ग दाखवते, काही लक्ष्यांची दिशा सूचित करते."""	"""The path of certain possibilities is shown, and it provides direction for some objectives."""	"""काही संभावनांचा मार्ग दाखवतो, काही लक्ष्यांची दिशा देतो."""
अस्यां परिस्थितौ भवद्भिः देशवासिभिः या संकल्पशक्तिः प्रदर्शितास्ति तया भारते नूतनपरिवर्तनस्य समारम्भः जातः।	The strength  of the resolve the countrymen have displayed during the crisis has led  to the beginning of a new transformation too in India.	32	In this situation, the resolve that has been demonstrated by you, the countrymen, has initiated a new era of change in India.	In this situation, the determination shown by you, the people of the country, has given rise to a new change in India.	In this context, the resolve demonstrated by the citizens of your country has led to the initiation of a new change in India.	In this situation, the determination shown by you people, the citizens of the country, has led to the beginning of a new change in India.
"""अस्माकं व्यवसायाः, कार्यालयाः शिक्षणसंस्थानानि चिकित्साक्षेत्रं च प्रत्येकमपि नूतनं प्राविधिक- परिवर्तनम् अनुसरति।"""	"""Our businesses,  offices, educational institutions, our medical sector are rapidly  advancing towards new operational changes."""	33	"""Our businesses, offices, educational institutions, and healthcare sector all follow the latest technological advancements."""	Our businesses, offices, educational institutions, and medical fields are all adopting new technological advancements.	"""Our businesses, offices, educational institutions, and the healthcare sector are each following new technological changes."" 

विवरणम्: उपर्युक्त वाक्ये, विभिन्न क्षेत्राणाम् - व्यवसाय, कार्यालय, शिक्षण संस्थानानि, च चिकित्साक्षेत्रं - मध्ये प्राविधिक-परिव"	"""Our business, offices, educational institutions and medical field are all adopting new technological changes."""
प्राविधिकसन्दर्भे तु वस्तुतः प्रतीयते यद्देशस्य प्रत्येकं नवप्रवर्तनकर्ता सद्यः उपस्थापित-परिस्थित्यनुसारेण किमपि नूतनं परिकल्पयति।	"""On the technology front, it  actually seems every innovator in the country is coming up anew with  something or the other amid emerging situations."""	34	In the context of technology, it appears that every innovator in the country is continuously designing something new according to the newly established conditions.	In the context of technology, it is actually seen that every innovator in the country is designing something new according to the current situation.	In a technical context, it is indeed understood that each innovator of a country is conceptualizing something new in accordance with the current established circumstances.	अर्थ : प्राविधिक संदर्भात देशाच्या प्रत्येक नवप्रवर्तनकर्त्याला त्याच्या परिस्थितीनुसार काही नवीन कल्पना करता येते.
"""मित्राणि, देशं यदा एकदलरूपेण कार्यमाचरति तदा किं भवतीति वयमद्यत्वेऽनुभवामः।"""	Friends we are  experiencing the results of the entire country in unison as a team.	35	"""Friends, we now experience what happens when a country acts as a single unit."""	When the country works as one party, we experience what happens today.	"""Friends, when a country operates as a united front, we experience what it means today."""	"""मित्रांनो, जेव्हा देश एकाच दालनात कार्य करतो तेव्हा आपण काय होतो हे अनुभवून घेतो."""
"""सम्पूर्णेsपि देशे, प्रति-प्रतोली, सर्वत्र, साम्प्रतं जनाः अन्योन्य-साहाय्यार्थम् अग्रेसृताः सन्ति।"""	"""Today, the Central Government, State Governments; each and every  department and institution are working hand in hand for relief at full  speed."""	36	"""In the entire country, in every neighborhood, everywhere, people are currently advancing to help each other."""	Across the country, in every lane, people are coming forward to help each other.	"The translation of the Sanskrit sentence is:

""Even in the whole country, across every region, people are currently coming forward to help each other.""

If you need further explanation or analysis of this sentence, please let me know!"	"""पूर्ण्या देशांमध्ये सर्वत्र, सामान्यतः लोक एकमेकांना मदत करण्यासाठी आग्रही आहेत."""
"""अस्माकं वैमानिकक्षेत्रस्य कर्मकराः, रेलविभागीयाः वा कर्मचारिणः, सर्वे अहर्निशं परिश्रमं कुर्वन्ति येन देशवासिनां समस्याः स्वल्पाः भवेयुः।"""	"""People working in the aviation sector, Railway employees are  working day and night to alleviate hurdles confronting our countrymen.."""	37	"""Our aviation sector's workers, railway department employees, and all other staff tirelessly work day and night so that the problems of the citizens are minimized."""	Our airport staff, railway staff and everyone else are working day and night to reduce the problems of the citizens of the country.	"""Our aviation sector workers and railway department employees work tirelessly day and night to ensure that the problems of our country's citizens are minimized."""	"""Our airmen, railway staff, and all others who work hard day and night, so that the problems of the people of the country are reduced to a minimum."""
भवत्सु अत्यल्पेभ्यः एव जनेभ्यः ज्ञातं स्यात् यत् देशस्य प्रत्येकं क्षेत्रे औषधीनां आपूर्तये लाइफलाइनउड़ान नाम्ना एकं विशेषाभियानं प्रचलति।	Many of you might be aware of a special campaign called ‘Lifeline Udan’  undertaken for ensuring supply of medicines to every corner of the  country.	38	"Among very few of you, it might be known that a special mission named ""Lifeline Udan"" is currently operational for the supply of medicines in every region of the country."	Very few people would know that to meet the demand for medicines in every part of the country, a special campaign named 'Lifeline Udan' is underway.	"It is known to very few people that there is a special initiative called ""Lifeline Udan"" which operates in every region of the country for the supply of medicines."	अर्थ : भारतातील प्रत्येक क्षेत्रात औषधांच्या आपूर्तीसाठी लाइफलाइनउड़ान नावाचे एक विशेष अभियान चालू आहे.
अस्माकमेतैः मित्रैः अत्यल्पसमये देशाभ्यन्तरे त्रिलक्ष-किलोमीटर-विमानसंचालनेन पंचशत-टनमितोsप्यधिकानां औषधीनाम् आपूर्तिः अशेषदेशे सम्पादितास्ति।	"""Within a short span of time, our colleagues clocked a flight  distance of three lakh kilometers, delivering over five hundred tons of  medical supplies to you in the farthest corners of the country."""	39	Our friends have successfully supplied over 500 tons of medicines throughout the entire country in a very short time using domestic flights covering 300,000 kilometers.	Our friends have enabled delivery of more than 500 tonnes of medicines to all parts of the country by operating flights over 3 lakh kilometres in a very short time.	Our friends have successfully facilitated the supply of medicines weighing over five hundred tons across the country within a very short period, utilizing three lakh kilometers of air transportation.	Our friends have made it possible to transport more than 50,000 tons of medicines to all parts of the country in a very short time by air.
एवमेव अस्माकं रेल-मित्राण्यपि संचाररोधे सततं परिश्रमं कुर्वन्ति येन देशस्य जनसाधारणेभ्यः आवश्यकवस्तूनाम् अभावः न भवेत्।	"""Similarly our colleagues in the Railways are working relentlessly during  the lockdown, so that the common man throughout the country does not  have to face the shortage of essential commodities."""	40	Similarly, our railway friends also work tirelessly during lockdowns so that the general public of the country does not face a shortage of essential items.	Similarly, our railway friends are also working hard to maintain the supply chain so that there is no shortage of essential goods for the common people of the country.	In this way, our railway friends also work tirelessly in the transportation system so that there is no shortage of essential goods for the people of the country.	त्याचप्रमाणे आमच्या रेल्वे मित्रांनीही संचार रोधात सतत प्रयत्न केले आहेत, जेणेकरून देशातील सर्वसामान्य लोकांना आवश्यक वस
एवमेव औषधीनामापूर्तये अस्माकं प्रैष-विभागीयाः जनाः महत्त्वाधायिभूमिकां निर्वहन्ति।	"""Similarly, our postal department personnel are playing a critical role  in ensuring medical supplies."""	41	In the same way, the personnel in our delivery department play a crucial role in the supply of medicines.	Similarly, our logistics team plays a vital role in the supply of medicines.	In this way, our procurement department plays a vital role in the supply of medicines.	त्याचप्रमाणे औषधांच्या पुरवठ्यासाठी आपल्या प्रांतातील लोकांनी महत्त्वाची भूमिका बजावली आहे.
